consumo_id,labor_id,producto_id,deposito_id,quantity,unit_cost,total_cost
CONS_00001,LAB_00001,PROD_0005,DEP_0001,9254.0,1.2829,11871.96
CONS_00002,LAB_00002,PROD_0008,DEP_0001,7271.0,0.7695,5595.03
CONS_00003,LAB_00003,PROD_0009,DEP_0001,343.72,6.5747,2259.86
CONS_00004,LAB_00004,PROD_0010,DEP_0001,37.02,18.5745,687.63
CONS_00005,LAB_00006,PROD_0006,DEP_0001,28532.0,0.7014,20012.34
CONS_00006,LAB_00007,PROD_0007,DEP_0001,26494.0,0.6409,16980.0
CONS_00007,LAB_00007,PROD_0008,DEP_0001,14266.0,0.7695,10977.69
CONS_00008,LAB_00008,PROD_0011,DEP_0001,91.71,21.8704,2005.73
CONS_00009,LAB_00011,PROD_0005,DEP_0001,6664.0,1.2829,8549.25
CONS_00010,LAB_00012,PROD_0008,DEP_0001,5236.0,0.7695,4029.1
CONS_00011,LAB_00013,PROD_0009,DEP_0001,247.52,6.5747,1627.37
CONS_00012,LAB_00014,PROD_0010,DEP_0001,26.66,18.5745,495.2
CONS_00013,LAB_00016,PROD_0005,DEP_0001,10787.0,1.2829,13838.64
CONS_00014,LAB_00017,PROD_0008,DEP_0001,8475.5,0.7695,6521.9
CONS_00015,LAB_00018,PROD_0009,DEP_0001,400.66,6.5747,2634.22
CONS_00016,LAB_00019,PROD_0010,DEP_0001,43.15,18.5745,801.49
CONS_00017,LAB_00021,PROD_0004,DEP_0001,2296.8,5.1219,11763.98
CONS_00018,LAB_00022,PROD_0007,DEP_0001,18792.0,0.6409,12043.79
CONS_00019,LAB_00022,PROD_0008,DEP_0001,9396.0,0.7695,7230.22
CONS_00020,LAB_00023,PROD_0009,DEP_0001,219.24,6.5747,1441.44
CONS_00021,LAB_00024,PROD_0010,DEP_0001,36.54,18.5745,678.71
CONS_00022,LAB_00026,PROD_0006,DEP_0001,22344.0,0.7014,15672.08
CONS_00023,LAB_00027,PROD_0007,DEP_0001,20748.0,0.6409,13297.39
CONS_00024,LAB_00027,PROD_0008,DEP_0001,11172.0,0.7695,8596.85
CONS_00025,LAB_00028,PROD_0011,DEP_0001,71.82,21.8704,1570.73
CONS_00026,LAB_00031,PROD_0005,DEP_0001,14189.0,1.2829,18203.07
CONS_00027,LAB_00032,PROD_0008,DEP_0001,11148.5,0.7695,8578.77
CONS_00028,LAB_00033,PROD_0009,DEP_0001,527.02,6.5747,3465.0
CONS_00029,LAB_00034,PROD_0010,DEP_0001,56.76,18.5745,1054.29
CONS_00030,LAB_00036,PROD_0005,DEP_0001,9688.0,1.2829,12428.74
CONS_00031,LAB_00037,PROD_0008,DEP_0001,7612.0,0.7695,5857.43
CONS_00032,LAB_00038,PROD_0009,DEP_0001,359.84,6.5747,2365.84
CONS_00033,LAB_00039,PROD_0010,DEP_0001,38.75,18.5745,719.76
CONS_00034,LAB_00041,PROD_0004,DEP_0001,3482.6,5.1219,17837.53
CONS_00035,LAB_00042,PROD_0007,DEP_0001,28494.0,0.6409,18261.8
CONS_00036,LAB_00042,PROD_0008,DEP_0001,14247.0,0.7695,10963.07
CONS_00037,LAB_00043,PROD_0009,DEP_0001,332.43,6.5747,2185.63
CONS_00038,LAB_00044,PROD_0010,DEP_0001,55.41,18.5745,1029.21
CONS_00039,LAB_00046,PROD_0005,DEP_0001,8799.0,1.2829,11288.24
CONS_00040,LAB_00047,PROD_0008,DEP_0001,6913.5,0.7695,5319.94
CONS_00041,LAB_00048,PROD_0009,DEP_0001,326.82,6.5747,2148.74
CONS_00042,LAB_00049,PROD_0010,DEP_0001,35.2,18.5745,653.82
CONS_00043,LAB_00051,PROD_0005,DEP_0001,6951.0,1.2829,8917.44
CONS_00044,LAB_00052,PROD_0008,DEP_0001,5461.5,0.7695,4202.62
CONS_00045,LAB_00053,PROD_0009,DEP_0001,258.18,6.5747,1697.46
CONS_00046,LAB_00054,PROD_0010,DEP_0001,27.8,18.5745,516.37
CONS_00047,LAB_00056,PROD_0005,DEP_0001,9422.0,1.2829,12087.48
CONS_00048,LAB_00057,PROD_0008,DEP_0001,7403.0,0.7695,5696.61
CONS_00049,LAB_00058,PROD_0009,DEP_0001,349.96,6.5747,2300.88
CONS_00050,LAB_00059,PROD_0010,DEP_0001,37.69,18.5745,700.07
CONS_00051,LAB_00061,PROD_0005,DEP_0001,9247.0,1.2829,11862.98
CONS_00052,LAB_00062,PROD_0008,DEP_0001,7265.5,0.7695,5590.8
CONS_00053,LAB_00063,PROD_0009,DEP_0001,343.46,6.5747,2258.15
CONS_00054,LAB_00064,PROD_0010,DEP_0001,36.99,18.5745,687.07
CONS_00055,LAB_00066,PROD_0004,DEP_0001,4349.4,5.1219,22277.19
CONS_00056,LAB_00067,PROD_0007,DEP_0001,35586.0,0.6409,22807.07
CONS_00057,LAB_00067,PROD_0008,DEP_0001,17793.0,0.7695,13691.71
CONS_00058,LAB_00068,PROD_0009,DEP_0001,415.17,6.5747,2729.62
CONS_00059,LAB_00069,PROD_0010,DEP_0001,69.19,18.5745,1285.17
CONS_00060,LAB_00071,PROD_0004,DEP_0001,2116.4,5.1219,10839.99
CONS_00061,LAB_00072,PROD_0007,DEP_0001,17316.0,0.6409,11097.82
CONS_00062,LAB_00072,PROD_0008,DEP_0001,8658.0,0.7695,6662.33
CONS_00063,LAB_00073,PROD_0009,DEP_0001,202.02,6.5747,1328.22
CONS_00064,LAB_00074,PROD_0010,DEP_0001,33.67,18.5745,625.4
