despacho_venta_id,cliente_id,deposito_id,dispatch_date,status
DESP_00001,CLI_0004,DEP_0003,2024-06-18,DESPACHADO
DESP_00002,CLI_0005,DEP_0002,2024-02-06,DESPACHADO
DESP_00003,CLI_0001,DEP_0002,2024-03-06,DESPACHADO
DESP_00004,CLI_0008,DEP_0002,2024-04-24,DESPACHADO
DESP_00005,CLI_0008,DEP_0003,2024-08-06,DESPACHADO
DESP_00006,CLI_0006,DEP_0003,2024-08-04,DESPACHADO
DESP_00007,CLI_0001,DEP_0002,2024-05-13,DESPACHADO
DESP_00008,CLI_0007,DEP_0002,2024-06-15,DESPACHADO
DESP_00009,CLI_0007,DEP_0002,2024-09-02,DESPACHADO
DESP_00010,CLI_0007,DEP_0003,2024-01-08,DESPACHADO
DESP_00011,CLI_0004,DEP_0003,2024-04-30,DESPACHADO
DESP_00012,CLI_0002,DEP_0002,2024-07-31,DESPACHADO
DESP_00013,CLI_0004,DEP_0002,2024-08-26,DESPACHADO
DESP_00014,CLI_0001,DEP_0002,2024-05-07,DESPACHADO
DESP_00015,CLI_0007,DEP_0002,2024-06-06,DESPACHADO
DESP_00016,CLI_0001,DEP_0002,2024-08-17,DESPACHADO
DESP_00017,CLI_0002,DEP_0002,2024-06-24,DESPACHADO
DESP_00018,CLI_0004,DEP_0002,2024-06-21,DESPACHADO
DESP_00019,CLI_0005,DEP_0002,2024-09-28,DESPACHADO
DESP_00020,CLI_0002,DEP_0003,2024-06-06,DESPACHADO
DESP_00021,CLI_0008,DEP_0003,2024-07-16,DESPACHADO
DESP_00022,CLI_0005,DEP_0003,2024-09-24,DESPACHADO
DESP_00023,CLI_0008,DEP_0003,2025-06-09,DESPACHADO
DESP_00024,CLI_0007,DEP_0002,2025-05-17,DESPACHADO
DESP_00025,CLI_0003,DEP_0002,2025-06-24,DESPACHADO
DESP_00026,CLI_0008,DEP_0002,2025-08-14,DESPACHADO
DESP_00027,CLI_0001,DEP_0003,2025-05-21,DESPACHADO
DESP_00028,CLI_0001,DEP_0003,2025-08-18,DESPACHADO
DESP_00029,CLI_0008,DEP_0003,2025-01-21,DESPACHADO
DESP_00030,CLI_0007,DEP_0002,2025-06-02,DESPACHADO
DESP_00031,CLI_0002,DEP_0002,2025-06-29,DESPACHADO
DESP_00032,CLI_0004,DEP_0002,2025-09-10,DESPACHADO
DESP_00033,CLI_0003,DEP_0003,2025-04-26,DESPACHADO
DESP_00034,CLI_0003,DEP_0003,2025-07-25,DESPACHADO
DESP_00035,CLI_0004,DEP_0002,2025-06-03,DESPACHADO
DESP_00036,CLI_0004,DEP_0002,2025-09-23,DESPACHADO
DESP_00037,CLI_0008,DEP_0002,2025-06-15,DESPACHADO
DESP_00038,CLI_0008,DEP_0002,2025-10-13,DESPACHADO
DESP_00039,CLI_0004,DEP_0002,2025-01-21,DESPACHADO
DESP_00040,CLI_0001,DEP_0002,2025-05-15,DESPACHADO
DESP_00041,CLI_0007,DEP_0002,2025-07-22,DESPACHADO
DESP_00042,CLI_0002,DEP_0002,2025-09-11,DESPACHADO
DESP_00043,CLI_0003,DEP_0002,2025-06-30,DESPACHADO
DESP_00044,CLI_0001,DEP_0003,2025-05-19,DESPACHADO
DESP_00045,CLI_0001,DEP_0003,2025-07-10,DESPACHADO
DESP_00046,CLI_0001,DEP_0003,2025-09-04,DESPACHADO
