labor_id,lote_campania_id,labor_tipo_id,labor_type_code,centro_costo_id,fecha,superficie_ha,horas_maquina,horas_hombre,costo_directo
LAB_00001,LC_00001,LABT_0001,SIEMBRA,CC_0001,2023-11-09,132.2,96.75,60.69,5000.34
LAB_00002,LC_00001,LABT_0002,FERTILIZACION,CC_0001,2023-12-07,132.2,68.17,61.93,2181.8
LAB_00003,LC_00001,LABT_0003,PULVERIZACION,CC_0001,2024-01-03,132.2,93.25,51.34,2356.85
LAB_00004,LC_00001,LABT_0003,PULVERIZACION,CC_0001,2024-02-14,132.2,100.85,51.79,2477.91
LAB_00005,LC_00001,LABT_0004,COSECHA,CC_0001,2024-05-11,132.2,111.49,34.75,7345.95
LAB_00006,LC_00002,LABT_0001,SIEMBRA,CC_0001,2024-06-23,203.8,121.77,85.73,7391.78
LAB_00007,LC_00002,LABT_0002,FERTILIZACION,CC_0001,2023-08-05,203.8,179.5,60.04,3587.42
LAB_00008,LC_00002,LABT_0003,PULVERIZACION,CC_0001,2023-09-18,203.8,174.51,61.76,3683.14
LAB_00009,LC_00002,LABT_0003,PULVERIZACION,CC_0001,2023-10-07,203.8,156.26,95.7,3521.34
LAB_00010,LC_00002,LABT_0004,COSECHA,CC_0001,2023-12-17,203.8,152.17,63.11,10357.81
LAB_00011,LC_00003,LABT_0001,SIEMBRA,CC_0001,2023-11-11,95.2,42.83,28.66,3819.36
LAB_00012,LC_00003,LABT_0002,FERTILIZACION,CC_0001,2023-12-12,95.2,84.69,32.78,1466.5
LAB_00013,LC_00003,LABT_0003,PULVERIZACION,CC_0001,2024-01-19,95.2,80.33,33.19,1792.97
LAB_00014,LC_00003,LABT_0003,PULVERIZACION,CC_0001,2024-02-16,95.2,65.74,33.54,1770.23
LAB_00015,LC_00003,LABT_0004,COSECHA,CC_0001,2024-05-10,95.2,78.46,25.72,5189.16
LAB_00016,LC_00004,LABT_0001,SIEMBRA,CC_0001,2023-11-09,154.1,135.21,47.91,5860.12
LAB_00017,LC_00004,LABT_0002,FERTILIZACION,CC_0001,2023-12-18,154.1,119.7,72.47,2396.24
LAB_00018,LC_00004,LABT_0003,PULVERIZACION,CC_0001,2024-01-10,154.1,75.95,58.64,2730.11
LAB_00019,LC_00004,LABT_0003,PULVERIZACION,CC_0001,2024-02-09,154.1,81.63,40.27,2818.76
LAB_00020,LC_00004,LABT_0004,COSECHA,CC_0001,2024-05-03,154.1,109.57,42.27,8772.16
LAB_00021,LC_00005,LABT_0001,SIEMBRA,CC_0001,2023-09-13,104.4,93.15,51.74,5352.95
LAB_00022,LC_00005,LABT_0002,FERTILIZACION,CC_0001,2023-11-10,104.4,48.95,34.05,2224.72
LAB_00023,LC_00005,LABT_0003,PULVERIZACION,CC_0001,2023-12-23,104.4,46.82,48.18,1928.71
LAB_00024,LC_00005,LABT_0003,PULVERIZACION,CC_0001,2024-01-19,104.4,50.39,32.71,1926.34
LAB_00025,LC_00005,LABT_0004,COSECHA,CC_0001,2024-04-16,104.4,82.56,30.03,6413.51
LAB_00026,LC_00006,LABT_0001,SIEMBRA,CC_0001,2024-06-03,159.6,138.97,44.71,5344.01
LAB_00027,LC_00006,LABT_0002,FERTILIZACION,CC_0001,2023-08-19,159.6,71.85,50.46,3066.81
LAB_00028,LC_00006,LABT_0003,PULVERIZACION,CC_0001,2023-09-06,159.6,96.84,57.85,2663.11
LAB_00029,LC_00006,LABT_0003,PULVERIZACION,CC_0001,2023-10-21,159.6,120.52,73.87,2684.52
LAB_00030,LC_00006,LABT_0004,COSECHA,CC_0001,2023-12-15,159.6,105.71,37.87,7930.76
LAB_00031,LC_00007,LABT_0001,SIEMBRA,CC_0001,2023-11-22,202.7,130.8,77.52,7872.98
LAB_00032,LC_00007,LABT_0002,FERTILIZACION,CC_0001,2023-12-11,202.7,94.43,57.04,3282.6
LAB_00033,LC_00007,LABT_0003,PULVERIZACION,CC_0001,2024-01-14,202.7,129.93,98.98,3919.58
LAB_00034,LC_00007,LABT_0003,PULVERIZACION,CC_0001,2024-02-06,202.7,102.13,63.51,3745.4
LAB_00035,LC_00007,LABT_0004,COSECHA,CC_0001,2024-05-06,202.7,100.86,68.42,10265.37
LAB_00036,LC_00008,LABT_0001,SIEMBRA,CC_0001,2023-11-17,138.4,111.99,60.26,5672.74
LAB_00037,LC_00008,LABT_0002,FERTILIZACION,CC_0001,2023-12-07,138.4,65.94,66.46,2250.39
LAB_00038,LC_00008,LABT_0003,PULVERIZACION,CC_0001,2024-01-18,138.4,79.05,62.09,2406.53
LAB_00039,LC_00008,LABT_0003,PULVERIZACION,CC_0001,2024-02-10,138.4,107.32,62.06,2577.71
LAB_00040,LC_00008,LABT_0004,COSECHA,CC_0001,2024-05-21,138.4,86.53,40.95,7845.17
LAB_00041,LC_00009,LABT_0001,SIEMBRA,CC_0001,2023-09-07,158.3,75.38,64.6,7412.11
LAB_00042,LC_00009,LABT_0002,FERTILIZACION,CC_0001,2023-11-13,158.3,88.58,68.31,3728.55
LAB_00043,LC_00009,LABT_0003,PULVERIZACION,CC_0001,2023-12-11,158.3,115.56,63.31,2893.09
LAB_00044,LC_00009,LABT_0003,PULVERIZACION,CC_0001,2024-01-04,158.3,90.45,46.59,3060.28
LAB_00045,LC_00009,LABT_0004,COSECHA,CC_0001,2024-04-13,158.3,124.8,32.62,10385.34
LAB_00046,LC_00010,LABT_0001,SIEMBRA,CC_0001,2023-11-10,125.7,96.7,44.09,4795.52
LAB_00047,LC_00010,LABT_0002,FERTILIZACION,CC_0001,2023-12-23,125.7,95.52,47.42,2066.34
LAB_00048,LC_00010,LABT_0003,PULVERIZACION,CC_0001,2024-01-18,125.7,90.95,42.18,2285.94
LAB_00049,LC_00010,LABT_0003,PULVERIZACION,CC_0001,2024-02-22,125.7,77.94,35.38,2282.92
LAB_00050,LC_00010,LABT_0004,COSECHA,CC_0001,2024-05-21,125.7,89.52,37.64,6907.5
LAB_00051,LC_00011,LABT_0001,SIEMBRA,CC_0001,2023-11-05,99.3,72.88,28.04,3734.16
LAB_00052,LC_00011,LABT_0002,FERTILIZACION,CC_0001,2023-12-22,99.3,53.8,41.58,1551.68
LAB_00053,LC_00011,LABT_0003,PULVERIZACION,CC_0001,2024-01-09,99.3,49.78,38.28,1911.16
LAB_00054,LC_00011,LABT_0003,PULVERIZACION,CC_0001,2024-02-15,99.3,70.01,31.16,1920.29
LAB_00055,LC_00011,LABT_0004,COSECHA,CC_0001,2024-05-18,99.3,57.41,34.4,5428.56
LAB_00056,LC_00012,LABT_0001,SIEMBRA,CC_0001,2023-11-24,134.6,116.83,62.39,5182.69
LAB_00057,LC_00012,LABT_0002,FERTILIZACION,CC_0001,2023-12-16,134.6,90.49,50.13,2150.73
LAB_00058,LC_00012,LABT_0003,PULVERIZACION,CC_0001,2024-01-12,134.6,70.27,64.36,2423.03
LAB_00059,LC_00012,LABT_0003,PULVERIZACION,CC_0001,2024-02-16,134.6,110.6,66.57,2594.49
LAB_00060,LC_00012,LABT_0004,COSECHA,CC_0001,2024-05-03,134.6,101.63,36.62,7484.99
LAB_00061,LC_00013,LABT_0001,SIEMBRA,CC_0001,2024-11-19,132.1,79.92,40.25,5171.98
LAB_00062,LC_00013,LABT_0002,FERTILIZACION,CC_0001,2024-12-17,132.1,63.92,33.27,2247.32
LAB_00063,LC_00013,LABT_0003,PULVERIZACION,CC_0001,2025-01-20,132.1,105.52,60.74,2378.6
LAB_00064,LC_00013,LABT_0003,PULVERIZACION,CC_0001,2025-02-08,132.1,60.48,45.91,2503.63
LAB_00065,LC_00013,LABT_0004,COSECHA,CC_0001,2025-05-06,132.1,69.62,29.47,7554.88
LAB_00066,LC_00014,LABT_0001,SIEMBRA,CC_0001,2024-09-23,197.7,105.83,93.16,10010.47
LAB_00067,LC_00014,LABT_0002,FERTILIZACION,CC_0001,2024-11-06,197.7,90.14,90.57,4521.7
LAB_00068,LC_00014,LABT_0003,PULVERIZACION,CC_0001,2024-12-15,197.7,133.66,74.18,3597.1
LAB_00069,LC_00014,LABT_0003,PULVERIZACION,CC_0001,2025-01-06,197.7,143.6,98.46,3709.27
LAB_00070,LC_00014,LABT_0004,COSECHA,CC_0001,2025-04-03,197.7,96.49,61.12,12712.64
LAB_00071,LC_00015,LABT_0001,SIEMBRA,CC_0001,2024-09-24,96.2,55.48,42.99,4805.41
LAB_00072,LC_00015,LABT_0002,FERTILIZACION,CC_0001,2024-11-17,96.2,58.52,31.78,2240.31
LAB_00073,LC_00015,LABT_0003,PULVERIZACION,CC_0001,2024-12-21,96.2,77.03,35.86,1817.93
LAB_00074,LC_00015,LABT_0003,PULVERIZACION,CC_0001,2025-01-07,96.2,80.76,26.36,1692.24
LAB_00075,LC_00015,LABT_0004,COSECHA,CC_0001,2025-04-22,96.2,63.83,20.21,5904.51
LAB_00076,LC_00016,LABT_0001,SIEMBRA,CC_0001,2025-06-10,155.4,75.21,44.56,5594.15
LAB_00077,LC_00016,LABT_0002,FERTILIZACION,CC_0001,2024-08-17,155.4,126.12,59.79,2974.25
LAB_00078,LC_00016,LABT_0003,PULVERIZACION,CC_0001,2024-09-13,155.4,92.81,67.51,2565.53
LAB_00079,LC_00016,LABT_0003,PULVERIZACION,CC_0001,2024-10-21,155.4,120.62,58.44,2617.74
LAB_00080,LC_00016,LABT_0004,COSECHA,CC_0001,2024-12-14,155.4,92.8,36.19,7846.15
LAB_00081,LC_00017,LABT_0001,SIEMBRA,CC_0001,2024-09-19,106.9,86.76,37.38,5033.92
LAB_00082,LC_00017,LABT_0002,FERTILIZACION,CC_0001,2024-11-18,106.9,77.69,38.72,2296.45
LAB_00083,LC_00017,LABT_0003,PULVERIZACION,CC_0001,2024-12-24,106.9,89.53,52.8,1937.96
LAB_00084,LC_00017,LABT_0003,PULVERIZACION,CC_0001,2025-01-24,106.9,54.56,44.26,1891.63
LAB_00085,LC_00017,LABT_0004,COSECHA,CC_0001,2025-04-22,106.9,79.52,30.46,6678.04
LAB_00086,LC_00018,LABT_0001,SIEMBRA,CC_0001,2024-09-23,159.6,84.6,56.6,7801.32
LAB_00087,LC_00018,LABT_0002,FERTILIZACION,CC_0001,2024-11-16,159.6,129.8,62.29,3690.09
LAB_00088,LC_00018,LABT_0003,PULVERIZACION,CC_0001,2024-12-06,159.6,105.49,52.46,2851.21
LAB_00089,LC_00018,LABT_0003,PULVERIZACION,CC_0001,2025-01-11,159.6,117.84,42.54,2952.35
LAB_00090,LC_00018,LABT_0004,COSECHA,CC_0001,2025-04-10,159.6,128.93,47.39,9871.41
LAB_00091,LC_00019,LABT_0001,SIEMBRA,CC_0001,2024-11-03,202.7,102.89,80.36,7449.48
LAB_00092,LC_00019,LABT_0002,FERTILIZACION,CC_0001,2024-12-13,202.7,102.78,55.7,3377.93
LAB_00093,LC_00019,LABT_0003,PULVERIZACION,CC_0001,2025-01-07,202.7,123.92,59.6,3593.28
LAB_00094,LC_00019,LABT_0003,PULVERIZACION,CC_0001,2025-02-04,202.7,113.55,68.96,3879.31
LAB_00095,LC_00019,LABT_0004,COSECHA,CC_0001,2025-05-05,202.7,120.19,48.59,10299.92
LAB_00096,LC_00020,LABT_0001,SIEMBRA,CC_0001,2024-11-19,136.5,96.89,38.29,5051.3
LAB_00097,LC_00020,LABT_0002,FERTILIZACION,CC_0001,2024-12-05,136.5,106.08,62.1,2320.03
LAB_00098,LC_00020,LABT_0003,PULVERIZACION,CC_0001,2025-01-18,136.5,57.61,47.82,2652.58
LAB_00099,LC_00020,LABT_0003,PULVERIZACION,CC_0001,2025-02-14,136.5,119.35,53.81,2454.23
LAB_00100,LC_00020,LABT_0004,COSECHA,CC_0001,2025-05-23,136.5,114.86,37.51,7042.24
LAB_00101,LC_00021,LABT_0001,SIEMBRA,CC_0001,2025-06-20,159.0,71.81,74.18,5315.1
LAB_00102,LC_00021,LABT_0002,FERTILIZACION,CC_0001,2024-08-03,159.0,96.09,56.9,2870.7
LAB_00103,LC_00021,LABT_0003,PULVERIZACION,CC_0001,2024-09-15,159.0,137.28,76.83,2800.25
LAB_00104,LC_00021,LABT_0003,PULVERIZACION,CC_0001,2024-10-19,159.0,99.46,62.33,2701.68
LAB_00105,LC_00021,LABT_0004,COSECHA,CC_0001,2024-12-11,159.0,113.45,45.02,8025.01
LAB_00106,LC_00022,LABT_0001,SIEMBRA,CC_0001,2024-09-14,121.7,61.73,47.54,5880.69
LAB_00107,LC_00022,LABT_0002,FERTILIZACION,CC_0001,2024-11-18,121.7,64.34,55.58,2813.05
LAB_00108,LC_00022,LABT_0003,PULVERIZACION,CC_0001,2024-12-24,121.7,89.39,32.02,2260.01
LAB_00109,LC_00022,LABT_0003,PULVERIZACION,CC_0001,2025-01-23,121.7,72.56,58.53,2351.53
LAB_00110,LC_00022,LABT_0004,COSECHA,CC_0001,2025-04-23,121.7,56.64,36.76,7323.57
LAB_00111,LC_00023,LABT_0001,SIEMBRA,CC_0001,2024-11-15,96.8,38.98,43.24,3736.85
LAB_00112,LC_00023,LABT_0002,FERTILIZACION,CC_0001,2024-12-23,96.8,56.78,37.87,1650.17
LAB_00113,LC_00023,LABT_0003,PULVERIZACION,CC_0001,2025-01-10,96.8,46.49,42.95,1729.23
LAB_00114,LC_00023,LABT_0003,PULVERIZACION,CC_0001,2025-02-06,96.8,85.45,47.52,1784.88
LAB_00115,LC_00023,LABT_0004,COSECHA,CC_0001,2025-05-13,96.8,50.82,27.99,5442.5
LAB_00116,LC_00024,LABT_0001,SIEMBRA,CC_0001,2024-09-17,134.0,82.07,45.89,6643.39
LAB_00117,LC_00024,LABT_0002,FERTILIZACION,CC_0001,2024-11-24,134.0,61.53,60.12,2977.82
LAB_00118,LC_00024,LABT_0003,PULVERIZACION,CC_0001,2024-12-07,134.0,73.95,62.79,2397.84
LAB_00119,LC_00024,LABT_0003,PULVERIZACION,CC_0001,2025-01-21,134.0,88.47,49.03,2322.46
LAB_00120,LC_00024,LABT_0004,COSECHA,CC_0001,2025-04-12,134.0,96.12,34.37,8235.23
