lote_campania_id,lote_id,campania_id,producto_id,crop_code,sown_hectares,expected_yield_tn_ha
LC_00001,LOT_0001,CAMP_0001,PROD_0002,SOJA,132.2,3.51
LC_00002,LOT_0002,CAMP_0001,PROD_0003,TRIGO,203.8,4.71
LC_00003,LOT_0003,CAMP_0001,PROD_0002,SOJA,95.2,3.15
LC_00004,LOT_0004,CAMP_0001,PROD_0002,SOJA,154.1,3.48
LC_00005,LOT_0005,CAMP_0001,PROD_0001,MAIZ,104.4,8.82
LC_00006,LOT_0006,CAMP_0001,PROD_0003,TRIGO,159.6,4.71
LC_00007,LOT_0007,CAMP_0001,PROD_0002,SOJA,202.7,3.54
LC_00008,LOT_0008,CAMP_0001,PROD_0002,SOJA,138.4,2.8
LC_00009,LOT_0009,CAMP_0001,PROD_0001,MAIZ,158.3,9.28
LC_00010,LOT_0010,CAMP_0001,PROD_0002,SOJA,125.7,3.17
LC_00011,LOT_0011,CAMP_0001,PROD_0002,SOJA,99.3,3.18
LC_00012,LOT_0012,CAMP_0001,PROD_0002,SOJA,134.6,3.49
LC_00013,LOT_0001,CAMP_0002,PROD_0002,SOJA,132.1,3.73
LC_00014,LOT_0002,CAMP_0002,PROD_0001,MAIZ,197.7,9.89
LC_00015,LOT_0003,CAMP_0002,PROD_0001,MAIZ,96.2,9.1
LC_00016,LOT_0004,CAMP_0002,PROD_0003,TRIGO,155.4,5.08
LC_00017,LOT_0005,CAMP_0002,PROD_0001,MAIZ,106.9,9.36
LC_00018,LOT_0006,CAMP_0002,PROD_0001,MAIZ,159.6,9.88
LC_00019,LOT_0007,CAMP_0002,PROD_0002,SOJA,202.7,3.76
LC_00020,LOT_0008,CAMP_0002,PROD_0002,SOJA,136.5,2.97
LC_00021,LOT_0009,CAMP_0002,PROD_0003,TRIGO,159.0,4.98
LC_00022,LOT_0010,CAMP_0002,PROD_0001,MAIZ,121.7,9.15
LC_00023,LOT_0011,CAMP_0002,PROD_0002,SOJA,96.8,3.37
LC_00024,LOT_0012,CAMP_0002,PROD_0001,MAIZ,134.0,10.07
