movimiento_stock_id,movement_type,movement_date,product_id,deposit_id,lot_quality_id,quantity_in,quantity_out,unit_cost,movement_value_in,movement_value_out,source_table,source_id,net_quantity,net_value
MST_000666,MANTENIMIENTO_SALIDA,2023-07-04,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00349,-1.0,-15.0
MST_000667,MANTENIMIENTO_SALIDA,2023-07-04,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00350,-1.0,-26.0
MST_000444,MANTENIMIENTO_SALIDA,2023-07-05,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00127,-1.0,-15.0
MST_000445,MANTENIMIENTO_SALIDA,2023-07-05,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00128,-1.0,-26.0
MST_000380,MANTENIMIENTO_SALIDA,2023-07-06,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00063,-1.0,-15.0
MST_000381,MANTENIMIENTO_SALIDA,2023-07-06,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00064,-1.0,-26.0
MST_000568,MANTENIMIENTO_SALIDA,2023-07-06,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00251,-1.0,-15.0
MST_000569,MANTENIMIENTO_SALIDA,2023-07-06,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00252,-1.0,-26.0
MST_000630,MANTENIMIENTO_SALIDA,2023-07-08,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00313,-1.0,-15.0
MST_000631,MANTENIMIENTO_SALIDA,2023-07-08,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00314,-1.0,-26.0
MST_000506,MANTENIMIENTO_SALIDA,2023-07-10,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00189,-1.0,-15.0
MST_000507,MANTENIMIENTO_SALIDA,2023-07-10,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00190,-1.0,-26.0
MST_000728,MANTENIMIENTO_SALIDA,2023-07-10,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00411,-1.0,-15.0
MST_000729,MANTENIMIENTO_SALIDA,2023-07-10,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00412,-1.0,-26.0
MST_000318,MANTENIMIENTO_SALIDA,2023-07-11,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00001,-1.0,-15.0
MST_000319,MANTENIMIENTO_SALIDA,2023-07-11,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00002,-1.0,-26.0
MST_000007,COMPRA_INGRESO,2023-07-17,PROD_0007,DEP_0001,,28892.81,0.0,0.5929,17130.55,0.0,erp_recepciones_compra_det,RCD_00007,28892.81,17130.55
MST_000029,COMPRA_INGRESO,2023-07-17,PROD_0008,DEP_0001,,12175.95,0.0,0.7388,8995.59,0.0,erp_recepciones_compra_det,RCD_00029,12175.95,8995.59
MST_000008,COMPRA_INGRESO,2023-07-20,PROD_0008,DEP_0001,,15182.59,0.0,0.8074,12258.42,0.0,erp_recepciones_compra_det,RCD_00008,15182.59,12258.42
MST_000028,COMPRA_INGRESO,2023-07-25,PROD_0007,DEP_0001,,22504.01,0.0,0.6042,13596.92,0.0,erp_recepciones_compra_det,RCD_00028,22504.01,13596.92
MST_000668,MANTENIMIENTO_SALIDA,2023-08-02,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00351,-1.0,-15.0
MST_000669,MANTENIMIENTO_SALIDA,2023-08-02,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00352,-1.0,-26.0
MST_000382,MANTENIMIENTO_SALIDA,2023-08-04,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00065,-1.0,-15.0
MST_000383,MANTENIMIENTO_SALIDA,2023-08-04,PROD_0015,DEP_0004,,0.0,1.0,26.0,0.0,26.0,mnt_ordenes_trabajo_det,MOTD_00066,-1.0,-26.0
MST_000149,CONSUMO_INSUMO,2023-08-05,PROD_0007,DEP_0001,,0.0,26494.0,0.6409,0.0,16980.0,erp_consumo_insumos,CONS_00006,-26494.0,-16980.0
MST_000150,CONSUMO_INSUMO,2023-08-05,PROD_0008,DEP_0001,,0.0,14266.0,0.7695,0.0,10977.69,erp_consumo_insumos,CONS_00007,-14266.0,-10977.69
MST_000570,MANTENIMIENTO_SALIDA,2023-08-06,PROD_0013,DEP_0004,,0.0,1.0,15.0,0.0,15.0,mnt_ordenes_trabajo_det,MOTD_00253,-1.0,-15.0
