orden_compra_det_id,orden_compra_id,producto_id,centro_costo_id,ordered_quantity,unit_price,line_total
OCD_00001,OC_00001,PROD_0005,CC_0001,9969.09,1.3912,13869.0
OCD_00002,OC_00002,PROD_0008,CC_0001,7769.68,0.7134,5542.89
OCD_00003,OC_00003,PROD_0009,CC_0001,367.41,6.8785,2527.23
OCD_00004,OC_00004,PROD_0010,CC_0001,39.82,17.9169,713.45
OCD_00005,OC_00005,PROD_0012,CC_0001,2686.43,1.1876,3190.4
OCD_00006,OC_00006,PROD_0006,CC_0001,31047.37,0.6972,21646.23
OCD_00007,OC_00007,PROD_0007,CC_0001,29230.33,0.5929,17330.66
OCD_00008,OC_00008,PROD_0008,CC_0001,15327.22,0.8074,12375.2
OCD_00009,OC_00009,PROD_0011,CC_0001,100.39,23.3519,2344.3
OCD_00010,OC_00010,PROD_0012,CC_0001,4083.42,1.1623,4746.16
OCD_00011,OC_00011,PROD_0005,CC_0001,7140.53,1.3516,9651.14
OCD_00012,OC_00012,PROD_0008,CC_0001,5670.24,0.7149,4053.65
OCD_00013,OC_00013,PROD_0009,CC_0001,269.73,6.8774,1855.04
OCD_00014,OC_00014,PROD_0010,CC_0001,27.97,19.6432,549.42
OCD_00015,OC_00015,PROD_0012,CC_0001,1815.75,1.2097,2196.51
OCD_00016,OC_00016,PROD_0005,CC_0001,11224.37,1.2134,13619.65
OCD_00017,OC_00017,PROD_0008,CC_0001,9073.08,0.7761,7041.62
OCD_00018,OC_00018,PROD_0009,CC_0001,419.08,6.644,2784.37
OCD_00019,OC_00019,PROD_0010,CC_0001,46.99,17.4787,821.32
OCD_00020,OC_00020,PROD_0012,CC_0001,3774.36,1.1685,4410.34
OCD_00021,OC_00021,PROD_0004,CC_0001,2391.49,5.3484,12790.65
OCD_00022,OC_00022,PROD_0007,CC_0001,20251.83,0.6738,13645.68
OCD_00023,OC_00023,PROD_0008,CC_0001,10029.2,0.7052,7072.59
OCD_00024,OC_00024,PROD_0009,CC_0001,227.73,6.7298,1532.58
OCD_00025,OC_00025,PROD_0010,CC_0001,38.32,18.9544,726.33
OCD_00026,OC_00026,PROD_0012,CC_0001,2513.34,1.1839,2975.54
OCD_00027,OC_00027,PROD_0006,CC_0001,23133.3,0.7019,16237.26
OCD_00028,OC_00028,PROD_0007,CC_0001,22739.25,0.6042,13739.05
OCD_00029,OC_00029,PROD_0008,CC_0001,12330.29,0.7388,9109.62
OCD_00030,OC_00030,PROD_0011,CC_0001,74.86,20.0255,1499.11
OCD_00031,OC_00031,PROD_0012,CC_0001,2934.69,1.1344,3329.11
OCD_00032,OC_00032,PROD_0005,CC_0001,14883.4,1.3089,19480.88
OCD_00033,OC_00033,PROD_0008,CC_0001,11854.21,0.75,8890.66
OCD_00034,OC_00034,PROD_0009,CC_0001,564.91,6.7685,3823.59
OCD_00035,OC_00035,PROD_0010,CC_0001,58.69,17.4033,1021.4
OCD_00036,OC_00036,PROD_0012,CC_0001,4845.55,1.2622,6116.05
OCD_00037,OC_00037,PROD_0005,CC_0001,10277.1,1.2441,12785.74
OCD_00038,OC_00038,PROD_0008,CC_0001,7925.47,0.7554,5986.9
OCD_00039,OC_00039,PROD_0009,CC_0001,377.33,6.2762,2368.2
OCD_00040,OC_00040,PROD_0010,CC_0001,40.93,19.1984,785.79
OCD_00041,OC_00041,PROD_0012,CC_0001,2778.81,1.2535,3483.24
OCD_00042,OC_00042,PROD_0004,CC_0001,3791.83,5.127,19440.71
OCD_00043,OC_00043,PROD_0007,CC_0001,31310.85,0.6538,20471.03
OCD_00044,OC_00044,PROD_0008,CC_0001,14782.8,0.7136,10549.01
OCD_00045,OC_00045,PROD_0009,CC_0001,367.29,6.9007,2534.56
OCD_00046,OC_00046,PROD_0010,CC_0001,60.62,19.4948,1181.77
OCD_00047,OC_00047,PROD_0012,CC_0001,3730.47,1.162,4334.81
OCD_00048,OC_00048,PROD_0005,CC_0001,9409.41,1.3854,13035.8
OCD_00049,OC_00049,PROD_0008,CC_0001,7187.13,0.714,5131.61
OCD_00050,OC_00050,PROD_0009,CC_0001,353.82,6.7061,2372.75
