pedido_venta_det_id,pedido_venta_id,producto_id,ordered_quantity,target_price
PVD_00001,PV_00001,PROD_0002,342.5,316.43
PVD_00002,PV_00002,PROD_0003,222.77,230.56
PVD_00003,PV_00003,PROD_0003,281.42,237.59
PVD_00004,PV_00004,PROD_0003,332.83,213.94
PVD_00005,PV_00005,PROD_0002,284.66,319.7
PVD_00006,PV_00006,PROD_0002,386.02,333.71
PVD_00007,PV_00007,PROD_0001,190.82,211.05
PVD_00008,PV_00008,PROD_0001,164.37,217.87
PVD_00009,PV_00009,PROD_0001,256.16,210.7
PVD_00010,PV_00010,PROD_0003,192.96,230.23
PVD_00011,PV_00011,PROD_0003,344.97,215.95
PVD_00012,PV_00012,PROD_0002,597.5,333.16
PVD_00013,PV_00013,PROD_0002,275.93,336.28
PVD_00014,PV_00014,PROD_0001,339.62,194.4
PVD_00015,PV_00015,PROD_0001,415.52,210.16
PVD_00016,PV_00016,PROD_0001,387.31,226.34
PVD_00017,PV_00017,PROD_0002,359.25,334.81
PVD_00018,PV_00018,PROD_0002,88.87,325.71
PVD_00019,PV_00019,PROD_0002,159.3,347.06
PVD_00020,PV_00020,PROD_0002,88.47,319.55
PVD_00021,PV_00021,PROD_0002,103.78,328.07
PVD_00022,PV_00022,PROD_0002,115.39,328.46
PVD_00023,PV_00023,PROD_0002,440.86,317.14
PVD_00024,PV_00024,PROD_0001,569.47,207.03
PVD_00025,PV_00025,PROD_0001,564.34,209.36
PVD_00026,PV_00026,PROD_0001,366.24,223.28
PVD_00027,PV_00027,PROD_0001,245.0,193.4
PVD_00028,PV_00028,PROD_0001,471.49,227.46
PVD_00029,PV_00029,PROD_0003,574.49,225.44
PVD_00030,PV_00030,PROD_0001,304.67,202.88
PVD_00031,PV_00031,PROD_0001,211.76,194.96
PVD_00032,PV_00032,PROD_0001,241.24,215.4
PVD_00033,PV_00033,PROD_0001,581.26,192.81
PVD_00034,PV_00034,PROD_0001,826.1,210.48
PVD_00035,PV_00035,PROD_0002,187.73,317.61
PVD_00036,PV_00036,PROD_0002,412.48,348.57
PVD_00037,PV_00037,PROD_0002,137.32,323.66
PVD_00038,PV_00038,PROD_0002,225.39,331.11
PVD_00039,PV_00039,PROD_0003,544.16,232.36
PVD_00040,PV_00040,PROD_0001,248.03,211.76
PVD_00041,PV_00041,PROD_0001,387.54,211.13
PVD_00042,PV_00042,PROD_0001,277.19,215.95
PVD_00043,PV_00043,PROD_0002,264.44,335.29
PVD_00044,PV_00044,PROD_0001,353.91,195.49
PVD_00045,PV_00045,PROD_0001,396.42,220.42
PVD_00046,PV_00046,PROD_0001,165.91,213.73
