recepcion_compra_id,orden_compra_id,deposito_id,receipt_date,status
RC_00001,OC_00001,DEP_0001,2023-10-08,CONFIRMADA
RC_00002,OC_00002,DEP_0001,2023-11-11,CONFIRMADA
RC_00003,OC_00003,DEP_0001,2023-12-15,CONFIRMADA
RC_00004,OC_00004,DEP_0001,2023-12-24,CONFIRMADA
RC_00005,OC_00005,DEP_0001,2023-10-13,CONFIRMADA
RC_00006,OC_00006,DEP_0001,2024-05-27,CONFIRMADA
RC_00007,OC_00007,DEP_0001,2023-07-17,CONFIRMADA
RC_00008,OC_00008,DEP_0001,2023-07-20,CONFIRMADA
RC_00009,OC_00009,DEP_0001,2023-08-25,CONFIRMADA
RC_00010,OC_00010,DEP_0001,2024-05-29,CONFIRMADA
RC_00011,OC_00011,DEP_0001,2023-10-26,CONFIRMADA
RC_00012,OC_00012,DEP_0001,2023-11-11,CONFIRMADA
RC_00013,OC_00013,DEP_0001,2023-12-24,CONFIRMADA
RC_00014,OC_00014,DEP_0001,2023-12-19,CONFIRMADA
RC_00015,OC_00015,DEP_0001,2023-10-26,CONFIRMADA
RC_00016,OC_00016,DEP_0001,2023-10-10,CONFIRMADA
RC_00017,OC_00017,DEP_0001,2023-11-21,CONFIRMADA
RC_00018,OC_00018,DEP_0001,2023-12-17,CONFIRMADA
RC_00019,OC_00019,DEP_0001,2023-12-09,CONFIRMADA
RC_00020,OC_00020,DEP_0001,2023-10-12,CONFIRMADA
RC_00021,OC_00021,DEP_0001,2023-08-10,CONFIRMADA
RC_00022,OC_00022,DEP_0001,2023-10-15,CONFIRMADA
RC_00023,OC_00023,DEP_0001,2023-11-01,CONFIRMADA
RC_00024,OC_00024,DEP_0001,2023-11-18,CONFIRMADA
RC_00025,OC_00025,DEP_0001,2023-12-01,CONFIRMADA
RC_00026,OC_00026,DEP_0001,2023-08-28,CONFIRMADA
RC_00027,OC_00027,DEP_0001,2024-05-22,CONFIRMADA
RC_00028,OC_00028,DEP_0001,2023-07-25,CONFIRMADA
RC_00029,OC_00029,DEP_0001,2023-07-17,CONFIRMADA
RC_00030,OC_00030,DEP_0001,2023-08-29,CONFIRMADA
RC_00031,OC_00031,DEP_0001,2024-05-17,CONFIRMADA
RC_00032,OC_00032,DEP_0001,2023-10-17,CONFIRMADA
RC_00033,OC_00033,DEP_0001,2023-11-26,CONFIRMADA
RC_00034,OC_00034,DEP_0001,2023-12-27,CONFIRMADA
RC_00035,OC_00035,DEP_0001,2023-12-18,CONFIRMADA
RC_00036,OC_00036,DEP_0001,2023-11-01,CONFIRMADA
RC_00037,OC_00037,DEP_0001,2023-10-26,CONFIRMADA
RC_00038,OC_00038,DEP_0001,2023-11-15,CONFIRMADA
RC_00039,OC_00039,DEP_0001,2023-12-26,CONFIRMADA
