recepcion_compra_det_id,recepcion_compra_id,producto_id,orden_compra_det_id,received_quantity,unit_cost,line_total
RCD_00001,RC_00001,PROD_0005,OCD_00001,9822.96,1.3912,13665.7
RCD_00002,RC_00002,PROD_0008,OCD_00002,7744.36,0.7134,5524.83
RCD_00003,RC_00003,PROD_0009,OCD_00003,364.6,6.8785,2507.9
RCD_00004,RC_00004,PROD_0010,OCD_00004,39.51,17.9169,707.9
RCD_00005,RC_00005,PROD_0012,OCD_00005,2673.55,1.1876,3175.11
RCD_00006,RC_00006,PROD_0006,OCD_00006,30939.63,0.6972,21571.11
RCD_00007,RC_00007,PROD_0007,OCD_00007,28892.81,0.5929,17130.55
RCD_00008,RC_00008,PROD_0008,OCD_00008,15182.59,0.8074,12258.42
RCD_00009,RC_00009,PROD_0011,OCD_00009,99.36,23.3519,2320.24
RCD_00010,RC_00010,PROD_0012,OCD_00010,4063.62,1.1623,4723.15
RCD_00011,RC_00011,PROD_0005,OCD_00011,7067.26,1.3516,9552.11
RCD_00012,RC_00012,PROD_0008,OCD_00012,5616.97,0.7149,4015.57
RCD_00013,RC_00013,PROD_0009,OCD_00013,266.75,6.8774,1834.55
RCD_00014,RC_00014,PROD_0010,OCD_00014,27.6,19.6432,542.15
RCD_00015,RC_00015,PROD_0012,OCD_00015,1800.85,1.2097,2178.49
RCD_00016,RC_00016,PROD_0005,OCD_00016,11170.1,1.2134,13553.8
RCD_00017,RC_00017,PROD_0008,OCD_00017,9031.47,0.7761,7009.32
RCD_00018,RC_00018,PROD_0009,OCD_00018,417.85,6.644,2776.2
RCD_00019,RC_00019,PROD_0010,OCD_00019,46.38,17.4787,810.66
RCD_00020,RC_00020,PROD_0012,OCD_00020,3751.62,1.1685,4383.77
RCD_00021,RC_00021,PROD_0004,OCD_00021,2370.65,5.3484,12679.18
RCD_00022,RC_00022,PROD_0007,OCD_00022,20231.48,0.6738,13631.97
RCD_00023,RC_00023,PROD_0008,OCD_00023,9996.82,0.7052,7049.76
RCD_00024,RC_00024,PROD_0009,OCD_00024,227.15,6.7298,1528.67
RCD_00025,RC_00025,PROD_0010,OCD_00025,38.05,18.9544,721.21
RCD_00026,RC_00026,PROD_0012,OCD_00026,2503.36,1.1839,2963.73
RCD_00027,RC_00027,PROD_0006,OCD_00027,22992.57,0.7019,16138.48
RCD_00028,RC_00028,PROD_0007,OCD_00028,22504.01,0.6042,13596.92
RCD_00029,RC_00029,PROD_0008,OCD_00029,12175.95,0.7388,8995.59
RCD_00030,RC_00030,PROD_0011,OCD_00030,73.87,20.0255,1479.28
RCD_00031,RC_00031,PROD_0012,OCD_00031,2910.47,1.1344,3301.64
RCD_00032,RC_00032,PROD_0005,OCD_00032,14715.83,1.3089,19261.55
RCD_00033,RC_00033,PROD_0008,OCD_00033,11685.15,0.75,8763.86
RCD_00034,RC_00034,PROD_0009,OCD_00034,557.3,6.7685,3772.09
RCD_00035,RC_00035,PROD_0010,OCD_00035,58.62,17.4033,1020.18
RCD_00036,RC_00036,PROD_0012,OCD_00036,4840.83,1.2622,6110.1
RCD_00037,RC_00037,PROD_0005,OCD_00037,10221.54,1.2441,12716.62
RCD_00038,RC_00038,PROD_0008,OCD_00038,7863.4,0.7554,5940.01
RCD_00039,RC_00039,PROD_0009,OCD_00039,373.75,6.2762,2345.73
RCD_00040,RC_00040,PROD_0010,OCD_00040,40.55,19.1984,778.5
RCD_00041,RC_00041,PROD_0012,OCD_00041,2777.39,1.2535,3481.46
RCD_00042,RC_00042,PROD_0004,OCD_00042,3746.46,5.127,19208.1
RCD_00043,RC_00043,PROD_0007,OCD_00043,30903.23,0.6538,20204.53
RCD_00044,RC_00044,PROD_0008,OCD_00044,14721.98,0.7136,10505.6
RCD_00045,RC_00045,PROD_0009,OCD_00045,362.54,6.9007,2501.78
RCD_00046,RC_00046,PROD_0010,OCD_00046,60.25,19.4948,1174.56
RCD_00047,RC_00047,PROD_0012,OCD_00047,3728.46,1.162,4332.47
RCD_00048,RC_00048,PROD_0005,OCD_00048,9352.9,1.3854,12957.51
RCD_00049,RC_00049,PROD_0008,OCD_00049,7091.95,0.714,5063.65
RCD_00050,RC_00050,PROD_0009,OCD_00050,350.73,6.7061,2352.03
RCD_00051,RC_00051,PROD_0010,OCD_00051,37.76,19.849,749.5
RCD_00052,RC_00052,PROD_0012,OCD_00052,2912.15,1.1773,3428.47
RCD_00053,RC_00053,PROD_0005,OCD_00053,7534.14,1.2675,9549.52
RCD_00054,RC_00054,PROD_0008,OCD_00054,6030.78,0.8227,4961.52
RCD_00055,RC_00055,PROD_0009,OCD_00055,267.77,6.5615,1756.97
RCD_00056,RC_00056,PROD_0010,OCD_00056,28.73,19.1995,551.6
RCD_00057,RC_00057,PROD_0012,OCD_00057,1786.15,1.2409,2216.43
RCD_00058,RC_00058,PROD_0005,OCD_00058,9894.39,1.2101,11973.2
RCD_00059,RC_00059,PROD_0008,OCD_00059,8175.59,0.7848,6416.2
RCD_00060,RC_00060,PROD_0009,OCD_00060,362.43,5.9206,2145.8
RCD_00061,RC_00061,PROD_0010,OCD_00061,39.03,19.4769,760.18
RCD_00062,RC_00062,PROD_0012,OCD_00062,2607.22,1.2176,3174.55
RCD_00063,RC_00063,PROD_0005,OCD_00063,10175.86,1.3359,13593.93
RCD_00064,RC_00064,PROD_0008,OCD_00064,7855.77,0.7284,5722.14
RCD_00065,RC_00065,PROD_0009,OCD_00065,354.55,6.6754,2366.76
RCD_00066,RC_00066,PROD_0010,OCD_00066,39.87,17.575,700.72
RCD_00067,RC_00067,PROD_0012,OCD_00067,3032.43,1.1644,3530.96
RCD_00068,RC_00068,PROD_0004,OCD_00068,4456.54,5.3597,23885.72
RCD_00069,RC_00069,PROD_0007,OCD_00069,37836.11,0.6561,24824.27
RCD_00070,RC_00070,PROD_0008,OCD_00070,18896.14,0.822,15532.63
RCD_00071,RC_00071,PROD_0009,OCD_00071,434.86,6.6276,2882.08
RCD_00072,RC_00072,PROD_0010,OCD_00072,74.79,17.5542,1312.88
RCD_00073,RC_00073,PROD_0012,OCD_00073,4236.71,1.1924,5051.85
RCD_00074,RC_00074,PROD_0004,OCD_00074,2201.27,4.9014,10789.3
RCD_00075,RC_00075,PROD_0007,OCD_00075,18277.48,0.6493,11867.57
RCD_00076,RC_00076,PROD_0008,OCD_00076,9268.01,0.7845,7270.75
RCD_00077,RC_00077,PROD_0009,OCD_00077,216.38,6.72,1454.07
RCD_00078,RC_00078,PROD_0010,OCD_00078,35.85,19.0156,681.71
RCD_00079,RC_00079,PROD_0012,OCD_00079,1964.85,1.2287,2414.21
RCD_00080,RC_00080,PROD_0006,OCD_00080,23535.94,0.7183,16905.87
RCD_00081,RC_00081,PROD_0007,OCD_00081,21083.25,0.6221,13115.89
RCD_00082,RC_00082,PROD_0008,OCD_00082,11675.51,0.8071,9423.3
RCD_00083,RC_00083,PROD_0011,OCD_00083,76.1,20.4984,1559.93
RCD_00084,RC_00084,PROD_0012,OCD_00084,3420.41,1.1774,4027.19
RCD_00085,RC_00085,PROD_0004,OCD_00085,2444.15,4.6936,11471.86
RCD_00086,RC_00086,PROD_0007,OCD_00086,20025.36,0.6933,13883.58
RCD_00087,RC_00087,PROD_0008,OCD_00087,10312.6,0.8276,8534.71
RCD_00088,RC_00088,PROD_0009,OCD_00088,231.84,6.3038,1461.47
RCD_00089,RC_00089,PROD_0010,OCD_00089,38.64,18.4274,712.03
RCD_00090,RC_00090,PROD_0012,OCD_00090,2256.07,1.152,2598.99
RCD_00091,RC_00091,PROD_0004,OCD_00091,3775.65,5.1069,19281.87
RCD_00092,RC_00092,PROD_0007,OCD_00092,30900.34,0.6276,19393.05
RCD_00093,RC_00093,PROD_0008,OCD_00093,15261.94,0.8092,12349.96
RCD_00094,RC_00094,PROD_0009,OCD_00094,356.91,6.788,2422.71
RCD_00095,RC_00095,PROD_0010,OCD_00095,59.71,18.8966,1128.32
RCD_00096,RC_00096,PROD_0012,OCD_00096,3797.52,1.1958,4541.07
RCD_00097,RC_00097,PROD_0005,OCD_00097,14873.64,1.1891,17686.25
RCD_00098,RC_00098,PROD_0008,OCD_00098,11678.66,0.7827,9140.89
RCD_00099,RC_00099,PROD_0009,OCD_00099,580.9,6.3933,3713.87
RCD_00100,RC_00100,PROD_0010,OCD_00100,61.83,19.3053,1193.65
RCD_00101,RC_00101,PROD_0012,OCD_00101,5004.37,1.2466,6238.45
RCD_00102,RC_00102,PROD_0005,OCD_00102,10312.85,1.2138,12517.74
RCD_00103,RC_00103,PROD_0008,OCD_00103,7731.41,0.7646,5911.44
RCD_00104,RC_00104,PROD_0009,OCD_00104,390.37,6.9207,2701.63
RCD_00105,RC_00105,PROD_0010,OCD_00105,40.5,17.3595,703.06
RCD_00106,RC_00106,PROD_0012,OCD_00106,2981.83,1.2546,3741.0
RCD_00107,RC_00107,PROD_0006,OCD_00107,24172.16,0.69,16678.79
