cuenta_cobrar_id,cliente_id,factura_venta_id,invoice_date,due_date,open_amount,status
AR_00001,CLI_0004,FV_00001,2024-06-20,2024-09-03,0.0,COBRADA
AR_00002,CLI_0005,FV_00002,2024-02-08,2024-03-09,0.0,COBRADA
AR_00003,CLI_0001,FV_00003,2024-03-07,2024-05-06,0.0,COBRADA
AR_00004,CLI_0008,FV_00004,2024-04-24,2024-07-08,0.0,COBRADA
AR_00005,CLI_0008,FV_00005,2024-08-06,2024-10-20,0.0,COBRADA
AR_00006,CLI_0006,FV_00006,2024-08-06,2024-10-05,0.0,COBRADA
AR_00007,CLI_0001,FV_00007,2024-05-13,2024-07-12,0.0,COBRADA
AR_00008,CLI_0007,FV_00008,2024-06-16,2024-08-15,0.0,COBRADA
AR_00009,CLI_0007,FV_00009,2024-09-04,2024-11-03,0.0,COBRADA
AR_00010,CLI_0007,FV_00010,2024-01-09,2024-03-09,0.0,COBRADA
AR_00011,CLI_0004,FV_00011,2024-05-01,2024-07-15,0.0,COBRADA
AR_00012,CLI_0002,FV_00012,2024-07-31,2024-08-30,0.0,COBRADA
AR_00013,CLI_0004,FV_00013,2024-08-26,2024-11-09,0.0,COBRADA
AR_00014,CLI_0001,FV_00014,2024-05-09,2024-07-08,1597.74,PARCIAL
AR_00015,CLI_0007,FV_00015,2024-06-07,2024-08-06,0.0,COBRADA
AR_00016,CLI_0001,FV_00016,2024-08-19,2024-10-18,0.0,COBRADA
AR_00017,CLI_0002,FV_00017,2024-06-25,2024-07-25,7276.97,PARCIAL
AR_00018,CLI_0004,FV_00018,2024-06-21,2024-09-04,0.0,COBRADA
AR_00019,CLI_0005,FV_00019,2024-09-28,2024-10-28,0.0,COBRADA
AR_00020,CLI_0002,FV_00020,2024-06-07,2024-07-07,0.0,COBRADA
AR_00021,CLI_0008,FV_00021,2024-07-17,2024-09-30,0.0,COBRADA
AR_00022,CLI_0005,FV_00022,2024-09-26,2024-10-26,1375.81,PARCIAL
AR_00023,CLI_0008,FV_00023,2025-06-11,2025-08-25,84587.67,PARCIAL
AR_00024,CLI_0007,FV_00024,2025-05-18,2025-07-17,0.0,COBRADA
AR_00025,CLI_0003,FV_00025,2025-06-25,2025-08-09,25733.12,PARCIAL
AR_00026,CLI_0008,FV_00026,2025-08-15,2025-10-29,17810.39,PARCIAL
AR_00027,CLI_0001,FV_00027,2025-05-23,2025-07-22,1720.0,PARCIAL
AR_00028,CLI_0001,FV_00028,2025-08-18,2025-10-17,23357.99,PARCIAL
AR_00029,CLI_0008,FV_00029,2025-01-21,2025-04-06,0.0,COBRADA
AR_00030,CLI_0007,FV_00030,2025-06-04,2025-08-03,5235.43,PARCIAL
AR_00031,CLI_0002,FV_00031,2025-06-29,2025-07-29,8991.81,PARCIAL
AR_00032,CLI_0004,FV_00032,2025-09-10,2025-11-24,11317.56,PARCIAL
AR_00033,CLI_0003,FV_00033,2025-04-28,2025-06-12,0.0,COBRADA
AR_00034,CLI_0003,FV_00034,2025-07-25,2025-09-08,63117.54,PARCIAL
AR_00035,CLI_0004,FV_00035,2025-06-03,2025-08-17,5050.23,PARCIAL
AR_00036,CLI_0004,FV_00036,2025-09-25,2025-12-09,86985.78,PARCIAL
AR_00037,CLI_0008,FV_00037,2025-06-17,2025-08-31,16133.53,PARCIAL
AR_00038,CLI_0008,FV_00038,2025-10-14,2025-12-28,16254.17,PARCIAL
AR_00039,CLI_0004,FV_00039,2025-01-22,2025-04-07,0.0,COBRADA
AR_00040,CLI_0001,FV_00040,2025-05-15,2025-07-14,0.0,COBRADA
AR_00041,CLI_0007,FV_00041,2025-07-22,2025-09-20,17820.68,PARCIAL
AR_00042,CLI_0002,FV_00042,2025-09-12,2025-10-12,13037.33,PARCIAL
AR_00043,CLI_0003,FV_00043,2025-06-30,2025-08-14,32185.06,PARCIAL
AR_00044,CLI_0001,FV_00044,2025-05-19,2025-07-18,0.0,COBRADA
AR_00045,CLI_0001,FV_00045,2025-07-12,2025-09-10,31718.54,PARCIAL
AR_00046,CLI_0001,FV_00046,2025-09-05,2025-11-04,12871.96,PARCIAL
