factura_compra_id,proveedor_id,recepcion_compra_id,invoice_date,due_date,currency_code,net_amount,vat_amount,total_amount
FC_00001,SUP_0001,RC_00001,2023-10-11,2023-11-25,USD,13665.7,2869.8,16535.5
FC_00002,SUP_0002,RC_00002,2023-11-13,2023-12-28,USD,5524.83,1160.21,6685.04
FC_00003,SUP_0003,RC_00003,2023-12-16,2024-01-30,USD,2507.9,526.66,3034.56
FC_00004,SUP_0003,RC_00004,2023-12-24,2024-02-07,USD,707.9,148.66,856.56
FC_00005,SUP_0004,RC_00005,2023-10-15,2023-12-14,USD,3175.11,666.77,3841.88
FC_00006,SUP_0008,RC_00006,2024-05-27,2024-07-11,USD,21571.11,4529.93,26101.04
FC_00007,SUP_0002,RC_00007,2023-07-18,2023-09-01,USD,17130.55,3597.42,20727.97
FC_00008,SUP_0002,RC_00008,2023-07-23,2023-09-06,USD,12258.42,2574.27,14832.69
FC_00009,SUP_0003,RC_00009,2023-08-27,2023-10-11,USD,2320.24,487.25,2807.49
FC_00010,SUP_0004,RC_00010,2024-05-29,2024-07-28,USD,4723.15,991.86,5715.01
FC_00011,SUP_0008,RC_00011,2023-10-26,2023-12-10,USD,9552.11,2005.94,11558.05
FC_00012,SUP_0002,RC_00012,2023-11-12,2023-12-27,USD,4015.57,843.27,4858.84
FC_00013,SUP_0009,RC_00013,2023-12-27,2024-02-10,USD,1834.55,385.26,2219.81
FC_00014,SUP_0003,RC_00014,2023-12-19,2024-02-02,USD,542.15,113.85,656.0
FC_00015,SUP_0004,RC_00015,2023-10-26,2023-12-25,USD,2178.49,457.48,2635.97
FC_00016,SUP_0001,RC_00016,2023-10-12,2023-11-26,USD,13553.8,2846.3,16400.1
FC_00017,SUP_0002,RC_00017,2023-11-24,2024-01-08,USD,7009.32,1471.96,8481.28
FC_00018,SUP_0009,RC_00018,2023-12-20,2024-02-03,USD,2776.2,583.0,3359.2
FC_00019,SUP_0003,RC_00019,2023-12-11,2024-01-25,USD,810.66,170.24,980.9
FC_00020,SUP_0004,RC_00020,2023-10-15,2023-12-14,USD,4383.77,920.59,5304.36
FC_00021,SUP_0001,RC_00021,2023-08-13,2023-09-27,USD,12679.18,2662.63,15341.81
FC_00022,SUP_0002,RC_00022,2023-10-17,2023-12-01,USD,13631.97,2862.71,16494.68
FC_00023,SUP_0002,RC_00023,2023-11-02,2023-12-17,USD,7049.76,1480.45,8530.21
FC_00024,SUP_0003,RC_00024,2023-11-19,2024-01-03,USD,1528.67,321.02,1849.69
FC_00025,SUP_0003,RC_00025,2023-12-04,2024-01-18,USD,721.21,151.45,872.66
FC_00026,SUP_0004,RC_00026,2023-08-28,2023-10-27,USD,2963.73,622.38,3586.11
FC_00027,SUP_0001,RC_00027,2024-05-24,2024-07-08,USD,16138.48,3389.08,19527.56
FC_00028,SUP_0002,RC_00028,2023-07-28,2023-09-11,USD,13596.92,2855.35,16452.27
FC_00029,SUP_0002,RC_00029,2023-07-19,2023-09-02,USD,8995.59,1889.07,10884.66
FC_00030,SUP_0009,RC_00030,2023-09-01,2023-10-16,USD,1479.28,310.65,1789.93
FC_00031,SUP_0004,RC_00031,2024-05-18,2024-07-17,USD,3301.64,693.34,3994.98
FC_00032,SUP_0001,RC_00032,2023-10-19,2023-12-03,USD,19261.55,4044.93,23306.48
FC_00033,SUP_0002,RC_00033,2023-11-28,2024-01-12,USD,8763.86,1840.41,10604.27
FC_00034,SUP_0009,RC_00034,2023-12-27,2024-02-10,USD,3772.09,792.14,4564.23
FC_00035,SUP_0009,RC_00035,2023-12-20,2024-02-03,USD,1020.18,214.24,1234.42
FC_00036,SUP_0004,RC_00036,2023-11-04,2024-01-03,USD,6110.1,1283.12,7393.22
FC_00037,SUP_0001,RC_00037,2023-10-29,2023-12-13,USD,12716.62,2670.49,15387.11
FC_00038,SUP_0002,RC_00038,2023-11-17,2024-01-01,USD,5940.01,1247.4,7187.41
FC_00039,SUP_0009,RC_00039,2023-12-28,2024-02-11,USD,2345.73,492.6,2838.33
FC_00040,SUP_0003,RC_00040,2023-12-28,2024-02-11,USD,778.5,163.48,941.98
FC_00041,SUP_0004,RC_00041,2023-10-25,2023-12-24,USD,3481.46,731.11,4212.57
FC_00042,SUP_0001,RC_00042,2023-08-24,2023-10-08,USD,19208.1,4033.7,23241.8
FC_00043,SUP_0002,RC_00043,2023-10-13,2023-11-27,USD,20204.53,4242.95,24447.48
FC_00044,SUP_0002,RC_00044,2023-10-10,2023-11-24,USD,10505.6,2206.18,12711.78
FC_00045,SUP_0009,RC_00045,2023-11-10,2023-12-25,USD,2501.78,525.37,3027.15
FC_00046,SUP_0003,RC_00046,2023-11-25,2024-01-09,USD,1174.56,246.66,1421.22
FC_00047,SUP_0004,RC_00047,2023-08-30,2023-10-29,USD,4332.47,909.82,5242.29
FC_00048,SUP_0008,RC_00048,2023-10-13,2023-11-27,USD,12957.51,2721.08,15678.59
FC_00049,SUP_0002,RC_00049,2023-11-27,2024-01-11,USD,5063.65,1063.37,6127.02
FC_00050,SUP_0009,RC_00050,2023-12-22,2024-02-05,USD,2352.03,493.93,2845.96
FC_00051,SUP_0003,RC_00051,2023-12-12,2024-01-26,USD,749.5,157.39,906.89
FC_00052,SUP_0004,RC_00052,2023-10-26,2023-12-25,USD,3428.47,719.98,4148.45
FC_00053,SUP_0001,RC_00053,2023-10-18,2023-12-02,USD,9549.52,2005.4,11554.92
FC_00054,SUP_0002,RC_00054,2023-11-14,2023-12-29,USD,4961.52,1041.92,6003.44
FC_00055,SUP_0003,RC_00055,2023-12-24,2024-02-07,USD,1756.97,368.96,2125.93
FC_00056,SUP_0009,RC_00056,2023-12-18,2024-02-01,USD,551.6,115.84,667.44
FC_00057,SUP_0004,RC_00057,2023-10-30,2023-12-29,USD,2216.43,465.45,2681.88
FC_00058,SUP_0008,RC_00058,2023-10-06,2023-11-20,USD,11973.2,2514.37,14487.57
FC_00059,SUP_0002,RC_00059,2023-11-12,2023-12-27,USD,6416.2,1347.4,7763.6
FC_00060,SUP_0009,RC_00060,2024-01-03,2024-02-17,USD,2145.8,450.62,2596.42
FC_00061,SUP_0003,RC_00061,2023-12-17,2024-01-31,USD,760.18,159.64,919.82
FC_00062,SUP_0004,RC_00062,2023-10-14,2023-12-13,USD,3174.55,666.66,3841.21
FC_00063,SUP_0001,RC_00063,2024-10-27,2024-12-11,USD,13593.93,2854.73,16448.66
FC_00064,SUP_0002,RC_00064,2024-11-27,2025-01-11,USD,5722.14,1201.65,6923.79
FC_00065,SUP_0003,RC_00065,2024-12-10,2025-01-24,USD,2366.76,497.02,2863.78
FC_00066,SUP_0003,RC_00066,2024-12-16,2025-01-30,USD,700.72,147.15,847.87
FC_00067,SUP_0004,RC_00067,2024-10-23,2024-12-22,USD,3530.96,741.5,4272.46
FC_00068,SUP_0001,RC_00068,2024-08-13,2024-09-27,USD,23885.72,5016.0,28901.72
FC_00069,SUP_0002,RC_00069,2024-10-27,2024-12-11,USD,24824.27,5213.1,30037.37
FC_00070,SUP_0002,RC_00070,2024-10-16,2024-11-30,USD,15532.63,3261.85,18794.48
FC_00071,SUP_0009,RC_00071,2024-11-23,2025-01-07,USD,2882.08,605.24,3487.32
FC_00072,SUP_0009,RC_00072,2024-11-16,2024-12-31,USD,1312.88,275.7,1588.58
FC_00073,SUP_0004,RC_00073,2024-08-28,2024-10-27,USD,5051.85,1060.89,6112.74
FC_00074,SUP_0008,RC_00074,2024-08-23,2024-10-07,USD,10789.3,2265.75,13055.05
FC_00075,SUP_0002,RC_00075,2024-11-02,2024-12-17,USD,11867.57,2492.19,14359.76
FC_00076,SUP_0002,RC_00076,2024-10-26,2024-12-10,USD,7270.75,1526.86,8797.61
FC_00077,SUP_0009,RC_00077,2024-11-14,2024-12-29,USD,1454.07,305.35,1759.42
FC_00078,SUP_0009,RC_00078,2024-11-16,2024-12-31,USD,681.71,143.16,824.87
FC_00079,SUP_0004,RC_00079,2024-08-08,2024-10-07,USD,2414.21,506.98,2921.19
FC_00080,SUP_0008,RC_00080,2025-05-30,2025-07-14,USD,16905.87,3550.23,20456.1
FC_00081,SUP_0002,RC_00081,2024-07-20,2024-09-03,USD,13115.89,2754.34,15870.23
FC_00082,SUP_0002,RC_00082,2024-07-18,2024-09-01,USD,9423.3,1978.89,11402.19
FC_00083,SUP_0003,RC_00083,2024-08-26,2024-10-10,USD,1559.93,327.59,1887.52
FC_00084,SUP_0004,RC_00084,2025-05-30,2025-07-29,USD,4027.19,845.71,4872.9
FC_00085,SUP_0001,RC_00085,2024-08-19,2024-10-03,USD,11471.86,2409.09,13880.95
FC_00086,SUP_0002,RC_00086,2024-10-09,2024-11-23,USD,13883.58,2915.55,16799.13
FC_00087,SUP_0002,RC_00087,2024-10-11,2024-11-25,USD,8534.71,1792.29,10327.0
FC_00088,SUP_0003,RC_00088,2024-12-02,2025-01-16,USD,1461.47,306.91,1768.38
FC_00089,SUP_0003,RC_00089,2024-11-07,2024-12-22,USD,712.03,149.53,861.56
FC_00090,SUP_0004,RC_00090,2024-08-19,2024-10-18,USD,2598.99,545.79,3144.78
FC_00091,SUP_0008,RC_00091,2024-08-20,2024-10-04,USD,19281.87,4049.19,23331.06
FC_00092,SUP_0002,RC_00092,2024-10-11,2024-11-25,USD,19393.05,4072.54,23465.59
FC_00093,SUP_0002,RC_00093,2024-10-31,2024-12-15,USD,12349.96,2593.49,14943.45
FC_00094,SUP_0003,RC_00094,2024-11-10,2024-12-25,USD,2422.71,508.77,2931.48
FC_00095,SUP_0003,RC_00095,2024-11-11,2024-12-26,USD,1128.32,236.95,1365.27
FC_00096,SUP_0004,RC_00096,2024-08-26,2024-10-25,USD,4541.07,953.62,5494.69
FC_00097,SUP_0001,RC_00097,2024-10-09,2024-11-23,USD,17686.25,3714.11,21400.36
FC_00098,SUP_0002,RC_00098,2024-11-27,2025-01-11,USD,9140.89,1919.59,11060.48
