factura_venta_id,cliente_id,despacho_venta_id,invoice_date,due_date,currency_code,net_amount,vat_amount,total_amount
FV_00001,CLI_0004,DESP_00001,2024-06-20,2024-09-03,USD,108377.28,22759.23,131136.51
FV_00002,CLI_0005,DESP_00002,2024-02-08,2024-03-09,USD,51361.85,10785.99,62147.84
FV_00003,CLI_0001,DESP_00003,2024-03-07,2024-05-06,USD,66862.58,14041.14,80903.72
FV_00004,CLI_0008,DESP_00004,2024-04-24,2024-07-08,USD,71205.65,14953.19,86158.84
FV_00005,CLI_0008,DESP_00005,2024-08-06,2024-10-20,USD,91005.8,19111.22,110117.02
FV_00006,CLI_0006,DESP_00006,2024-08-06,2024-10-05,USD,128818.73,27051.93,155870.66
FV_00007,CLI_0001,DESP_00007,2024-05-13,2024-07-12,USD,40272.56,8457.24,48729.8
FV_00008,CLI_0007,DESP_00008,2024-06-16,2024-08-15,USD,35811.29,7520.37,43331.66
FV_00009,CLI_0007,DESP_00009,2024-09-04,2024-11-03,USD,53972.91,11334.31,65307.22
FV_00010,CLI_0007,DESP_00010,2024-01-09,2024-03-09,USD,44425.18,9329.29,53754.47
FV_00011,CLI_0004,DESP_00011,2024-05-01,2024-07-15,USD,74496.27,15644.22,90140.49
FV_00012,CLI_0002,DESP_00012,2024-07-31,2024-08-30,USD,199063.1,41803.25,240866.35
FV_00013,CLI_0004,DESP_00013,2024-08-26,2024-11-09,USD,92789.74,19485.85,112275.59
FV_00014,CLI_0001,DESP_00014,2024-05-09,2024-07-08,USD,66022.13,13864.65,79886.78
FV_00015,CLI_0007,DESP_00015,2024-06-07,2024-08-06,USD,87325.68,18338.39,105664.07
FV_00016,CLI_0001,DESP_00016,2024-08-19,2024-10-18,USD,87663.75,18409.39,106073.14
FV_00017,CLI_0002,DESP_00017,2024-06-25,2024-07-25,USD,120280.49,25258.9,145539.39
FV_00018,CLI_0004,DESP_00018,2024-06-21,2024-09-04,USD,28945.85,6078.63,35024.48
FV_00019,CLI_0005,DESP_00019,2024-09-28,2024-10-28,USD,55286.66,11610.2,66896.86
FV_00020,CLI_0002,DESP_00020,2024-06-07,2024-07-07,USD,28270.59,5936.82,34207.41
FV_00021,CLI_0008,DESP_00021,2024-07-17,2024-09-30,USD,34047.1,7149.89,41196.99
FV_00022,CLI_0005,DESP_00022,2024-09-26,2024-10-26,USD,37901.0,7959.21,45860.21
FV_00023,CLI_0008,DESP_00023,2025-06-11,2025-08-25,USD,139814.34,29361.01,169175.35
FV_00024,CLI_0007,DESP_00024,2025-05-18,2025-07-17,USD,117897.37,24758.45,142655.82
FV_00025,CLI_0003,DESP_00025,2025-06-25,2025-08-09,USD,118150.22,24811.55,142961.77
FV_00026,CLI_0008,DESP_00026,2025-08-15,2025-10-29,USD,81774.07,17172.55,98946.62
FV_00027,CLI_0001,DESP_00027,2025-05-23,2025-07-22,USD,47383.0,9950.43,57333.43
FV_00028,CLI_0001,DESP_00028,2025-08-18,2025-10-17,USD,107245.12,22521.48,129766.6
FV_00029,CLI_0008,DESP_00029,2025-01-21,2025-04-06,USD,129513.03,27197.74,156710.77
FV_00030,CLI_0007,DESP_00030,2025-06-04,2025-08-03,USD,61811.45,12980.4,74791.85
FV_00031,CLI_0002,DESP_00031,2025-06-29,2025-07-29,USD,41284.73,8669.79,49954.52
FV_00032,CLI_0004,DESP_00032,2025-09-10,2025-11-24,USD,51963.1,10912.25,62875.35
FV_00033,CLI_0003,DESP_00033,2025-04-28,2025-06-12,USD,112072.74,23535.28,135608.02
FV_00034,CLI_0003,DESP_00034,2025-07-25,2025-09-08,USD,173877.53,36514.28,210391.81
FV_00035,CLI_0004,DESP_00035,2025-06-03,2025-08-17,USD,59624.93,12521.24,72146.17
FV_00036,CLI_0004,DESP_00036,2025-09-25,2025-12-09,USD,143778.15,30193.41,173971.56
FV_00037,CLI_0008,DESP_00037,2025-06-17,2025-08-31,USD,44444.99,9333.45,53778.44
FV_00038,CLI_0008,DESP_00038,2025-10-14,2025-12-28,USD,74628.88,15672.06,90300.94
FV_00039,CLI_0004,DESP_00039,2025-01-22,2025-04-07,USD,126441.02,26552.61,152993.63
FV_00040,CLI_0001,DESP_00040,2025-05-15,2025-07-14,USD,52522.83,11029.79,63552.62
FV_00041,CLI_0007,DESP_00041,2025-07-22,2025-09-20,USD,81821.32,17182.48,99003.8
FV_00042,CLI_0002,DESP_00042,2025-09-12,2025-10-12,USD,59859.18,12570.43,72429.61
FV_00043,CLI_0003,DESP_00043,2025-06-30,2025-08-14,USD,88664.09,18619.46,107283.55
FV_00044,CLI_0001,DESP_00044,2025-05-19,2025-07-18,USD,69185.87,14529.03,83714.9
FV_00045,CLI_0001,DESP_00045,2025-07-12,2025-09-10,USD,87378.9,18349.57,105728.47
FV_00046,CLI_0001,DESP_00046,2025-09-05,2025-11-04,USD,35459.94,7446.59,42906.53
