pago_id,proveedor_id,cuenta_financiera_id,payment_date,amount,currency_code
PAG_00001,SUP_0001,BANK_0002,2023-11-27,16535.5,USD
PAG_00002,SUP_0002,BANK_0002,2023-12-29,6685.04,USD
PAG_00003,SUP_0003,BANK_0002,2024-01-29,3034.56,USD
PAG_00004,SUP_0003,BANK_0002,2024-02-17,830.86,USD
PAG_00005,SUP_0004,BANK_0002,2023-12-24,3841.88,USD
PAG_00006,SUP_0008,BANK_0002,2024-07-14,26101.04,USD
PAG_00007,SUP_0002,BANK_0002,2023-09-02,20727.97,USD
PAG_00008,SUP_0002,BANK_0002,2023-09-11,14832.69,USD
PAG_00009,SUP_0003,BANK_0002,2023-10-16,2807.49,USD
PAG_00010,SUP_0004,BANK_0002,2024-08-08,5715.01,USD
PAG_00011,SUP_0008,BANK_0002,2023-12-11,11558.05,USD
PAG_00012,SUP_0002,BANK_0002,2023-12-31,4858.84,USD
PAG_00013,SUP_0009,BANK_0002,2024-02-17,2219.81,USD
PAG_00014,SUP_0003,BANK_0002,2024-02-07,656.0,USD
PAG_00015,SUP_0004,BANK_0002,2024-01-01,2635.97,USD
PAG_00016,SUP_0001,BANK_0002,2023-11-29,16400.1,USD
PAG_00017,SUP_0002,BANK_0002,2024-01-08,8481.28,USD
PAG_00018,SUP_0009,BANK_0002,2024-02-14,3359.2,USD
PAG_00019,SUP_0003,BANK_0002,2024-01-30,980.9,USD
PAG_00020,SUP_0004,BANK_0002,2023-12-13,5304.36,USD
PAG_00021,SUP_0001,BANK_0002,2023-10-07,14114.47,USD
PAG_00022,SUP_0002,BANK_0002,2023-12-01,15999.84,USD
PAG_00023,SUP_0002,BANK_0002,2023-12-14,8530.21,USD
PAG_00024,SUP_0003,BANK_0002,2024-01-09,1849.69,USD
PAG_00025,SUP_0003,BANK_0002,2024-01-16,872.66,USD
PAG_00026,SUP_0004,BANK_0002,2023-11-02,3586.11,USD
PAG_00027,SUP_0001,BANK_0002,2024-07-14,19527.56,USD
PAG_00028,SUP_0002,BANK_0002,2023-09-20,15136.09,USD
PAG_00029,SUP_0002,BANK_0002,2023-09-12,10884.66,USD
PAG_00030,SUP_0009,BANK_0002,2023-10-22,1789.93,USD
PAG_00031,SUP_0004,BANK_0002,2024-07-19,3994.98,USD
PAG_00032,SUP_0001,BANK_0002,2023-12-12,23306.48,USD
PAG_00033,SUP_0002,BANK_0002,2024-01-11,10604.27,USD
PAG_00034,SUP_0009,BANK_0002,2024-02-08,4564.23,USD
PAG_00035,SUP_0009,BANK_0002,2024-02-14,1234.42,USD
PAG_00036,SUP_0004,BANK_0002,2024-01-07,7393.22,USD
PAG_00037,SUP_0001,BANK_0002,2023-12-21,14156.14,USD
PAG_00038,SUP_0002,BANK_0002,2023-12-30,7187.41,USD
PAG_00039,SUP_0009,BANK_0002,2024-02-22,2838.33,USD
PAG_00040,SUP_0003,BANK_0002,2024-02-15,941.98,USD
PAG_00041,SUP_0004,BANK_0002,2023-12-22,4212.57,USD
PAG_00042,SUP_0001,BANK_0002,2023-10-16,23241.8,USD
PAG_00043,SUP_0002,BANK_0002,2023-12-05,24447.48,USD
PAG_00044,SUP_0002,BANK_0002,2023-11-30,12711.78,USD
PAG_00045,SUP_0009,BANK_0002,2023-12-28,3027.15,USD
PAG_00046,SUP_0003,BANK_0002,2024-01-11,1421.22,USD
PAG_00047,SUP_0004,BANK_0002,2023-10-31,5242.29,USD
PAG_00048,SUP_0008,BANK_0002,2023-12-05,15678.59,USD
PAG_00049,SUP_0002,BANK_0002,2024-01-19,6127.02,USD
PAG_00050,SUP_0009,BANK_0002,2024-02-09,2845.96,USD
PAG_00051,SUP_0003,BANK_0002,2024-01-31,906.89,USD
PAG_00052,SUP_0004,BANK_0002,2023-12-23,4148.45,USD
PAG_00053,SUP_0001,BANK_0002,2023-12-11,11554.92,USD
