pago_aplicacion_id,pago_id,cuenta_pagar_id,applied_amount
PAP_00001,PAG_00001,AP_00001,16535.5
PAP_00002,PAG_00002,AP_00002,6685.04
PAP_00003,PAG_00003,AP_00003,3034.56
PAP_00004,PAG_00004,AP_00004,830.86
PAP_00005,PAG_00005,AP_00005,3841.88
PAP_00006,PAG_00006,AP_00006,26101.04
PAP_00007,PAG_00007,AP_00007,20727.97
PAP_00008,PAG_00008,AP_00008,14832.69
PAP_00009,PAG_00009,AP_00009,2807.49
PAP_00010,PAG_00010,AP_00010,5715.01
PAP_00011,PAG_00011,AP_00011,11558.05
PAP_00012,PAG_00012,AP_00012,4858.84
PAP_00013,PAG_00013,AP_00013,2219.81
PAP_00014,PAG_00014,AP_00014,656.0
PAP_00015,PAG_00015,AP_00015,2635.97
PAP_00016,PAG_00016,AP_00016,16400.1
PAP_00017,PAG_00017,AP_00017,8481.28
PAP_00018,PAG_00018,AP_00018,3359.2
PAP_00019,PAG_00019,AP_00019,980.9
PAP_00020,PAG_00020,AP_00020,5304.36
PAP_00021,PAG_00021,AP_00021,14114.47
PAP_00022,PAG_00022,AP_00022,15999.84
PAP_00023,PAG_00023,AP_00023,8530.21
PAP_00024,PAG_00024,AP_00024,1849.69
PAP_00025,PAG_00025,AP_00025,872.66
PAP_00026,PAG_00026,AP_00026,3586.11
PAP_00027,PAG_00027,AP_00027,19527.56
PAP_00028,PAG_00028,AP_00028,15136.09
PAP_00029,PAG_00029,AP_00029,10884.66
PAP_00030,PAG_00030,AP_00030,1789.93
PAP_00031,PAG_00031,AP_00031,3994.98
PAP_00032,PAG_00032,AP_00032,23306.48
PAP_00033,PAG_00033,AP_00033,10604.27
PAP_00034,PAG_00034,AP_00034,4564.23
PAP_00035,PAG_00035,AP_00035,1234.42
PAP_00036,PAG_00036,AP_00036,7393.22
PAP_00037,PAG_00037,AP_00037,14156.14
PAP_00038,PAG_00038,AP_00038,7187.41
PAP_00039,PAG_00039,AP_00039,2838.33
PAP_00040,PAG_00040,AP_00040,941.98
PAP_00041,PAG_00041,AP_00041,4212.57
PAP_00042,PAG_00042,AP_00042,23241.8
PAP_00043,PAG_00043,AP_00043,24447.48
PAP_00044,PAG_00044,AP_00044,12711.78
PAP_00045,PAG_00045,AP_00045,3027.15
PAP_00046,PAG_00046,AP_00046,1421.22
PAP_00047,PAG_00047,AP_00047,5242.29
PAP_00048,PAG_00048,AP_00048,15678.59
PAP_00049,PAG_00049,AP_00049,6127.02
PAP_00050,PAG_00050,AP_00050,2845.96
PAP_00051,PAG_00051,AP_00051,906.89
PAP_00052,PAG_00052,AP_00052,4148.45
PAP_00053,PAG_00053,AP_00053,11554.92
PAP_00054,PAG_00054,AP_00054,6003.44
PAP_00055,PAG_00055,AP_00055,2125.93
PAP_00056,PAG_00056,AP_00056,667.44
PAP_00057,PAG_00057,AP_00057,2681.88
PAP_00058,PAG_00058,AP_00058,14487.57
PAP_00059,PAG_00059,AP_00059,7763.6
PAP_00060,PAG_00060,AP_00060,2596.42
PAP_00061,PAG_00061,AP_00061,919.82
PAP_00062,PAG_00062,AP_00062,3841.21
PAP_00063,PAG_00063,AP_00063,16448.66
PAP_00064,PAG_00064,AP_00064,6923.79
PAP_00065,PAG_00065,AP_00065,2863.78
PAP_00066,PAG_00066,AP_00066,847.87
PAP_00067,PAG_00067,AP_00067,3759.76
PAP_00068,PAG_00068,AP_00068,28901.72
PAP_00069,PAG_00069,AP_00069,30037.37
PAP_00070,PAG_00070,AP_00070,14659.69
PAP_00071,PAG_00071,AP_00071,3487.32
PAP_00072,PAG_00072,AP_00072,1588.58
PAP_00073,PAG_00073,AP_00073,4767.94
PAP_00074,PAG_00074,AP_00074,12402.3
PAP_00075,PAG_00075,AP_00075,14359.76
PAP_00076,PAG_00076,AP_00076,8357.73
PAP_00077,PAG_00077,AP_00077,1759.42
PAP_00078,PAG_00078,AP_00078,824.87
PAP_00079,PAG_00079,AP_00079,2775.13
PAP_00080,PAG_00080,AP_00080,14319.27
PAP_00081,PAG_00081,AP_00081,15870.23
PAP_00082,PAG_00082,AP_00082,8893.71
PAP_00083,PAG_00083,AP_00083,1887.52
PAP_00084,PAG_00084,AP_00084,2436.45
PAP_00085,PAG_00085,AP_00085,13880.95
PAP_00086,PAG_00086,AP_00086,15959.17
PAP_00087,PAG_00087,AP_00087,10327.0
PAP_00088,PAG_00088,AP_00088,1768.38
PAP_00089,PAG_00089,AP_00089,861.56
PAP_00090,PAG_00090,AP_00090,3144.78
PAP_00091,PAG_00091,AP_00091,23331.06
PAP_00092,PAG_00092,AP_00092,23465.59
PAP_00093,PAG_00093,AP_00093,13150.24
PAP_00094,PAG_00094,AP_00094,2931.48
PAP_00095,PAG_00095,AP_00095,1365.27
PAP_00096,PAG_00096,AP_00096,5219.96
PAP_00097,PAG_00097,AP_00097,18832.32
PAP_00098,PAG_00098,AP_00098,11060.48
PAP_00099,PAG_00099,AP_00099,4269.09
PAP_00100,PAG_00100,AP_00100,1271.0
PAP_00101,PAG_00101,AP_00101,7548.52
PAP_00102,PAG_00102,AP_00102,15146.47
PAP_00103,PAG_00103,AP_00103,7152.84
PAP_00104,PAG_00104,AP_00104,3268.97
PAP_00105,PAG_00105,AP_00105,850.7
PAP_00106,PAG_00106,AP_00106,4526.61
PAP_00107,PAG_00107,AP_00107,18970.46
PAP_00108,PAG_00108,AP_00108,17719.78
PAP_00109,PAG_00109,AP_00109,10857.57
PAP_00110,PAG_00110,AP_00110,1599.38
PAP_00111,PAG_00111,AP_00111,3776.35
PAP_00112,PAG_00112,AP_00112,17112.58
PAP_00113,PAG_00113,AP_00113,15834.63
PAP_00114,PAG_00114,AP_00114,10777.37
PAP_00115,PAG_00115,AP_00115,1736.83
PAP_00116,PAG_00116,AP_00116,1017.27
PAP_00117,PAG_00117,AP_00117,3149.18
PAP_00118,PAG_00118,AP_00118,11752.67
PAP_00119,PAG_00119,AP_00119,5348.99
PAP_00120,PAG_00120,AP_00120,2003.88
PAP_00121,PAG_00121,AP_00121,676.21
PAP_00122,PAG_00122,AP_00122,2880.93
PAP_00123,PAG_00123,AP_00123,15026.97
PAP_00124,PAG_00124,AP_00124,17901.22
PAP_00125,PAG_00125,AP_00125,10785.19
PAP_00126,PAG_00126,AP_00126,1824.13
PAP_00127,PAG_00127,AP_00127,1084.78
PAP_00128,PAG_00128,AP_00128,3481.19
PAP_00129,PAG_00129,AP_00129,1831.0
PAP_00130,PAG_00130,AP_00130,2286.33
PAP_00131,PAG_00131,AP_00131,3137.87
PAP_00132,PAG_00132,AP_00132,1746.62
PAP_00133,PAG_00133,AP_00133,2177.76
PAP_00134,PAG_00134,AP_00134,3669.85
PAP_00135,PAG_00135,AP_00135,5323.57
PAP_00136,PAG_00136,AP_00136,1118.27
PAP_00137,PAG_00137,AP_00137,4558.07
PAP_00138,PAG_00138,AP_00138,7282.26
PAP_00139,PAG_00139,AP_00139,301.31
PAP_00140,PAG_00140,AP_00140,922.43
PAP_00141,PAG_00141,AP_00141,4415.58
PAP_00142,PAG_00142,AP_00142,677.07
PAP_00143,PAG_00143,AP_00143,3812.23
PAP_00144,PAG_00144,AP_00144,4203.44
PAP_00145,PAG_00145,AP_00145,565.01
PAP_00146,PAG_00146,AP_00146,625.45
PAP_00147,PAG_00147,AP_00147,8401.47
PAP_00148,PAG_00148,AP_00148,3914.94
