orden_trabajo_det_id,orden_trabajo_id,producto_id,quantity,unit_cost,total_cost
MOTD_00001,MOT_00001,PROD_0013,1,15.0,15.0
MOTD_00002,MOT_00001,PROD_0015,1,26.0,26.0
MOTD_00003,MOT_00002,PROD_0013,1,15.0,15.0
MOTD_00004,MOT_00002,PROD_0015,1,26.0,26.0
MOTD_00005,MOT_00003,PROD_0013,1,15.0,15.0
MOTD_00006,MOT_00003,PROD_0015,1,26.0,26.0
MOTD_00007,MOT_00004,PROD_0013,1,15.0,15.0
MOTD_00008,MOT_00004,PROD_0015,1,26.0,26.0
MOTD_00009,MOT_00005,PROD_0013,1,15.0,15.0
MOTD_00010,MOT_00005,PROD_0015,1,26.0,26.0
MOTD_00011,MOT_00006,PROD_0013,1,15.0,15.0
MOTD_00012,MOT_00006,PROD_0015,1,26.0,26.0
MOTD_00013,MOT_00007,PROD_0013,1,15.0,15.0
MOTD_00014,MOT_00007,PROD_0015,1,26.0,26.0
MOTD_00015,MOT_00008,PROD_0013,1,15.0,15.0
MOTD_00016,MOT_00008,PROD_0015,1,26.0,26.0
MOTD_00017,MOT_00009,PROD_0013,1,15.0,15.0
MOTD_00018,MOT_00009,PROD_0015,1,26.0,26.0
MOTD_00019,MOT_00010,PROD_0013,1,15.0,15.0
MOTD_00020,MOT_00010,PROD_0015,1,26.0,26.0
MOTD_00021,MOT_00011,PROD_0013,1,15.0,15.0
MOTD_00022,MOT_00011,PROD_0015,1,26.0,26.0
MOTD_00023,MOT_00012,PROD_0013,1,15.0,15.0
MOTD_00024,MOT_00012,PROD_0015,1,26.0,26.0
MOTD_00025,MOT_00013,PROD_0013,1,15.0,15.0
MOTD_00026,MOT_00013,PROD_0015,1,26.0,26.0
MOTD_00027,MOT_00014,PROD_0013,1,15.0,15.0
MOTD_00028,MOT_00014,PROD_0015,1,26.0,26.0
MOTD_00029,MOT_00015,PROD_0013,1,15.0,15.0
MOTD_00030,MOT_00015,PROD_0015,1,26.0,26.0
MOTD_00031,MOT_00016,PROD_0013,1,15.0,15.0
MOTD_00032,MOT_00016,PROD_0015,1,26.0,26.0
MOTD_00033,MOT_00017,PROD_0013,1,15.0,15.0
MOTD_00034,MOT_00017,PROD_0015,1,26.0,26.0
MOTD_00035,MOT_00018,PROD_0013,1,15.0,15.0
MOTD_00036,MOT_00018,PROD_0015,1,26.0,26.0
MOTD_00037,MOT_00019,PROD_0013,1,15.0,15.0
MOTD_00038,MOT_00019,PROD_0015,1,26.0,26.0
MOTD_00039,MOT_00020,PROD_0013,1,15.0,15.0
MOTD_00040,MOT_00020,PROD_0015,1,26.0,26.0
MOTD_00041,MOT_00021,PROD_0013,1,15.0,15.0
MOTD_00042,MOT_00021,PROD_0015,1,26.0,26.0
MOTD_00043,MOT_00022,PROD_0013,1,15.0,15.0
MOTD_00044,MOT_00022,PROD_0015,1,26.0,26.0
MOTD_00045,MOT_00023,PROD_0013,1,15.0,15.0
MOTD_00046,MOT_00023,PROD_0015,1,26.0,26.0
MOTD_00047,MOT_00024,PROD_0013,1,15.0,15.0
MOTD_00048,MOT_00024,PROD_0015,1,26.0,26.0
MOTD_00049,MOT_00025,PROD_0013,1,15.0,15.0
MOTD_00050,MOT_00025,PROD_0015,1,26.0,26.0
MOTD_00051,MOT_00026,PROD_0013,1,15.0,15.0
MOTD_00052,MOT_00026,PROD_0015,1,26.0,26.0
MOTD_00053,MOT_00027,PROD_0013,1,15.0,15.0
MOTD_00054,MOT_00027,PROD_0015,1,26.0,26.0
MOTD_00055,MOT_00028,PROD_0013,1,15.0,15.0
MOTD_00056,MOT_00028,PROD_0015,1,26.0,26.0
MOTD_00057,MOT_00029,PROD_0013,1,15.0,15.0
MOTD_00058,MOT_00029,PROD_0015,1,26.0,26.0
MOTD_00059,MOT_00030,PROD_0013,1,15.0,15.0
MOTD_00060,MOT_00030,PROD_0015,1,26.0,26.0
MOTD_00061,MOT_00031,PROD_0014,1,42.0,42.0
MOTD_00062,MOT_00031,PROD_0015,1,26.0,26.0
MOTD_00063,MOT_00032,PROD_0013,1,15.0,15.0
MOTD_00064,MOT_00032,PROD_0015,1,26.0,26.0
MOTD_00065,MOT_00033,PROD_0013,1,15.0,15.0
MOTD_00066,MOT_00033,PROD_0015,1,26.0,26.0
MOTD_00067,MOT_00034,PROD_0013,1,15.0,15.0
MOTD_00068,MOT_00034,PROD_0015,1,26.0,26.0
MOTD_00069,MOT_00035,PROD_0013,1,15.0,15.0
MOTD_00070,MOT_00035,PROD_0015,1,26.0,26.0
MOTD_00071,MOT_00036,PROD_0013,1,15.0,15.0
MOTD_00072,MOT_00036,PROD_0015,1,26.0,26.0
MOTD_00073,MOT_00037,PROD_0013,1,15.0,15.0
MOTD_00074,MOT_00037,PROD_0015,1,26.0,26.0
MOTD_00075,MOT_00038,PROD_0013,1,15.0,15.0
MOTD_00076,MOT_00038,PROD_0015,1,26.0,26.0
MOTD_00077,MOT_00039,PROD_0013,1,15.0,15.0
MOTD_00078,MOT_00039,PROD_0015,1,26.0,26.0
MOTD_00079,MOT_00040,PROD_0013,1,15.0,15.0
MOTD_00080,MOT_00040,PROD_0015,1,26.0,26.0
MOTD_00081,MOT_00041,PROD_0013,1,15.0,15.0
MOTD_00082,MOT_00041,PROD_0015,1,26.0,26.0
MOTD_00083,MOT_00042,PROD_0013,1,15.0,15.0
MOTD_00084,MOT_00042,PROD_0015,1,26.0,26.0
MOTD_00085,MOT_00043,PROD_0013,1,15.0,15.0
MOTD_00086,MOT_00043,PROD_0015,1,26.0,26.0
MOTD_00087,MOT_00044,PROD_0013,1,15.0,15.0
MOTD_00088,MOT_00044,PROD_0015,1,26.0,26.0
MOTD_00089,MOT_00045,PROD_0013,1,15.0,15.0
MOTD_00090,MOT_00045,PROD_0015,1,26.0,26.0
MOTD_00091,MOT_00046,PROD_0013,1,15.0,15.0
MOTD_00092,MOT_00046,PROD_0015,1,26.0,26.0
MOTD_00093,MOT_00047,PROD_0013,1,15.0,15.0
MOTD_00094,MOT_00047,PROD_0015,1,26.0,26.0
MOTD_00095,MOT_00048,PROD_0013,1,15.0,15.0
MOTD_00096,MOT_00048,PROD_0015,1,26.0,26.0
MOTD_00097,MOT_00049,PROD_0013,1,15.0,15.0
MOTD_00098,MOT_00049,PROD_0015,1,26.0,26.0
MOTD_00099,MOT_00050,PROD_0013,1,15.0,15.0
MOTD_00100,MOT_00050,PROD_0015,1,26.0,26.0
MOTD_00101,MOT_00051,PROD_0013,1,15.0,15.0
MOTD_00102,MOT_00051,PROD_0015,1,26.0,26.0
MOTD_00103,MOT_00052,PROD_0013,1,15.0,15.0
MOTD_00104,MOT_00052,PROD_0015,1,26.0,26.0
MOTD_00105,MOT_00053,PROD_0013,1,15.0,15.0
MOTD_00106,MOT_00053,PROD_0015,1,26.0,26.0
MOTD_00107,MOT_00054,PROD_0013,1,15.0,15.0
MOTD_00108,MOT_00054,PROD_0015,1,26.0,26.0
MOTD_00109,MOT_00055,PROD_0013,1,15.0,15.0
MOTD_00110,MOT_00055,PROD_0015,1,26.0,26.0
MOTD_00111,MOT_00056,PROD_0013,1,15.0,15.0
MOTD_00112,MOT_00056,PROD_0015,1,26.0,26.0
MOTD_00113,MOT_00057,PROD_0013,1,15.0,15.0
MOTD_00114,MOT_00057,PROD_0015,1,26.0,26.0
MOTD_00115,MOT_00058,PROD_0013,1,15.0,15.0
MOTD_00116,MOT_00058,PROD_0015,1,26.0,26.0
MOTD_00117,MOT_00059,PROD_0013,1,15.0,15.0
MOTD_00118,MOT_00059,PROD_0015,1,26.0,26.0
MOTD_00119,MOT_00060,PROD_0013,1,15.0,15.0
MOTD_00120,MOT_00060,PROD_0015,1,26.0,26.0
MOTD_00121,MOT_00061,PROD_0013,1,15.0,15.0
MOTD_00122,MOT_00061,PROD_0015,1,26.0,26.0
MOTD_00123,MOT_00062,PROD_0014,1,42.0,42.0
MOTD_00124,MOT_00062,PROD_0015,1,26.0,26.0
MOTD_00125,MOT_00063,PROD_0014,2,42.0,84.0
MOTD_00126,MOT_00063,PROD_0015,1,26.0,26.0
MOTD_00127,MOT_00064,PROD_0013,1,15.0,15.0
MOTD_00128,MOT_00064,PROD_0015,1,26.0,26.0
MOTD_00129,MOT_00065,PROD_0013,1,15.0,15.0
MOTD_00130,MOT_00065,PROD_0015,1,26.0,26.0
MOTD_00131,MOT_00066,PROD_0013,1,15.0,15.0
MOTD_00132,MOT_00066,PROD_0015,1,26.0,26.0
MOTD_00133,MOT_00067,PROD_0013,1,15.0,15.0
MOTD_00134,MOT_00067,PROD_0015,1,26.0,26.0
MOTD_00135,MOT_00068,PROD_0013,1,15.0,15.0
MOTD_00136,MOT_00068,PROD_0015,1,26.0,26.0
MOTD_00137,MOT_00069,PROD_0013,1,15.0,15.0
MOTD_00138,MOT_00069,PROD_0015,1,26.0,26.0
MOTD_00139,MOT_00070,PROD_0013,1,15.0,15.0
MOTD_00140,MOT_00070,PROD_0015,1,26.0,26.0
MOTD_00141,MOT_00071,PROD_0013,1,15.0,15.0
MOTD_00142,MOT_00071,PROD_0015,1,26.0,26.0
MOTD_00143,MOT_00072,PROD_0013,1,15.0,15.0
MOTD_00144,MOT_00072,PROD_0015,1,26.0,26.0
MOTD_00145,MOT_00073,PROD_0013,1,15.0,15.0
MOTD_00146,MOT_00073,PROD_0015,1,26.0,26.0
MOTD_00147,MOT_00074,PROD_0013,1,15.0,15.0
MOTD_00148,MOT_00074,PROD_0015,1,26.0,26.0
MOTD_00149,MOT_00075,PROD_0013,1,15.0,15.0
MOTD_00150,MOT_00075,PROD_0015,1,26.0,26.0
MOTD_00151,MOT_00076,PROD_0013,1,15.0,15.0
MOTD_00152,MOT_00076,PROD_0015,1,26.0,26.0
MOTD_00153,MOT_00077,PROD_0013,1,15.0,15.0
MOTD_00154,MOT_00077,PROD_0015,1,26.0,26.0
MOTD_00155,MOT_00078,PROD_0013,1,15.0,15.0
MOTD_00156,MOT_00078,PROD_0015,1,26.0,26.0
MOTD_00157,MOT_00079,PROD_0013,1,15.0,15.0
MOTD_00158,MOT_00079,PROD_0015,1,26.0,26.0
MOTD_00159,MOT_00080,PROD_0013,1,15.0,15.0
MOTD_00160,MOT_00080,PROD_0015,1,26.0,26.0
MOTD_00161,MOT_00081,PROD_0013,1,15.0,15.0
MOTD_00162,MOT_00081,PROD_0015,1,26.0,26.0
