parada_id,activo_id,start_date,end_date,downtime_hours,reason
PRD_00001,ACT_0001,2024-08-25,2024-08-26,17.5,Falla mecanica
PRD_00002,ACT_0002,2025-12-24,2025-12-25,17.1,Falla mecanica
PRD_00003,ACT_0002,2025-10-31,2025-11-03,23.8,Falla mecanica
PRD_00004,ACT_0003,2023-08-29,2023-09-01,24.3,Falla mecanica
PRD_00005,ACT_0004,2023-11-06,2023-11-09,20.1,Falla mecanica
PRD_00006,ACT_0005,2023-10-16,2023-10-17,21.7,Falla mecanica
PRD_00007,ACT_0006,2025-01-31,2025-02-01,9.5,Falla mecanica
PRD_00008,ACT_0006,2025-07-02,2025-07-03,18.9,Falla mecanica
PRD_00009,ACT_0006,2025-07-11,2025-07-13,12.0,Falla mecanica
PRD_00010,ACT_0007,2025-09-01,2025-09-02,17.5,Falla mecanica
PRD_00011,ACT_0008,2025-01-25,2025-01-27,23.6,Falla mecanica
PRD_00012,ACT_0008,2025-08-15,2025-08-18,10.8,Falla mecanica
PRD_00013,ACT_0008,2023-11-17,2023-11-18,16.5,Falla mecanica
