comp_impuesto_id,tipo_impuesto_id,source_table,source_id,period_id,amount
TCL_000001,TAX_0002,fin_facturas_compra,FC_00001,202310,2869.8
TCL_000002,TAX_0002,fin_facturas_compra,FC_00002,202311,1160.21
TCL_000003,TAX_0002,fin_facturas_compra,FC_00003,202312,526.66
TCL_000004,TAX_0002,fin_facturas_compra,FC_00004,202312,148.66
TCL_000005,TAX_0002,fin_facturas_compra,FC_00005,202310,666.77
TCL_000006,TAX_0002,fin_facturas_compra,FC_00006,202405,4529.93
TCL_000007,TAX_0002,fin_facturas_compra,FC_00007,202307,3597.42
TCL_000008,TAX_0002,fin_facturas_compra,FC_00008,202307,2574.27
TCL_000009,TAX_0002,fin_facturas_compra,FC_00009,202308,487.25
TCL_000010,TAX_0002,fin_facturas_compra,FC_00010,202405,991.86
TCL_000011,TAX_0002,fin_facturas_compra,FC_00011,202310,2005.94
TCL_000012,TAX_0002,fin_facturas_compra,FC_00012,202311,843.27
TCL_000013,TAX_0002,fin_facturas_compra,FC_00013,202312,385.26
TCL_000014,TAX_0002,fin_facturas_compra,FC_00014,202312,113.85
TCL_000015,TAX_0002,fin_facturas_compra,FC_00015,202310,457.48
TCL_000016,TAX_0002,fin_facturas_compra,FC_00016,202310,2846.3
TCL_000017,TAX_0002,fin_facturas_compra,FC_00017,202311,1471.96
TCL_000018,TAX_0002,fin_facturas_compra,FC_00018,202312,583.0
TCL_000019,TAX_0002,fin_facturas_compra,FC_00019,202312,170.24
TCL_000020,TAX_0002,fin_facturas_compra,FC_00020,202310,920.59
TCL_000021,TAX_0002,fin_facturas_compra,FC_00021,202308,2662.63
TCL_000022,TAX_0002,fin_facturas_compra,FC_00022,202310,2862.71
TCL_000023,TAX_0002,fin_facturas_compra,FC_00023,202311,1480.45
TCL_000024,TAX_0002,fin_facturas_compra,FC_00024,202311,321.02
TCL_000025,TAX_0002,fin_facturas_compra,FC_00025,202312,151.45
TCL_000026,TAX_0002,fin_facturas_compra,FC_00026,202308,622.38
TCL_000027,TAX_0002,fin_facturas_compra,FC_00027,202405,3389.08
TCL_000028,TAX_0002,fin_facturas_compra,FC_00028,202307,2855.35
TCL_000029,TAX_0002,fin_facturas_compra,FC_00029,202307,1889.07
TCL_000030,TAX_0002,fin_facturas_compra,FC_00030,202309,310.65
TCL_000031,TAX_0002,fin_facturas_compra,FC_00031,202405,693.34
TCL_000032,TAX_0002,fin_facturas_compra,FC_00032,202310,4044.93
TCL_000033,TAX_0002,fin_facturas_compra,FC_00033,202311,1840.41
TCL_000034,TAX_0002,fin_facturas_compra,FC_00034,202312,792.14
TCL_000035,TAX_0002,fin_facturas_compra,FC_00035,202312,214.24
TCL_000036,TAX_0002,fin_facturas_compra,FC_00036,202311,1283.12
TCL_000037,TAX_0002,fin_facturas_compra,FC_00037,202310,2670.49
TCL_000038,TAX_0002,fin_facturas_compra,FC_00038,202311,1247.4
TCL_000039,TAX_0002,fin_facturas_compra,FC_00039,202312,492.6
TCL_000040,TAX_0002,fin_facturas_compra,FC_00040,202312,163.48
TCL_000041,TAX_0002,fin_facturas_compra,FC_00041,202310,731.11
TCL_000042,TAX_0002,fin_facturas_compra,FC_00042,202308,4033.7
TCL_000043,TAX_0002,fin_facturas_compra,FC_00043,202310,4242.95
TCL_000044,TAX_0002,fin_facturas_compra,FC_00044,202310,2206.18
TCL_000045,TAX_0002,fin_facturas_compra,FC_00045,202311,525.37
TCL_000046,TAX_0002,fin_facturas_compra,FC_00046,202311,246.66
TCL_000047,TAX_0002,fin_facturas_compra,FC_00047,202308,909.82
TCL_000048,TAX_0002,fin_facturas_compra,FC_00048,202310,2721.08
TCL_000049,TAX_0002,fin_facturas_compra,FC_00049,202311,1063.37
TCL_000050,TAX_0002,fin_facturas_compra,FC_00050,202312,493.93
TCL_000051,TAX_0002,fin_facturas_compra,FC_00051,202312,157.39
TCL_000052,TAX_0002,fin_facturas_compra,FC_00052,202310,719.98
TCL_000053,TAX_0002,fin_facturas_compra,FC_00053,202310,2005.4
TCL_000054,TAX_0002,fin_facturas_compra,FC_00054,202311,1041.92
TCL_000055,TAX_0002,fin_facturas_compra,FC_00055,202312,368.96
TCL_000056,TAX_0002,fin_facturas_compra,FC_00056,202312,115.84
TCL_000057,TAX_0002,fin_facturas_compra,FC_00057,202310,465.45
TCL_000058,TAX_0002,fin_facturas_compra,FC_00058,202310,2514.37
TCL_000059,TAX_0002,fin_facturas_compra,FC_00059,202311,1347.4
TCL_000060,TAX_0002,fin_facturas_compra,FC_00060,202401,450.62
TCL_000061,TAX_0002,fin_facturas_compra,FC_00061,202312,159.64
TCL_000062,TAX_0002,fin_facturas_compra,FC_00062,202310,666.66
TCL_000063,TAX_0002,fin_facturas_compra,FC_00063,202410,2854.73
TCL_000064,TAX_0002,fin_facturas_compra,FC_00064,202411,1201.65
TCL_000065,TAX_0002,fin_facturas_compra,FC_00065,202412,497.02
TCL_000066,TAX_0002,fin_facturas_compra,FC_00066,202412,147.15
TCL_000067,TAX_0002,fin_facturas_compra,FC_00067,202410,741.5
TCL_000068,TAX_0002,fin_facturas_compra,FC_00068,202408,5016.0
TCL_000069,TAX_0002,fin_facturas_compra,FC_00069,202410,5213.1
TCL_000070,TAX_0002,fin_facturas_compra,FC_00070,202410,3261.85
