asiento_id,empresa_id,entry_date,entry_type,source_table,source_id
ASI_000001,EMP_0001,2023-10-11,FACTURA_COMPRA,fin_facturas_compra,FC_00001
ASI_000002,EMP_0001,2023-11-13,FACTURA_COMPRA,fin_facturas_compra,FC_00002
ASI_000003,EMP_0001,2023-12-16,FACTURA_COMPRA,fin_facturas_compra,FC_00003
ASI_000004,EMP_0001,2023-12-24,FACTURA_COMPRA,fin_facturas_compra,FC_00004
ASI_000005,EMP_0001,2023-10-15,FACTURA_COMPRA,fin_facturas_compra,FC_00005
ASI_000006,EMP_0001,2024-05-27,FACTURA_COMPRA,fin_facturas_compra,FC_00006
ASI_000007,EMP_0001,2023-07-18,FACTURA_COMPRA,fin_facturas_compra,FC_00007
ASI_000008,EMP_0001,2023-07-23,FACTURA_COMPRA,fin_facturas_compra,FC_00008
ASI_000009,EMP_0001,2023-08-27,FACTURA_COMPRA,fin_facturas_compra,FC_00009
ASI_000010,EMP_0001,2024-05-29,FACTURA_COMPRA,fin_facturas_compra,FC_00010
ASI_000011,EMP_0001,2023-10-26,FACTURA_COMPRA,fin_facturas_compra,FC_00011
ASI_000012,EMP_0001,2023-11-12,FACTURA_COMPRA,fin_facturas_compra,FC_00012
ASI_000013,EMP_0001,2023-12-27,FACTURA_COMPRA,fin_facturas_compra,FC_00013
ASI_000014,EMP_0001,2023-12-19,FACTURA_COMPRA,fin_facturas_compra,FC_00014
ASI_000015,EMP_0001,2023-10-26,FACTURA_COMPRA,fin_facturas_compra,FC_00015
ASI_000016,EMP_0001,2023-10-12,FACTURA_COMPRA,fin_facturas_compra,FC_00016
ASI_000017,EMP_0001,2023-11-24,FACTURA_COMPRA,fin_facturas_compra,FC_00017
ASI_000018,EMP_0001,2023-12-20,FACTURA_COMPRA,fin_facturas_compra,FC_00018
ASI_000019,EMP_0001,2023-12-11,FACTURA_COMPRA,fin_facturas_compra,FC_00019
ASI_000020,EMP_0001,2023-10-15,FACTURA_COMPRA,fin_facturas_compra,FC_00020
ASI_000021,EMP_0001,2023-08-13,FACTURA_COMPRA,fin_facturas_compra,FC_00021
ASI_000022,EMP_0001,2023-10-17,FACTURA_COMPRA,fin_facturas_compra,FC_00022
ASI_000023,EMP_0001,2023-11-02,FACTURA_COMPRA,fin_facturas_compra,FC_00023
ASI_000024,EMP_0001,2023-11-19,FACTURA_COMPRA,fin_facturas_compra,FC_00024
ASI_000025,EMP_0001,2023-12-04,FACTURA_COMPRA,fin_facturas_compra,FC_00025
ASI_000026,EMP_0001,2023-08-28,FACTURA_COMPRA,fin_facturas_compra,FC_00026
ASI_000027,EMP_0001,2024-05-24,FACTURA_COMPRA,fin_facturas_compra,FC_00027
ASI_000028,EMP_0001,2023-07-28,FACTURA_COMPRA,fin_facturas_compra,FC_00028
ASI_000029,EMP_0001,2023-07-19,FACTURA_COMPRA,fin_facturas_compra,FC_00029
ASI_000030,EMP_0001,2023-09-01,FACTURA_COMPRA,fin_facturas_compra,FC_00030
ASI_000031,EMP_0001,2024-05-18,FACTURA_COMPRA,fin_facturas_compra,FC_00031
ASI_000032,EMP_0001,2023-10-19,FACTURA_COMPRA,fin_facturas_compra,FC_00032
ASI_000033,EMP_0001,2023-11-28,FACTURA_COMPRA,fin_facturas_compra,FC_00033
ASI_000034,EMP_0001,2023-12-27,FACTURA_COMPRA,fin_facturas_compra,FC_00034
ASI_000035,EMP_0001,2023-12-20,FACTURA_COMPRA,fin_facturas_compra,FC_00035
ASI_000036,EMP_0001,2023-11-04,FACTURA_COMPRA,fin_facturas_compra,FC_00036
ASI_000037,EMP_0001,2023-10-29,FACTURA_COMPRA,fin_facturas_compra,FC_00037
ASI_000038,EMP_0001,2023-11-17,FACTURA_COMPRA,fin_facturas_compra,FC_00038
ASI_000039,EMP_0001,2023-12-28,FACTURA_COMPRA,fin_facturas_compra,FC_00039
ASI_000040,EMP_0001,2023-12-28,FACTURA_COMPRA,fin_facturas_compra,FC_00040
ASI_000041,EMP_0001,2023-10-25,FACTURA_COMPRA,fin_facturas_compra,FC_00041
ASI_000042,EMP_0001,2023-08-24,FACTURA_COMPRA,fin_facturas_compra,FC_00042
ASI_000043,EMP_0001,2023-10-13,FACTURA_COMPRA,fin_facturas_compra,FC_00043
ASI_000044,EMP_0001,2023-10-10,FACTURA_COMPRA,fin_facturas_compra,FC_00044
ASI_000045,EMP_0001,2023-11-10,FACTURA_COMPRA,fin_facturas_compra,FC_00045
ASI_000046,EMP_0001,2023-11-25,FACTURA_COMPRA,fin_facturas_compra,FC_00046
ASI_000047,EMP_0001,2023-08-30,FACTURA_COMPRA,fin_facturas_compra,FC_00047
ASI_000048,EMP_0001,2023-10-13,FACTURA_COMPRA,fin_facturas_compra,FC_00048
ASI_000049,EMP_0001,2023-11-27,FACTURA_COMPRA,fin_facturas_compra,FC_00049
ASI_000050,EMP_0001,2023-12-22,FACTURA_COMPRA,fin_facturas_compra,FC_00050
ASI_000051,EMP_0001,2023-12-12,FACTURA_COMPRA,fin_facturas_compra,FC_00051
ASI_000052,EMP_0001,2023-10-26,FACTURA_COMPRA,fin_facturas_compra,FC_00052
ASI_000053,EMP_0001,2023-10-18,FACTURA_COMPRA,fin_facturas_compra,FC_00053
ASI_000054,EMP_0001,2023-11-14,FACTURA_COMPRA,fin_facturas_compra,FC_00054
ASI_000055,EMP_0001,2023-12-24,FACTURA_COMPRA,fin_facturas_compra,FC_00055
ASI_000056,EMP_0001,2023-12-18,FACTURA_COMPRA,fin_facturas_compra,FC_00056
ASI_000057,EMP_0001,2023-10-30,FACTURA_COMPRA,fin_facturas_compra,FC_00057
ASI_000058,EMP_0001,2023-10-06,FACTURA_COMPRA,fin_facturas_compra,FC_00058
ASI_000059,EMP_0001,2023-11-12,FACTURA_COMPRA,fin_facturas_compra,FC_00059
ASI_000060,EMP_0001,2024-01-03,FACTURA_COMPRA,fin_facturas_compra,FC_00060
ASI_000061,EMP_0001,2023-12-17,FACTURA_COMPRA,fin_facturas_compra,FC_00061
ASI_000062,EMP_0001,2023-10-14,FACTURA_COMPRA,fin_facturas_compra,FC_00062
ASI_000063,EMP_0001,2024-10-27,FACTURA_COMPRA,fin_facturas_compra,FC_00063
ASI_000064,EMP_0001,2024-11-27,FACTURA_COMPRA,fin_facturas_compra,FC_00064
ASI_000065,EMP_0001,2024-12-10,FACTURA_COMPRA,fin_facturas_compra,FC_00065
ASI_000066,EMP_0001,2024-12-16,FACTURA_COMPRA,fin_facturas_compra,FC_00066
ASI_000067,EMP_0001,2024-10-23,FACTURA_COMPRA,fin_facturas_compra,FC_00067
ASI_000068,EMP_0001,2024-08-13,FACTURA_COMPRA,fin_facturas_compra,FC_00068
ASI_000069,EMP_0001,2024-10-27,FACTURA_COMPRA,fin_facturas_compra,FC_00069
ASI_000070,EMP_0001,2024-10-16,FACTURA_COMPRA,fin_facturas_compra,FC_00070
ASI_000071,EMP_0001,2024-11-23,FACTURA_COMPRA,fin_facturas_compra,FC_00071
ASI_000072,EMP_0001,2024-11-16,FACTURA_COMPRA,fin_facturas_compra,FC_00072
ASI_000073,EMP_0001,2024-08-28,FACTURA_COMPRA,fin_facturas_compra,FC_00073
ASI_000074,EMP_0001,2024-08-23,FACTURA_COMPRA,fin_facturas_compra,FC_00074
ASI_000075,EMP_0001,2024-11-02,FACTURA_COMPRA,fin_facturas_compra,FC_00075
ASI_000076,EMP_0001,2024-10-26,FACTURA_COMPRA,fin_facturas_compra,FC_00076
ASI_000077,EMP_0001,2024-11-14,FACTURA_COMPRA,fin_facturas_compra,FC_00077
ASI_000078,EMP_0001,2024-11-16,FACTURA_COMPRA,fin_facturas_compra,FC_00078
ASI_000079,EMP_0001,2024-08-08,FACTURA_COMPRA,fin_facturas_compra,FC_00079
ASI_000080,EMP_0001,2025-05-30,FACTURA_COMPRA,fin_facturas_compra,FC_00080
