asiento_det_id,asiento_id,cuenta_contable_id,centro_costo_id,debit_amount,credit_amount,memo
ASD_0000001,ASI_000001,CTA_0004,,13665.7,0.0,Inventario de insumos
ASD_0000002,ASI_000001,CTA_0003,,2869.8,0.0,IVA credito fiscal
ASD_0000003,ASI_000001,CTA_0006,,0.0,16535.5,Cuenta por pagar proveedor
ASD_0000004,ASI_000002,CTA_0004,,5524.83,0.0,Inventario de insumos
ASD_0000005,ASI_000002,CTA_0003,,1160.21,0.0,IVA credito fiscal
ASD_0000006,ASI_000002,CTA_0006,,0.0,6685.04,Cuenta por pagar proveedor
ASD_0000007,ASI_000003,CTA_0004,,2507.9,0.0,Inventario de insumos
ASD_0000008,ASI_000003,CTA_0003,,526.66,0.0,IVA credito fiscal
ASD_0000009,ASI_000003,CTA_0006,,0.0,3034.56,Cuenta por pagar proveedor
ASD_0000010,ASI_000004,CTA_0004,,707.9,0.0,Inventario de insumos
ASD_0000011,ASI_000004,CTA_0003,,148.66,0.0,IVA credito fiscal
ASD_0000012,ASI_000004,CTA_0006,,0.0,856.56,Cuenta por pagar proveedor
ASD_0000013,ASI_000005,CTA_0004,,3175.11,0.0,Inventario de insumos
ASD_0000014,ASI_000005,CTA_0003,,666.77,0.0,IVA credito fiscal
ASD_0000015,ASI_000005,CTA_0006,,0.0,3841.88,Cuenta por pagar proveedor
ASD_0000016,ASI_000006,CTA_0004,,21571.11,0.0,Inventario de insumos
ASD_0000017,ASI_000006,CTA_0003,,4529.93,0.0,IVA credito fiscal
ASD_0000018,ASI_000006,CTA_0006,,0.0,26101.04,Cuenta por pagar proveedor
ASD_0000019,ASI_000007,CTA_0004,,17130.55,0.0,Inventario de insumos
ASD_0000020,ASI_000007,CTA_0003,,3597.42,0.0,IVA credito fiscal
ASD_0000021,ASI_000007,CTA_0006,,0.0,20727.97,Cuenta por pagar proveedor
ASD_0000022,ASI_000008,CTA_0004,,12258.42,0.0,Inventario de insumos
ASD_0000023,ASI_000008,CTA_0003,,2574.27,0.0,IVA credito fiscal
ASD_0000024,ASI_000008,CTA_0006,,0.0,14832.69,Cuenta por pagar proveedor
ASD_0000025,ASI_000009,CTA_0004,,2320.24,0.0,Inventario de insumos
ASD_0000026,ASI_000009,CTA_0003,,487.25,0.0,IVA credito fiscal
ASD_0000027,ASI_000009,CTA_0006,,0.0,2807.49,Cuenta por pagar proveedor
ASD_0000028,ASI_000010,CTA_0004,,4723.15,0.0,Inventario de insumos
ASD_0000029,ASI_000010,CTA_0003,,991.86,0.0,IVA credito fiscal
ASD_0000030,ASI_000010,CTA_0006,,0.0,5715.01,Cuenta por pagar proveedor
ASD_0000031,ASI_000011,CTA_0004,,9552.11,0.0,Inventario de insumos
ASD_0000032,ASI_000011,CTA_0003,,2005.94,0.0,IVA credito fiscal
ASD_0000033,ASI_000011,CTA_0006,,0.0,11558.05,Cuenta por pagar proveedor
ASD_0000034,ASI_000012,CTA_0004,,4015.57,0.0,Inventario de insumos
ASD_0000035,ASI_000012,CTA_0003,,843.27,0.0,IVA credito fiscal
ASD_0000036,ASI_000012,CTA_0006,,0.0,4858.84,Cuenta por pagar proveedor
ASD_0000037,ASI_000013,CTA_0004,,1834.55,0.0,Inventario de insumos
ASD_0000038,ASI_000013,CTA_0003,,385.26,0.0,IVA credito fiscal
ASD_0000039,ASI_000013,CTA_0006,,0.0,2219.81,Cuenta por pagar proveedor
ASD_0000040,ASI_000014,CTA_0004,,542.15,0.0,Inventario de insumos
ASD_0000041,ASI_000014,CTA_0003,,113.85,0.0,IVA credito fiscal
ASD_0000042,ASI_000014,CTA_0006,,0.0,656.0,Cuenta por pagar proveedor
ASD_0000043,ASI_000015,CTA_0004,,2178.49,0.0,Inventario de insumos
ASD_0000044,ASI_000015,CTA_0003,,457.48,0.0,IVA credito fiscal
ASD_0000045,ASI_000015,CTA_0006,,0.0,2635.97,Cuenta por pagar proveedor
ASD_0000046,ASI_000016,CTA_0004,,13553.8,0.0,Inventario de insumos
ASD_0000047,ASI_000016,CTA_0003,,2846.3,0.0,IVA credito fiscal
ASD_0000048,ASI_000016,CTA_0006,,0.0,16400.1,Cuenta por pagar proveedor
ASD_0000049,ASI_000017,CTA_0004,,7009.32,0.0,Inventario de insumos
ASD_0000050,ASI_000017,CTA_0003,,1471.96,0.0,IVA credito fiscal
ASD_0000051,ASI_000017,CTA_0006,,0.0,8481.28,Cuenta por pagar proveedor
ASD_0000052,ASI_000018,CTA_0004,,2776.2,0.0,Inventario de insumos
ASD_0000053,ASI_000018,CTA_0003,,583.0,0.0,IVA credito fiscal
ASD_0000054,ASI_000018,CTA_0006,,0.0,3359.2,Cuenta por pagar proveedor
ASD_0000055,ASI_000019,CTA_0004,,810.66,0.0,Inventario de insumos
ASD_0000056,ASI_000019,CTA_0003,,170.24,0.0,IVA credito fiscal
ASD_0000057,ASI_000019,CTA_0006,,0.0,980.9,Cuenta por pagar proveedor
ASD_0000058,ASI_000020,CTA_0004,,4383.77,0.0,Inventario de insumos
ASD_0000059,ASI_000020,CTA_0003,,920.59,0.0,IVA credito fiscal
ASD_0000060,ASI_000020,CTA_0006,,0.0,5304.36,Cuenta por pagar proveedor
ASD_0000061,ASI_000021,CTA_0004,,12679.18,0.0,Inventario de insumos
ASD_0000062,ASI_000021,CTA_0003,,2662.63,0.0,IVA credito fiscal
ASD_0000063,ASI_000021,CTA_0006,,0.0,15341.81,Cuenta por pagar proveedor
ASD_0000064,ASI_000022,CTA_0004,,13631.97,0.0,Inventario de insumos
ASD_0000065,ASI_000022,CTA_0003,,2862.71,0.0,IVA credito fiscal
ASD_0000066,ASI_000022,CTA_0006,,0.0,16494.68,Cuenta por pagar proveedor
ASD_0000067,ASI_000023,CTA_0004,,7049.76,0.0,Inventario de insumos
ASD_0000068,ASI_000023,CTA_0003,,1480.45,0.0,IVA credito fiscal
ASD_0000069,ASI_000023,CTA_0006,,0.0,8530.21,Cuenta por pagar proveedor
ASD_0000070,ASI_000024,CTA_0004,,1528.67,0.0,Inventario de insumos
ASD_0000071,ASI_000024,CTA_0003,,321.02,0.0,IVA credito fiscal
ASD_0000072,ASI_000024,CTA_0006,,0.0,1849.69,Cuenta por pagar proveedor
ASD_0000073,ASI_000025,CTA_0004,,721.21,0.0,Inventario de insumos
ASD_0000074,ASI_000025,CTA_0003,,151.45,0.0,IVA credito fiscal
ASD_0000075,ASI_000025,CTA_0006,,0.0,872.66,Cuenta por pagar proveedor
ASD_0000076,ASI_000026,CTA_0004,,2963.73,0.0,Inventario de insumos
ASD_0000077,ASI_000026,CTA_0003,,622.38,0.0,IVA credito fiscal
ASD_0000078,ASI_000026,CTA_0006,,0.0,3586.11,Cuenta por pagar proveedor
ASD_0000079,ASI_000027,CTA_0004,,16138.48,0.0,Inventario de insumos
ASD_0000080,ASI_000027,CTA_0003,,3389.08,0.0,IVA credito fiscal
ASD_0000081,ASI_000027,CTA_0006,,0.0,19527.56,Cuenta por pagar proveedor
ASD_0000082,ASI_000028,CTA_0004,,13596.92,0.0,Inventario de insumos
ASD_0000083,ASI_000028,CTA_0003,,2855.35,0.0,IVA credito fiscal
ASD_0000084,ASI_000028,CTA_0006,,0.0,16452.27,Cuenta por pagar proveedor
ASD_0000085,ASI_000029,CTA_0004,,8995.59,0.0,Inventario de insumos
ASD_0000086,ASI_000029,CTA_0003,,1889.07,0.0,IVA credito fiscal
ASD_0000087,ASI_000029,CTA_0006,,0.0,10884.66,Cuenta por pagar proveedor
ASD_0000088,ASI_000030,CTA_0004,,1479.28,0.0,Inventario de insumos
ASD_0000089,ASI_000030,CTA_0003,,310.65,0.0,IVA credito fiscal
ASD_0000090,ASI_000030,CTA_0006,,0.0,1789.93,Cuenta por pagar proveedor
ASD_0000091,ASI_000031,CTA_0004,,3301.64,0.0,Inventario de insumos
ASD_0000092,ASI_000031,CTA_0003,,693.34,0.0,IVA credito fiscal
ASD_0000093,ASI_000031,CTA_0006,,0.0,3994.98,Cuenta por pagar proveedor
