analisis_calidad_id,lote_calidad_id,analysis_date,humedad_pct,impurezas_pct,proteina_pct,grado_comercial,bonificacion_castigo_unit
ANA_00001,QLT_00001,2024-05-11,12.54,1.37,34.95,GRADO_1,0.0
ANA_00002,QLT_00002,2023-12-17,13.99,0.95,10.6,GRADO_2,-0.59
ANA_00003,QLT_00003,2024-05-10,12.72,1.71,35.87,GRADO_1,0.0
ANA_00004,QLT_00004,2024-05-03,12.69,1.51,35.47,GRADO_1,0.0
ANA_00005,QLT_00005,2024-04-16,14.28,1.03,8.46,GRADO_2,-0.94
ANA_00006,QLT_00006,2023-12-15,12.68,1.05,10.74,GRADO_1,0.0
ANA_00007,QLT_00007,2024-05-06,13.09,2.08,35.11,GRADO_2,-0.16
ANA_00008,QLT_00008,2024-05-21,11.61,1.5,36.52,GRADO_1,0.0
ANA_00009,QLT_00009,2024-04-13,14.13,1.65,8.92,GRADO_2,-0.76
ANA_00010,QLT_00010,2024-05-21,11.71,2.18,33.68,GRADO_2,-0.36
ANA_00011,QLT_00011,2024-05-18,12.3,1.79,35.5,GRADO_1,0.0
ANA_00012,QLT_00012,2024-05-03,13.88,1.66,35.63,GRADO_2,-0.46
ANA_00013,QLT_00013,2025-05-06,14.95,1.37,35.77,FUERA_ESTANDAR,-1.74
ANA_00014,QLT_00014,2025-04-03,15.04,2.37,8.76,FUERA_ESTANDAR,-2.59
ANA_00015,QLT_00015,2025-04-22,13.8,1.43,8.29,GRADO_2,-0.36
ANA_00016,QLT_00016,2024-12-14,12.91,1.68,10.89,GRADO_1,0.0
ANA_00017,QLT_00017,2025-04-22,16.26,2.7,8.18,FUERA_ESTANDAR,-4.71
ANA_00018,QLT_00018,2025-04-10,13.66,2.57,8.25,GRADO_2,-1.33
ANA_00019,QLT_00019,2025-05-05,12.31,1.53,32.58,GRADO_1,0.0
ANA_00020,QLT_00020,2025-05-23,12.96,1.28,36.13,GRADO_1,0.0
ANA_00021,QLT_00021,2024-12-11,13.44,1.38,10.81,GRADO_1,0.0
ANA_00022,QLT_00022,2025-04-23,13.58,2.4,7.19,GRADO_2,-0.9
ANA_00023,QLT_00023,2025-05-13,11.03,1.85,35.22,GRADO_1,0.0
ANA_00024,QLT_00024,2025-04-12,14.03,2.28,7.45,GRADO_2,-1.2
