cosecha_id,lote_campania_id,labor_id,fecha,toneladas_brutas,humedad_pct,merma_pct,toneladas_netas,direct_cost_total,cost_per_ton
COS_00001,LC_00001,LAB_00005,2024-05-11,472.4,12.54,3.06,457.94,39777.33,86.86
COS_00002,LC_00002,LAB_00010,2023-12-17,990.94,13.99,4.21,949.22,78517.25,82.72
COS_00003,LC_00003,LAB_00015,2024-05-10,322.17,12.72,1.89,316.08,28739.14,90.92
COS_00004,LC_00004,LAB_00020,2024-05-03,452.37,12.69,3.79,435.23,46373.64,106.55
COS_00005,LC_00005,LAB_00025,2024-04-16,857.71,14.28,2.71,834.47,51004.37,61.12
COS_00006,LC_00006,LAB_00030,2023-12-15,638.43,12.68,4.16,611.87,60826.26,99.41
COS_00007,LC_00007,LAB_00035,2024-05-06,769.24,13.09,2.7,748.47,60387.06,80.68
COS_00008,LC_00008,LAB_00040,2024-05-21,386.05,11.61,1.69,379.53,42124.31,110.99
COS_00009,LC_00009,LAB_00045,2024-04-13,1304.67,14.13,3.48,1259.27,77756.61,61.75
COS_00010,LC_00010,LAB_00050,2024-05-21,410.61,11.71,3.83,394.88,37748.96,95.6
COS_00011,LC_00011,LAB_00055,2024-05-18,320.57,12.3,2.7,311.91,29879.74,95.8
COS_00012,LC_00012,LAB_00060,2024-05-03,418.04,13.88,2.37,408.13,40620.97,99.53
COS_00013,LC_00013,LAB_00065,2025-05-06,544.34,14.95,4.44,520.17,40255.41,77.39
COS_00014,LC_00014,LAB_00070,2025-04-03,2107.44,15.04,2.77,2049.06,97341.94,47.51
COS_00015,LC_00015,LAB_00075,2025-04-22,907.19,13.8,3.82,872.54,47014.16,53.88
COS_00016,LC_00016,LAB_00080,2024-12-14,755.03,12.91,1.76,741.74,59704.96,80.49
COS_00017,LC_00017,LAB_00085,2025-04-22,932.14,16.26,1.58,917.41,51790.06,56.45
COS_00018,LC_00018,LAB_00090,2025-04-10,1654.24,13.66,2.93,1605.77,77856.43,48.49
COS_00019,LC_00019,LAB_00095,2025-05-05,816.36,12.31,4.29,781.34,59901.05,76.66
COS_00020,LC_00020,LAB_00100,2025-05-23,408.01,12.96,1.88,400.34,40598.79,101.41
COS_00021,LC_00021,LAB_00105,2024-12-11,752.5,13.44,1.78,739.11,60702.66,82.13
COS_00022,LC_00022,LAB_00110,2025-04-23,1145.65,13.58,4.06,1099.14,59281.51,53.93
COS_00023,LC_00023,LAB_00115,2025-05-13,327.73,11.03,2.95,318.06,29291.47,92.09
COS_00024,LC_00024,LAB_00120,2025-04-12,1180.72,14.03,3.07,1144.47,65136.04,56.91
