despacho_venta_det_id,despacho_venta_id,producto_id,lote_calidad_id,quantity,cost_per_ton,cost_total
DESPD_00001,DESP_00001,PROD_0002,QLT_00001,342.5,86.86,29749.55
DESPD_00002,DESP_00002,PROD_0003,QLT_00002,222.77,82.72,18427.53
DESPD_00003,DESP_00003,PROD_0003,QLT_00002,281.42,82.72,23279.06
DESPD_00004,DESP_00004,PROD_0003,QLT_00002,332.83,82.72,27531.7
DESPD_00005,DESP_00005,PROD_0002,QLT_00003,284.66,90.92,25881.29
DESPD_00006,DESP_00006,PROD_0002,QLT_00004,386.02,106.55,41130.43
DESPD_00007,DESP_00007,PROD_0001,QLT_00005,190.82,61.12,11662.92
DESPD_00008,DESP_00008,PROD_0001,QLT_00005,164.37,61.12,10046.29
DESPD_00009,DESP_00009,PROD_0001,QLT_00005,256.16,61.12,15656.5
DESPD_00010,DESP_00010,PROD_0003,QLT_00006,192.96,99.41,19182.15
DESPD_00011,DESP_00011,PROD_0003,QLT_00006,344.97,99.41,34293.47
DESPD_00012,DESP_00012,PROD_0002,QLT_00007,597.5,80.68,48206.3
DESPD_00013,DESP_00013,PROD_0002,QLT_00008,275.93,110.99,30625.47
DESPD_00014,DESP_00014,PROD_0001,QLT_00009,339.62,61.75,20971.53
DESPD_00015,DESP_00015,PROD_0001,QLT_00009,415.52,61.75,25658.36
DESPD_00016,DESP_00016,PROD_0001,QLT_00009,387.31,61.75,23916.39
DESPD_00017,DESP_00017,PROD_0002,QLT_00010,359.25,95.6,34344.3
DESPD_00018,DESP_00018,PROD_0002,QLT_00011,88.87,95.8,8513.75
DESPD_00019,DESP_00019,PROD_0002,QLT_00011,159.3,95.8,15260.94
DESPD_00020,DESP_00020,PROD_0002,QLT_00012,88.47,99.53,8805.42
DESPD_00021,DESP_00021,PROD_0002,QLT_00012,103.78,99.53,10329.22
DESPD_00022,DESP_00022,PROD_0002,QLT_00012,115.39,99.53,11484.77
DESPD_00023,DESP_00023,PROD_0002,QLT_00013,440.86,77.39,34118.16
DESPD_00024,DESP_00024,PROD_0001,QLT_00014,569.47,47.51,27055.52
DESPD_00025,DESP_00025,PROD_0001,QLT_00014,564.34,47.51,26811.79
DESPD_00026,DESP_00026,PROD_0001,QLT_00014,366.24,47.51,17400.06
DESPD_00027,DESP_00027,PROD_0001,QLT_00015,245.0,53.88,13200.6
DESPD_00028,DESP_00028,PROD_0001,QLT_00015,471.49,53.88,25403.88
DESPD_00029,DESP_00029,PROD_0003,QLT_00016,574.49,80.49,46240.7
DESPD_00030,DESP_00030,PROD_0001,QLT_00017,304.67,56.45,17198.62
DESPD_00031,DESP_00031,PROD_0001,QLT_00017,211.76,56.45,11953.85
DESPD_00032,DESP_00032,PROD_0001,QLT_00017,241.24,56.45,13618.0
DESPD_00033,DESP_00033,PROD_0001,QLT_00018,581.26,48.49,28185.3
DESPD_00034,DESP_00034,PROD_0001,QLT_00018,826.1,48.49,40057.59
DESPD_00035,DESP_00035,PROD_0002,QLT_00019,187.73,76.66,14391.38
DESPD_00036,DESP_00036,PROD_0002,QLT_00019,412.48,76.66,31620.72
DESPD_00037,DESP_00037,PROD_0002,QLT_00020,137.32,101.41,13925.62
DESPD_00038,DESP_00038,PROD_0002,QLT_00020,225.39,101.41,22856.8
DESPD_00039,DESP_00039,PROD_0003,QLT_00021,544.16,82.13,44691.86
DESPD_00040,DESP_00040,PROD_0001,QLT_00022,248.03,53.93,13376.26
DESPD_00041,DESP_00041,PROD_0001,QLT_00022,387.54,53.93,20900.03
DESPD_00042,DESP_00042,PROD_0001,QLT_00022,277.19,53.93,14948.86
DESPD_00043,DESP_00043,PROD_0002,QLT_00023,264.44,92.09,24352.28
DESPD_00044,DESP_00044,PROD_0001,QLT_00024,353.91,56.91,20141.02
DESPD_00045,DESP_00045,PROD_0001,QLT_00024,396.42,56.91,22560.26
DESPD_00046,DESP_00046,PROD_0001,QLT_00024,165.91,56.91,9441.94
