lote_id,establecimiento_id,lot_name,net_hectares,soil_productivity_index,distance_to_silo_km
LOT_0001,EST_0002,LOT-0001,139.9,1.12,11
LOT_0002,EST_0001,LOT-0002,207.0,1.093,38
LOT_0003,EST_0002,LOT-0003,101.0,1.006,30
LOT_0004,EST_0002,LOT-0004,165.5,1.11,24
LOT_0005,EST_0001,LOT-0005,113.4,1.035,47
LOT_0006,EST_0002,LOT-0006,164.0,1.092,10
LOT_0007,EST_0001,LOT-0007,206.3,1.13,37
LOT_0008,EST_0001,LOT-0008,143.3,0.892,42
LOT_0009,EST_0001,LOT-0009,170.4,1.089,24
LOT_0010,EST_0001,LOT-0010,131.3,1.011,50
LOT_0011,EST_0001,LOT-0011,101.2,1.013,22
LOT_0012,EST_0002,LOT-0012,139.6,1.113,17
