lote_calidad_id,producto_id,deposito_id,cosecha_id,available_tons,base_cost_per_ton,bonus_castigo_unit
QLT_00001,PROD_0002,DEP_0003,COS_00001,457.94,86.86,0.0
QLT_00002,PROD_0003,DEP_0002,COS_00002,949.22,82.72,-0.59
QLT_00003,PROD_0002,DEP_0003,COS_00003,316.08,90.92,0.0
QLT_00004,PROD_0002,DEP_0003,COS_00004,435.23,106.55,0.0
QLT_00005,PROD_0001,DEP_0002,COS_00005,834.47,61.12,-0.94
QLT_00006,PROD_0003,DEP_0003,COS_00006,611.87,99.41,0.0
QLT_00007,PROD_0002,DEP_0002,COS_00007,748.47,80.68,-0.16
QLT_00008,PROD_0002,DEP_0002,COS_00008,379.53,110.99,0.0
QLT_00009,PROD_0001,DEP_0002,COS_00009,1259.27,61.75,-0.76
QLT_00010,PROD_0002,DEP_0002,COS_00010,394.88,95.6,-0.36
QLT_00011,PROD_0002,DEP_0002,COS_00011,311.91,95.8,0.0
QLT_00012,PROD_0002,DEP_0003,COS_00012,408.13,99.53,-0.46
QLT_00013,PROD_0002,DEP_0003,COS_00013,520.17,77.39,-1.74
QLT_00014,PROD_0001,DEP_0002,COS_00014,2049.06,47.51,-2.59
QLT_00015,PROD_0001,DEP_0003,COS_00015,872.54,53.88,-0.36
QLT_00016,PROD_0003,DEP_0003,COS_00016,741.74,80.49,0.0
QLT_00017,PROD_0001,DEP_0002,COS_00017,917.41,56.45,-4.71
QLT_00018,PROD_0001,DEP_0003,COS_00018,1605.77,48.49,-1.33
QLT_00019,PROD_0002,DEP_0002,COS_00019,781.34,76.66,0.0
QLT_00020,PROD_0002,DEP_0002,COS_00020,400.34,101.41,0.0
QLT_00021,PROD_0003,DEP_0002,COS_00021,739.11,82.13,0.0
QLT_00022,PROD_0001,DEP_0002,COS_00022,1099.14,53.93,-0.9
QLT_00023,PROD_0002,DEP_0002,COS_00023,318.06,92.09,0.0
QLT_00024,PROD_0001,DEP_0003,COS_00024,1144.47,56.91,-1.2
