orden_compra_id,empresa_id,proveedor_id,order_date,currency_code,status
OC_00001,EMP_0001,SUP_0001,2023-10-03,USD,RECIBIDA
OC_00002,EMP_0001,SUP_0002,2023-11-03,USD,RECIBIDA
OC_00003,EMP_0001,SUP_0003,2023-12-09,USD,RECIBIDA
OC_00004,EMP_0001,SUP_0003,2023-12-17,USD,RECIBIDA
OC_00005,EMP_0001,SUP_0004,2023-10-09,USD,RECIBIDA
OC_00006,EMP_0001,SUP_0008,2024-05-23,USD,RECIBIDA
OC_00007,EMP_0001,SUP_0002,2023-07-14,USD,RECIBIDA
OC_00008,EMP_0001,SUP_0002,2023-07-12,USD,RECIBIDA
OC_00009,EMP_0001,SUP_0003,2023-08-22,USD,RECIBIDA
OC_00010,EMP_0001,SUP_0004,2024-05-21,USD,RECIBIDA
OC_00011,EMP_0001,SUP_0008,2023-10-18,USD,RECIBIDA
OC_00012,EMP_0001,SUP_0002,2023-11-07,USD,RECIBIDA
OC_00013,EMP_0001,SUP_0009,2023-12-20,USD,RECIBIDA
OC_00014,EMP_0001,SUP_0003,2023-12-14,USD,RECIBIDA
OC_00015,EMP_0001,SUP_0004,2023-10-23,USD,RECIBIDA
OC_00016,EMP_0001,SUP_0001,2023-10-05,USD,RECIBIDA
OC_00017,EMP_0001,SUP_0002,2023-11-17,USD,RECIBIDA
OC_00018,EMP_0001,SUP_0009,2023-12-09,USD,RECIBIDA
OC_00019,EMP_0001,SUP_0003,2023-12-03,USD,RECIBIDA
OC_00020,EMP_0001,SUP_0004,2023-10-06,USD,RECIBIDA
OC_00021,EMP_0001,SUP_0001,2023-08-05,USD,RECIBIDA
OC_00022,EMP_0001,SUP_0002,2023-10-12,USD,RECIBIDA
OC_00023,EMP_0001,SUP_0002,2023-10-24,USD,RECIBIDA
OC_00024,EMP_0001,SUP_0003,2023-11-14,USD,RECIBIDA
OC_00025,EMP_0001,SUP_0003,2023-11-24,USD,RECIBIDA
OC_00026,EMP_0001,SUP_0004,2023-08-20,USD,RECIBIDA
OC_00027,EMP_0001,SUP_0001,2024-05-16,USD,RECIBIDA
OC_00028,EMP_0001,SUP_0002,2023-07-20,USD,RECIBIDA
OC_00029,EMP_0001,SUP_0002,2023-07-09,USD,RECIBIDA
OC_00030,EMP_0001,SUP_0009,2023-08-22,USD,RECIBIDA
OC_00031,EMP_0001,SUP_0004,2024-05-14,USD,RECIBIDA
OC_00032,EMP_0001,SUP_0001,2023-10-10,USD,RECIBIDA
OC_00033,EMP_0001,SUP_0002,2023-11-20,USD,RECIBIDA
OC_00034,EMP_0001,SUP_0009,2023-12-20,USD,RECIBIDA
OC_00035,EMP_0001,SUP_0009,2023-12-14,USD,RECIBIDA
OC_00036,EMP_0001,SUP_0004,2023-10-24,USD,RECIBIDA
OC_00037,EMP_0001,SUP_0001,2023-10-21,USD,RECIBIDA
OC_00038,EMP_0001,SUP_0002,2023-11-10,USD,RECIBIDA
OC_00039,EMP_0001,SUP_0009,2023-12-21,USD,RECIBIDA
OC_00040,EMP_0001,SUP_0003,2023-12-20,USD,RECIBIDA
OC_00041,EMP_0001,SUP_0004,2023-10-19,USD,RECIBIDA
OC_00042,EMP_0001,SUP_0001,2023-08-18,USD,RECIBIDA
OC_00043,EMP_0001,SUP_0002,2023-10-05,USD,RECIBIDA
OC_00044,EMP_0001,SUP_0002,2023-10-06,USD,RECIBIDA
