pedido_venta_id,cliente_id,order_date,status
PV_00001,CLI_0004,2024-06-14,FACTURADO
PV_00002,CLI_0005,2024-01-30,FACTURADO
PV_00003,CLI_0001,2024-03-04,FACTURADO
PV_00004,CLI_0008,2024-04-23,FACTURADO
PV_00005,CLI_0008,2024-07-30,FACTURADO
PV_00006,CLI_0006,2024-07-31,FACTURADO
PV_00007,CLI_0001,2024-05-09,FACTURADO
PV_00008,CLI_0007,2024-06-10,FACTURADO
PV_00009,CLI_0007,2024-08-30,FACTURADO
PV_00010,CLI_0007,2024-01-01,FACTURADO
PV_00011,CLI_0004,2024-04-23,FACTURADO
PV_00012,CLI_0002,2024-07-27,FACTURADO
PV_00013,CLI_0004,2024-08-20,FACTURADO
PV_00014,CLI_0001,2024-05-05,FACTURADO
PV_00015,CLI_0007,2024-06-04,FACTURADO
PV_00016,CLI_0001,2024-08-11,FACTURADO
PV_00017,CLI_0002,2024-06-21,FACTURADO
PV_00018,CLI_0004,2024-06-18,FACTURADO
PV_00019,CLI_0005,2024-09-22,FACTURADO
PV_00020,CLI_0002,2024-06-02,FACTURADO
PV_00021,CLI_0008,2024-07-15,FACTURADO
PV_00022,CLI_0005,2024-09-23,FACTURADO
PV_00023,CLI_0008,2025-06-05,FACTURADO
PV_00024,CLI_0007,2025-05-14,FACTURADO
PV_00025,CLI_0003,2025-06-20,FACTURADO
PV_00026,CLI_0008,2025-08-11,FACTURADO
PV_00027,CLI_0001,2025-05-16,FACTURADO
PV_00028,CLI_0001,2025-08-13,FACTURADO
PV_00029,CLI_0008,2025-01-19,FACTURADO
PV_00030,CLI_0007,2025-05-31,FACTURADO
PV_00031,CLI_0002,2025-06-27,FACTURADO
PV_00032,CLI_0004,2025-09-05,FACTURADO
PV_00033,CLI_0003,2025-04-22,FACTURADO
PV_00034,CLI_0003,2025-07-23,FACTURADO
PV_00035,CLI_0004,2025-05-31,FACTURADO
PV_00036,CLI_0004,2025-09-20,FACTURADO
PV_00037,CLI_0008,2025-06-10,FACTURADO
PV_00038,CLI_0008,2025-10-06,FACTURADO
PV_00039,CLI_0004,2025-01-17,FACTURADO
PV_00040,CLI_0001,2025-05-09,FACTURADO
PV_00041,CLI_0007,2025-07-20,FACTURADO
PV_00042,CLI_0002,2025-09-06,FACTURADO
PV_00043,CLI_0003,2025-06-24,FACTURADO
PV_00044,CLI_0001,2025-05-17,FACTURADO
PV_00045,CLI_0001,2025-07-07,FACTURADO
PV_00046,CLI_0001,2025-09-02,FACTURADO
