rendimiento_objetivo_id,lote_campania_id,target_tn_ha
RYO_00001,LC_00001,3.51
RYO_00002,LC_00002,4.71
RYO_00003,LC_00003,3.15
RYO_00004,LC_00004,3.48
RYO_00005,LC_00005,8.82
RYO_00006,LC_00006,4.71
RYO_00007,LC_00007,3.54
RYO_00008,LC_00008,2.8
RYO_00009,LC_00009,9.28
RYO_00010,LC_00010,3.17
RYO_00011,LC_00011,3.18
RYO_00012,LC_00012,3.49
RYO_00013,LC_00013,3.73
RYO_00014,LC_00014,9.89
RYO_00015,LC_00015,9.1
RYO_00016,LC_00016,5.08
RYO_00017,LC_00017,9.36
RYO_00018,LC_00018,9.88
RYO_00019,LC_00019,3.76
RYO_00020,LC_00020,2.97
RYO_00021,LC_00021,4.98
RYO_00022,LC_00022,9.15
RYO_00023,LC_00023,3.37
RYO_00024,LC_00024,10.07
