cobranza_id,cliente_id,cuenta_financiera_id,collection_date,amount,currency_code
COB_00001,CLI_0004,BANK_0003,2024-09-09,131136.51,USD
COB_00002,CLI_0005,BANK_0003,2024-03-16,62147.84,USD
COB_00003,CLI_0001,BANK_0003,2024-05-06,80903.72,USD
COB_00004,CLI_0008,BANK_0003,2024-07-10,86158.84,USD
COB_00005,CLI_0008,BANK_0003,2024-10-28,110117.02,USD
COB_00006,CLI_0006,BANK_0003,2024-10-04,155870.66,USD
COB_00007,CLI_0001,BANK_0003,2024-07-16,48729.8,USD
COB_00008,CLI_0007,BANK_0003,2024-08-11,43331.66,USD
COB_00009,CLI_0007,BANK_0003,2024-11-09,65307.22,USD
COB_00010,CLI_0007,BANK_0003,2024-03-07,53754.47,USD
COB_00011,CLI_0004,BANK_0003,2024-07-09,90140.49,USD
COB_00012,CLI_0002,BANK_0003,2024-08-25,240866.35,USD
COB_00013,CLI_0004,BANK_0003,2024-11-14,112275.59,USD
COB_00014,CLI_0001,BANK_0003,2024-07-15,78289.04,USD
COB_00015,CLI_0007,BANK_0003,2024-08-05,105664.07,USD
COB_00016,CLI_0001,BANK_0003,2024-10-23,106073.14,USD
COB_00017,CLI_0002,BANK_0003,2024-07-23,138262.42,USD
COB_00018,CLI_0004,BANK_0003,2024-09-03,35024.48,USD
COB_00019,CLI_0005,BANK_0003,2024-10-28,66896.86,USD
COB_00020,CLI_0002,BANK_0003,2024-07-13,34207.41,USD
COB_00021,CLI_0008,BANK_0003,2024-10-04,41196.99,USD
COB_00022,CLI_0005,BANK_0003,2024-10-23,44484.4,USD
COB_00023,CLI_0008,BANK_0003,2025-09-08,84587.68,USD
COB_00024,CLI_0007,BANK_0003,2025-07-30,142655.82,USD
COB_00025,CLI_0003,BANK_0003,2025-08-17,117228.65,USD
COB_00026,CLI_0008,BANK_0003,2025-11-13,81136.23,USD
COB_00027,CLI_0001,BANK_0003,2025-08-06,55613.43,USD
COB_00028,CLI_0001,BANK_0003,2025-11-13,106408.61,USD
COB_00029,CLI_0008,BANK_0003,2025-05-01,156710.77,USD
COB_00030,CLI_0007,BANK_0003,2025-08-15,69556.42,USD
COB_00031,CLI_0002,BANK_0003,2025-08-21,40962.71,USD
COB_00032,CLI_0004,BANK_0003,2025-11-30,51557.79,USD
COB_00033,CLI_0003,BANK_0003,2025-06-17,135608.02,USD
COB_00034,CLI_0003,BANK_0003,2025-09-20,147274.27,USD
COB_00035,CLI_0004,BANK_0003,2025-08-27,67095.94,USD
COB_00036,CLI_0004,BANK_0003,2025-12-27,86985.78,USD
COB_00037,CLI_0008,BANK_0003,2025-09-05,37644.91,USD
COB_00038,CLI_0008,BANK_0003,2026-01-05,74046.77,USD
COB_00039,CLI_0004,BANK_0003,2025-04-12,152993.63,USD
COB_00040,CLI_0001,BANK_0003,2025-07-30,63552.62,USD
COB_00041,CLI_0007,BANK_0003,2025-09-28,81183.12,USD
COB_00042,CLI_0002,BANK_0003,2025-10-29,59392.28,USD
COB_00043,CLI_0003,BANK_0003,2025-09-05,75098.49,USD
COB_00044,CLI_0001,BANK_0003,2025-07-23,83714.9,USD
COB_00045,CLI_0001,BANK_0003,2025-09-20,74009.93,USD
COB_00046,CLI_0001,BANK_0003,2025-11-14,30034.57,USD
