cobranza_aplicacion_id,cobranza_id,cuenta_cobrar_id,applied_amount
CAP_00001,COB_00001,AR_00001,131136.51
CAP_00002,COB_00002,AR_00002,62147.84
CAP_00003,COB_00003,AR_00003,80903.72
CAP_00004,COB_00004,AR_00004,86158.84
CAP_00005,COB_00005,AR_00005,110117.02
CAP_00006,COB_00006,AR_00006,155870.66
CAP_00007,COB_00007,AR_00007,48729.8
CAP_00008,COB_00008,AR_00008,43331.66
CAP_00009,COB_00009,AR_00009,65307.22
CAP_00010,COB_00010,AR_00010,53754.47
CAP_00011,COB_00011,AR_00011,90140.49
CAP_00012,COB_00012,AR_00012,240866.35
CAP_00013,COB_00013,AR_00013,112275.59
CAP_00014,COB_00014,AR_00014,78289.04
CAP_00015,COB_00015,AR_00015,105664.07
CAP_00016,COB_00016,AR_00016,106073.14
CAP_00017,COB_00017,AR_00017,138262.42
CAP_00018,COB_00018,AR_00018,35024.48
CAP_00019,COB_00019,AR_00019,66896.86
CAP_00020,COB_00020,AR_00020,34207.41
CAP_00021,COB_00021,AR_00021,41196.99
CAP_00022,COB_00022,AR_00022,44484.4
CAP_00023,COB_00023,AR_00023,84587.68
CAP_00024,COB_00024,AR_00024,142655.82
CAP_00025,COB_00025,AR_00025,117228.65
CAP_00026,COB_00026,AR_00026,81136.23
CAP_00027,COB_00027,AR_00027,55613.43
CAP_00028,COB_00028,AR_00028,106408.61
CAP_00029,COB_00029,AR_00029,156710.77
CAP_00030,COB_00030,AR_00030,69556.42
CAP_00031,COB_00031,AR_00031,40962.71
CAP_00032,COB_00032,AR_00032,51557.79
CAP_00033,COB_00033,AR_00033,135608.02
CAP_00034,COB_00034,AR_00034,147274.27
CAP_00035,COB_00035,AR_00035,67095.94
CAP_00036,COB_00036,AR_00036,86985.78
CAP_00037,COB_00037,AR_00037,37644.91
CAP_00038,COB_00038,AR_00038,74046.77
CAP_00039,COB_00039,AR_00039,152993.63
CAP_00040,COB_00040,AR_00040,63552.62
CAP_00041,COB_00041,AR_00041,81183.12
CAP_00042,COB_00042,AR_00042,59392.28
CAP_00043,COB_00043,AR_00043,75098.49
CAP_00044,COB_00044,AR_00044,83714.9
CAP_00045,COB_00045,AR_00045,74009.93
CAP_00046,COB_00046,AR_00046,30034.57
