cuenta_pagar_id,proveedor_id,factura_compra_id,invoice_date,due_date,open_amount,status
AP_00001,SUP_0001,FC_00001,2023-10-11,2023-11-25,0.0,PAGADA
AP_00002,SUP_0002,FC_00002,2023-11-13,2023-12-28,0.0,PAGADA
AP_00003,SUP_0003,FC_00003,2023-12-16,2024-01-30,0.0,PAGADA
AP_00004,SUP_0003,FC_00004,2023-12-24,2024-02-07,25.7,PARCIAL
AP_00005,SUP_0004,FC_00005,2023-10-15,2023-12-14,0.0,PAGADA
AP_00006,SUP_0008,FC_00006,2024-05-27,2024-07-11,0.0,PAGADA
AP_00007,SUP_0002,FC_00007,2023-07-18,2023-09-01,0.0,PAGADA
AP_00008,SUP_0002,FC_00008,2023-07-23,2023-09-06,0.0,PAGADA
AP_00009,SUP_0003,FC_00009,2023-08-27,2023-10-11,0.0,PAGADA
AP_00010,SUP_0004,FC_00010,2024-05-29,2024-07-28,0.0,PAGADA
AP_00011,SUP_0008,FC_00011,2023-10-26,2023-12-10,0.0,PAGADA
AP_00012,SUP_0002,FC_00012,2023-11-12,2023-12-27,0.0,PAGADA
AP_00013,SUP_0009,FC_00013,2023-12-27,2024-02-10,0.0,PAGADA
AP_00014,SUP_0003,FC_00014,2023-12-19,2024-02-02,0.0,PAGADA
AP_00015,SUP_0004,FC_00015,2023-10-26,2023-12-25,0.0,PAGADA
AP_00016,SUP_0001,FC_00016,2023-10-12,2023-11-26,0.0,PAGADA
AP_00017,SUP_0002,FC_00017,2023-11-24,2024-01-08,0.0,PAGADA
AP_00018,SUP_0009,FC_00018,2023-12-20,2024-02-03,0.0,PAGADA
AP_00019,SUP_0003,FC_00019,2023-12-11,2024-01-25,0.0,PAGADA
AP_00020,SUP_0004,FC_00020,2023-10-15,2023-12-14,0.0,PAGADA
AP_00021,SUP_0001,FC_00021,2023-08-13,2023-09-27,1227.34,PARCIAL
AP_00022,SUP_0002,FC_00022,2023-10-17,2023-12-01,494.84,PARCIAL
AP_00023,SUP_0002,FC_00023,2023-11-02,2023-12-17,0.0,PAGADA
AP_00024,SUP_0003,FC_00024,2023-11-19,2024-01-03,0.0,PAGADA
AP_00025,SUP_0003,FC_00025,2023-12-04,2024-01-18,0.0,PAGADA
AP_00026,SUP_0004,FC_00026,2023-08-28,2023-10-27,0.0,PAGADA
AP_00027,SUP_0001,FC_00027,2024-05-24,2024-07-08,0.0,PAGADA
AP_00028,SUP_0002,FC_00028,2023-07-28,2023-09-11,1316.18,PARCIAL
AP_00029,SUP_0002,FC_00029,2023-07-19,2023-09-02,0.0,PAGADA
