factura_compra_det_id,factura_compra_id,producto_id,quantity,unit_price,net_amount,vat_rate
FCD_00001,FC_00001,PROD_0005,9822.96,1.3912,13665.7,0.21
FCD_00002,FC_00002,PROD_0008,7744.36,0.7134,5524.83,0.21
FCD_00003,FC_00003,PROD_0009,364.6,6.8785,2507.9,0.21
FCD_00004,FC_00004,PROD_0010,39.51,17.9169,707.9,0.21
FCD_00005,FC_00005,PROD_0012,2673.55,1.1876,3175.11,0.21
FCD_00006,FC_00006,PROD_0006,30939.63,0.6972,21571.11,0.21
FCD_00007,FC_00007,PROD_0007,28892.81,0.5929,17130.55,0.21
FCD_00008,FC_00008,PROD_0008,15182.59,0.8074,12258.42,0.21
FCD_00009,FC_00009,PROD_0011,99.36,23.3519,2320.24,0.21
FCD_00010,FC_00010,PROD_0012,4063.62,1.1623,4723.15,0.21
FCD_00011,FC_00011,PROD_0005,7067.26,1.3516,9552.11,0.21
FCD_00012,FC_00012,PROD_0008,5616.97,0.7149,4015.57,0.21
FCD_00013,FC_00013,PROD_0009,266.75,6.8774,1834.55,0.21
FCD_00014,FC_00014,PROD_0010,27.6,19.6432,542.15,0.21
FCD_00015,FC_00015,PROD_0012,1800.85,1.2097,2178.49,0.21
FCD_00016,FC_00016,PROD_0005,11170.1,1.2134,13553.8,0.21
FCD_00017,FC_00017,PROD_0008,9031.47,0.7761,7009.32,0.21
FCD_00018,FC_00018,PROD_0009,417.85,6.644,2776.2,0.21
FCD_00019,FC_00019,PROD_0010,46.38,17.4787,810.66,0.21
FCD_00020,FC_00020,PROD_0012,3751.62,1.1685,4383.77,0.21
FCD_00021,FC_00021,PROD_0004,2370.65,5.3484,12679.18,0.21
FCD_00022,FC_00022,PROD_0007,20231.48,0.6738,13631.97,0.21
FCD_00023,FC_00023,PROD_0008,9996.82,0.7052,7049.76,0.21
FCD_00024,FC_00024,PROD_0009,227.15,6.7298,1528.67,0.21
FCD_00025,FC_00025,PROD_0010,38.05,18.9544,721.21,0.21
FCD_00026,FC_00026,PROD_0012,2503.36,1.1839,2963.73,0.21
FCD_00027,FC_00027,PROD_0006,22992.57,0.7019,16138.48,0.21
FCD_00028,FC_00028,PROD_0007,22504.01,0.6042,13596.92,0.21
