factura_venta_det_id,factura_venta_id,producto_id,quantity,unit_price,net_amount,vat_rate
FVD_00001,FV_00001,PROD_0002,342.5,316.43,108377.28,0.21
FVD_00002,FV_00002,PROD_0003,222.77,230.56,51361.85,0.21
FVD_00003,FV_00003,PROD_0003,281.42,237.59,66862.58,0.21
FVD_00004,FV_00004,PROD_0003,332.83,213.94,71205.65,0.21
FVD_00005,FV_00005,PROD_0002,284.66,319.7,91005.8,0.21
FVD_00006,FV_00006,PROD_0002,386.02,333.71,128818.73,0.21
FVD_00007,FV_00007,PROD_0001,190.82,211.05,40272.56,0.21
FVD_00008,FV_00008,PROD_0001,164.37,217.87,35811.29,0.21
FVD_00009,FV_00009,PROD_0001,256.16,210.7,53972.91,0.21
FVD_00010,FV_00010,PROD_0003,192.96,230.23,44425.18,0.21
FVD_00011,FV_00011,PROD_0003,344.97,215.95,74496.27,0.21
FVD_00012,FV_00012,PROD_0002,597.5,333.16,199063.1,0.21
FVD_00013,FV_00013,PROD_0002,275.93,336.28,92789.74,0.21
FVD_00014,FV_00014,PROD_0001,339.62,194.4,66022.13,0.21
FVD_00015,FV_00015,PROD_0001,415.52,210.16,87325.68,0.21
FVD_00016,FV_00016,PROD_0001,387.31,226.34,87663.75,0.21
FVD_00017,FV_00017,PROD_0002,359.25,334.81,120280.49,0.21
FVD_00018,FV_00018,PROD_0002,88.87,325.71,28945.85,0.21
FVD_00019,FV_00019,PROD_0002,159.3,347.06,55286.66,0.21
FVD_00020,FV_00020,PROD_0002,88.47,319.55,28270.59,0.21
FVD_00021,FV_00021,PROD_0002,103.78,328.07,34047.1,0.21
FVD_00022,FV_00022,PROD_0002,115.39,328.46,37901.0,0.21
FVD_00023,FV_00023,PROD_0002,440.86,317.14,139814.34,0.21
FVD_00024,FV_00024,PROD_0001,569.47,207.03,117897.37,0.21
FVD_00025,FV_00025,PROD_0001,564.34,209.36,118150.22,0.21
FVD_00026,FV_00026,PROD_0001,366.24,223.28,81774.07,0.21
FVD_00027,FV_00027,PROD_0001,245.0,193.4,47383.0,0.21
FVD_00028,FV_00028,PROD_0001,471.49,227.46,107245.12,0.21
FVD_00029,FV_00029,PROD_0003,574.49,225.44,129513.03,0.21
FVD_00030,FV_00030,PROD_0001,304.67,202.88,61811.45,0.21
FVD_00031,FV_00031,PROD_0001,211.76,194.96,41284.73,0.21
FVD_00032,FV_00032,PROD_0001,241.24,215.4,51963.1,0.21
FVD_00033,FV_00033,PROD_0001,581.26,192.81,112072.74,0.21
FVD_00034,FV_00034,PROD_0001,826.1,210.48,173877.53,0.21
FVD_00035,FV_00035,PROD_0002,187.73,317.61,59624.93,0.21
FVD_00036,FV_00036,PROD_0002,412.48,348.57,143778.15,0.21
FVD_00037,FV_00037,PROD_0002,137.32,323.66,44444.99,0.21
FVD_00038,FV_00038,PROD_0002,225.39,331.11,74628.88,0.21
FVD_00039,FV_00039,PROD_0003,544.16,232.36,126441.02,0.21
FVD_00040,FV_00040,PROD_0001,248.03,211.76,52522.83,0.21
FVD_00041,FV_00041,PROD_0001,387.54,211.13,81821.32,0.21
FVD_00042,FV_00042,PROD_0001,277.19,215.95,59859.18,0.21
FVD_00043,FV_00043,PROD_0002,264.44,335.29,88664.09,0.21
FVD_00044,FV_00044,PROD_0001,353.91,195.49,69185.87,0.21
FVD_00045,FV_00045,PROD_0001,396.42,220.42,87378.9,0.21
FVD_00046,FV_00046,PROD_0001,165.91,213.73,35459.94,0.21
