mov_tesoreria_id,cuenta_financiera_id,movement_date,movement_type,source_table,source_id,amount
TES_00001,BANK_0002,2023-11-27,PAGO_PROVEEDOR,fin_pagos,PAG_00001,-16535.5
TES_00002,BANK_0002,2023-12-29,PAGO_PROVEEDOR,fin_pagos,PAG_00002,-6685.04
TES_00003,BANK_0002,2024-01-29,PAGO_PROVEEDOR,fin_pagos,PAG_00003,-3034.56
TES_00004,BANK_0002,2024-02-17,PAGO_PROVEEDOR,fin_pagos,PAG_00004,-830.86
TES_00005,BANK_0002,2023-12-24,PAGO_PROVEEDOR,fin_pagos,PAG_00005,-3841.88
TES_00006,BANK_0002,2024-07-14,PAGO_PROVEEDOR,fin_pagos,PAG_00006,-26101.04
TES_00007,BANK_0002,2023-09-02,PAGO_PROVEEDOR,fin_pagos,PAG_00007,-20727.97
TES_00008,BANK_0002,2023-09-11,PAGO_PROVEEDOR,fin_pagos,PAG_00008,-14832.69
TES_00009,BANK_0002,2023-10-16,PAGO_PROVEEDOR,fin_pagos,PAG_00009,-2807.49
TES_00010,BANK_0002,2024-08-08,PAGO_PROVEEDOR,fin_pagos,PAG_00010,-5715.01
TES_00011,BANK_0002,2023-12-11,PAGO_PROVEEDOR,fin_pagos,PAG_00011,-11558.05
TES_00012,BANK_0002,2023-12-31,PAGO_PROVEEDOR,fin_pagos,PAG_00012,-4858.84
TES_00013,BANK_0002,2024-02-17,PAGO_PROVEEDOR,fin_pagos,PAG_00013,-2219.81
TES_00014,BANK_0002,2024-02-07,PAGO_PROVEEDOR,fin_pagos,PAG_00014,-656.0
TES_00015,BANK_0002,2024-01-01,PAGO_PROVEEDOR,fin_pagos,PAG_00015,-2635.97
TES_00016,BANK_0002,2023-11-29,PAGO_PROVEEDOR,fin_pagos,PAG_00016,-16400.1
TES_00017,BANK_0002,2024-01-08,PAGO_PROVEEDOR,fin_pagos,PAG_00017,-8481.28
TES_00018,BANK_0002,2024-02-14,PAGO_PROVEEDOR,fin_pagos,PAG_00018,-3359.2
TES_00019,BANK_0002,2024-01-30,PAGO_PROVEEDOR,fin_pagos,PAG_00019,-980.9
TES_00020,BANK_0002,2023-12-13,PAGO_PROVEEDOR,fin_pagos,PAG_00020,-5304.36
TES_00021,BANK_0002,2023-10-07,PAGO_PROVEEDOR,fin_pagos,PAG_00021,-14114.47
TES_00022,BANK_0002,2023-12-01,PAGO_PROVEEDOR,fin_pagos,PAG_00022,-15999.84
TES_00023,BANK_0002,2023-12-14,PAGO_PROVEEDOR,fin_pagos,PAG_00023,-8530.21
TES_00024,BANK_0002,2024-01-09,PAGO_PROVEEDOR,fin_pagos,PAG_00024,-1849.69
TES_00025,BANK_0002,2024-01-16,PAGO_PROVEEDOR,fin_pagos,PAG_00025,-872.66
TES_00026,BANK_0002,2023-11-02,PAGO_PROVEEDOR,fin_pagos,PAG_00026,-3586.11
TES_00027,BANK_0002,2024-07-14,PAGO_PROVEEDOR,fin_pagos,PAG_00027,-19527.56
TES_00028,BANK_0002,2023-09-20,PAGO_PROVEEDOR,fin_pagos,PAG_00028,-15136.09
TES_00029,BANK_0002,2023-09-12,PAGO_PROVEEDOR,fin_pagos,PAG_00029,-10884.66
TES_00030,BANK_0002,2023-10-22,PAGO_PROVEEDOR,fin_pagos,PAG_00030,-1789.93
TES_00031,BANK_0002,2024-07-19,PAGO_PROVEEDOR,fin_pagos,PAG_00031,-3994.98
TES_00032,BANK_0002,2023-12-12,PAGO_PROVEEDOR,fin_pagos,PAG_00032,-23306.48
TES_00033,BANK_0002,2024-01-11,PAGO_PROVEEDOR,fin_pagos,PAG_00033,-10604.27
TES_00034,BANK_0002,2024-02-08,PAGO_PROVEEDOR,fin_pagos,PAG_00034,-4564.23
TES_00035,BANK_0002,2024-02-14,PAGO_PROVEEDOR,fin_pagos,PAG_00035,-1234.42
TES_00036,BANK_0002,2024-01-07,PAGO_PROVEEDOR,fin_pagos,PAG_00036,-7393.22
TES_00037,BANK_0002,2023-12-21,PAGO_PROVEEDOR,fin_pagos,PAG_00037,-14156.14
