viaje_id,transportista_id,vehiculo_id,dispatch_date,delivery_date,distance_km,mode,total_cost
VIA_00001,TRP_0001,,2024-06-18,2024-06-19,276,TERCERO,273.82
VIA_00002,TRP_0001,,2024-06-18,2024-06-20,229,TERCERO,349.01
VIA_00003,TRP_0001,,2024-06-18,2024-06-19,185,TERCERO,358.18
VIA_00004,TRP_0001,,2024-06-18,2024-06-19,244,TERCERO,237.77
VIA_00005,TRP_0001,,2024-06-18,2024-06-20,183,TERCERO,381.22
VIA_00006,TRP_0001,,2024-06-18,2024-06-19,253,TERCERO,267.29
VIA_00007,TRP_0001,,2024-06-18,2024-06-20,256,TERCERO,354.53
VIA_00008,TRP_0001,,2024-06-18,2024-06-19,227,TERCERO,294.43
VIA_00009,TRP_0001,,2024-06-18,2024-06-20,131,TERCERO,291.0
VIA_00010,TRP_0001,,2024-06-18,2024-06-19,108,TERCERO,265.48
VIA_00011,TRP_0001,,2024-06-18,2024-06-19,181,TERCERO,306.63
VIA_00012,TRP_0001,,2024-06-18,2024-06-20,221,TERCERO,330.23
VIA_00013,TRP_0001,,2024-06-18,2024-06-20,221,TERCERO,379.61
VIA_00014,TRP_0002,,2024-02-06,2024-02-07,145,TERCERO,392.08
VIA_00015,TRP_0002,,2024-02-06,2024-02-07,110,TERCERO,362.44
VIA_00016,TRP_0002,,2024-02-06,2024-02-07,224,TERCERO,265.63
VIA_00017,TRP_0002,,2024-02-06,2024-02-07,160,TERCERO,281.37
VIA_00018,TRP_0002,,2024-02-06,2024-02-07,96,TERCERO,321.7
VIA_00019,TRP_0002,,2024-02-06,2024-02-07,120,TERCERO,372.59
VIA_00020,TRP_0002,,2024-02-06,2024-02-08,259,TERCERO,373.61
VIA_00021,TRP_0002,,2024-02-06,2024-02-07,114,TERCERO,292.64
VIA_00022,TRP_0002,,2024-03-06,2024-03-08,60,TERCERO,286.78
VIA_00023,TRP_0002,,2024-03-06,2024-03-07,264,TERCERO,349.34
VIA_00024,TRP_0002,,2024-03-06,2024-03-07,197,TERCERO,235.16
VIA_00025,TRP_0002,,2024-03-06,2024-03-07,74,TERCERO,320.16
VIA_00026,TRP_0002,,2024-03-06,2024-03-08,152,TERCERO,259.9
VIA_00027,TRP_0002,,2024-03-06,2024-03-08,143,TERCERO,349.95
VIA_00028,TRP_0002,,2024-03-06,2024-03-08,110,TERCERO,262.25
VIA_00029,TRP_0002,,2024-03-06,2024-03-07,172,TERCERO,352.26
VIA_00030,TRP_0002,,2024-03-06,2024-03-07,176,TERCERO,317.3
VIA_00031,TRP_0002,,2024-03-06,2024-03-08,175,TERCERO,248.27
VIA_00032,TRP_0002,,2024-03-06,2024-03-08,82,TERCERO,362.26
VIA_00033,TRP_0003,ACT_0006,2024-04-24,2024-04-25,154,PROPIO,213.37
VIA_00034,TRP_0003,ACT_0006,2024-04-24,2024-04-25,173,PROPIO,204.22
VIA_00035,TRP_0003,ACT_0006,2024-04-24,2024-04-26,239,PROPIO,204.54
VIA_00036,TRP_0003,ACT_0006,2024-04-24,2024-04-26,119,PROPIO,160.74
VIA_00037,TRP_0003,ACT_0006,2024-04-24,2024-04-26,108,PROPIO,187.44
VIA_00038,TRP_0003,ACT_0006,2024-04-24,2024-04-26,168,PROPIO,192.98
VIA_00039,TRP_0003,ACT_0006,2024-04-24,2024-04-26,143,PROPIO,207.14
VIA_00040,TRP_0003,ACT_0006,2024-04-24,2024-04-26,260,PROPIO,169.68
VIA_00041,TRP_0003,ACT_0006,2024-04-24,2024-04-25,220,PROPIO,199.59
VIA_00042,TRP_0003,ACT_0006,2024-04-24,2024-04-25,172,PROPIO,165.64
VIA_00043,TRP_0003,ACT_0006,2024-04-24,2024-04-25,233,PROPIO,219.19
VIA_00044,TRP_0003,ACT_0006,2024-04-24,2024-04-25,217,PROPIO,216.22
VIA_00045,TRP_0001,,2024-08-06,2024-08-08,134,TERCERO,300.38
VIA_00046,TRP_0001,,2024-08-06,2024-08-08,70,TERCERO,246.27
VIA_00047,TRP_0001,,2024-08-06,2024-08-07,189,TERCERO,357.54
VIA_00048,TRP_0001,,2024-08-06,2024-08-07,76,TERCERO,345.05
VIA_00049,TRP_0001,,2024-08-06,2024-08-07,190,TERCERO,372.41
VIA_00050,TRP_0001,,2024-08-06,2024-08-08,163,TERCERO,275.81
VIA_00051,TRP_0001,,2024-08-06,2024-08-08,111,TERCERO,280.87
VIA_00052,TRP_0001,,2024-08-06,2024-08-08,107,TERCERO,326.65
VIA_00053,TRP_0001,,2024-08-06,2024-08-08,265,TERCERO,236.4
VIA_00054,TRP_0001,,2024-08-06,2024-08-07,157,TERCERO,334.25
VIA_00055,TRP_0001,,2024-08-06,2024-08-08,127,TERCERO,303.46
VIA_00056,TRP_0001,,2024-08-04,2024-08-06,133,TERCERO,379.31
VIA_00057,TRP_0001,,2024-08-04,2024-08-05,61,TERCERO,308.24
VIA_00058,TRP_0001,,2024-08-04,2024-08-05,267,TERCERO,255.85
VIA_00059,TRP_0001,,2024-08-04,2024-08-06,223,TERCERO,287.19
VIA_00060,TRP_0001,,2024-08-04,2024-08-06,249,TERCERO,361.26
VIA_00061,TRP_0001,,2024-08-04,2024-08-06,254,TERCERO,280.87
VIA_00062,TRP_0001,,2024-08-04,2024-08-06,174,TERCERO,366.29
VIA_00063,TRP_0001,,2024-08-04,2024-08-05,110,TERCERO,283.12
VIA_00064,TRP_0001,,2024-08-04,2024-08-05,61,TERCERO,393.47
VIA_00065,TRP_0001,,2024-08-04,2024-08-05,214,TERCERO,344.5
VIA_00066,TRP_0001,,2024-08-04,2024-08-05,222,TERCERO,328.74
VIA_00067,TRP_0001,,2024-08-04,2024-08-05,162,TERCERO,316.29
VIA_00068,TRP_0001,,2024-08-04,2024-08-05,199,TERCERO,278.69
VIA_00069,TRP_0001,,2024-08-04,2024-08-05,254,TERCERO,371.22
VIA_00070,TRP_0001,,2024-05-13,2024-05-14,83,TERCERO,391.12
VIA_00071,TRP_0001,,2024-05-13,2024-05-15,93,TERCERO,383.56
VIA_00072,TRP_0001,,2024-05-13,2024-05-14,240,TERCERO,270.7
VIA_00073,TRP_0001,,2024-05-13,2024-05-14,120,TERCERO,258.83
VIA_00074,TRP_0001,,2024-05-13,2024-05-14,97,TERCERO,256.03
VIA_00075,TRP_0001,,2024-05-13,2024-05-15,68,TERCERO,256.44
VIA_00076,TRP_0001,,2024-05-13,2024-05-14,61,TERCERO,369.37
VIA_00077,TRP_0002,,2024-06-15,2024-06-16,229,TERCERO,341.55
VIA_00078,TRP_0002,,2024-06-15,2024-06-16,253,TERCERO,342.69
VIA_00079,TRP_0002,,2024-06-15,2024-06-16,172,TERCERO,353.88
VIA_00080,TRP_0002,,2024-06-15,2024-06-16,155,TERCERO,298.64
VIA_00081,TRP_0002,,2024-06-15,2024-06-16,160,TERCERO,272.08
VIA_00082,TRP_0002,,2024-06-15,2024-06-16,234,TERCERO,285.78
VIA_00083,TRP_0001,,2024-09-02,2024-09-04,234,TERCERO,277.11
VIA_00084,TRP_0001,,2024-09-02,2024-09-04,269,TERCERO,351.26
VIA_00085,TRP_0001,,2024-09-02,2024-09-03,253,TERCERO,338.38
VIA_00086,TRP_0001,,2024-09-02,2024-09-03,101,TERCERO,261.1
VIA_00087,TRP_0001,,2024-09-02,2024-09-04,156,TERCERO,358.78
VIA_00088,TRP_0001,,2024-09-02,2024-09-03,80,TERCERO,310.73
VIA_00089,TRP_0001,,2024-09-02,2024-09-03,110,TERCERO,308.68
VIA_00090,TRP_0001,,2024-09-02,2024-09-04,119,TERCERO,316.58
VIA_00091,TRP_0001,,2024-09-02,2024-09-04,89,TERCERO,249.61
VIA_00092,TRP_0001,,2024-09-02,2024-09-04,128,TERCERO,325.66
VIA_00093,TRP_0003,ACT_0006,2024-01-08,2024-01-09,71,PROPIO,182.43
VIA_00094,TRP_0003,ACT_0006,2024-01-08,2024-01-10,147,PROPIO,157.61
VIA_00095,TRP_0003,ACT_0006,2024-01-08,2024-01-10,105,PROPIO,182.03
VIA_00096,TRP_0003,ACT_0006,2024-01-08,2024-01-10,222,PROPIO,167.97
