viaje_det_id,viaje_id,despacho_venta_id,quantity,cost_per_ton
VDE_00001,VIA_00001,DESP_00001,26.35,10.39
VDE_00002,VIA_00002,DESP_00001,26.35,13.25
VDE_00003,VIA_00003,DESP_00001,26.35,13.59
VDE_00004,VIA_00004,DESP_00001,26.35,9.02
VDE_00005,VIA_00005,DESP_00001,26.35,14.47
VDE_00006,VIA_00006,DESP_00001,26.35,10.14
VDE_00007,VIA_00007,DESP_00001,26.35,13.45
VDE_00008,VIA_00008,DESP_00001,26.35,11.17
VDE_00009,VIA_00009,DESP_00001,26.35,11.04
VDE_00010,VIA_00010,DESP_00001,26.35,10.08
VDE_00011,VIA_00011,DESP_00001,26.35,11.64
VDE_00012,VIA_00012,DESP_00001,26.35,12.53
VDE_00013,VIA_00013,DESP_00001,26.35,14.41
VDE_00014,VIA_00014,DESP_00002,27.85,14.08
VDE_00015,VIA_00015,DESP_00002,27.85,13.01
VDE_00016,VIA_00016,DESP_00002,27.85,9.54
VDE_00017,VIA_00017,DESP_00002,27.85,10.1
VDE_00018,VIA_00018,DESP_00002,27.85,11.55
VDE_00019,VIA_00019,DESP_00002,27.85,13.38
VDE_00020,VIA_00020,DESP_00002,27.85,13.41
VDE_00021,VIA_00021,DESP_00002,27.85,10.51
VDE_00022,VIA_00022,DESP_00003,25.58,11.21
VDE_00023,VIA_00023,DESP_00003,25.58,13.66
VDE_00024,VIA_00024,DESP_00003,25.58,9.19
VDE_00025,VIA_00025,DESP_00003,25.58,12.52
VDE_00026,VIA_00026,DESP_00003,25.58,10.16
VDE_00027,VIA_00027,DESP_00003,25.58,13.68
VDE_00028,VIA_00028,DESP_00003,25.58,10.25
VDE_00029,VIA_00029,DESP_00003,25.58,13.77
VDE_00030,VIA_00030,DESP_00003,25.58,12.4
VDE_00031,VIA_00031,DESP_00003,25.58,9.71
VDE_00032,VIA_00032,DESP_00003,25.58,14.16
VDE_00033,VIA_00033,DESP_00004,27.74,7.69
VDE_00034,VIA_00034,DESP_00004,27.74,7.36
VDE_00035,VIA_00035,DESP_00004,27.74,7.37
VDE_00036,VIA_00036,DESP_00004,27.74,5.79
VDE_00037,VIA_00037,DESP_00004,27.74,6.76
VDE_00038,VIA_00038,DESP_00004,27.74,6.96
VDE_00039,VIA_00039,DESP_00004,27.74,7.47
VDE_00040,VIA_00040,DESP_00004,27.74,6.12
VDE_00041,VIA_00041,DESP_00004,27.74,7.19
VDE_00042,VIA_00042,DESP_00004,27.74,5.97
VDE_00043,VIA_00043,DESP_00004,27.74,7.9
VDE_00044,VIA_00044,DESP_00004,27.74,7.79
VDE_00045,VIA_00045,DESP_00005,25.88,11.61
VDE_00046,VIA_00046,DESP_00005,25.88,9.52
VDE_00047,VIA_00047,DESP_00005,25.88,13.82
VDE_00048,VIA_00048,DESP_00005,25.88,13.33
VDE_00049,VIA_00049,DESP_00005,25.88,14.39
VDE_00050,VIA_00050,DESP_00005,25.88,10.66
VDE_00051,VIA_00051,DESP_00005,25.88,10.85
VDE_00052,VIA_00052,DESP_00005,25.88,12.62
VDE_00053,VIA_00053,DESP_00005,25.88,9.13
VDE_00054,VIA_00054,DESP_00005,25.88,12.92
VDE_00055,VIA_00055,DESP_00005,25.88,11.73
VDE_00056,VIA_00056,DESP_00006,27.57,13.76
VDE_00057,VIA_00057,DESP_00006,27.57,11.18
VDE_00058,VIA_00058,DESP_00006,27.57,9.28
VDE_00059,VIA_00059,DESP_00006,27.57,10.42
VDE_00060,VIA_00060,DESP_00006,27.57,13.1
VDE_00061,VIA_00061,DESP_00006,27.57,10.19
VDE_00062,VIA_00062,DESP_00006,27.57,13.29
VDE_00063,VIA_00063,DESP_00006,27.57,10.27
VDE_00064,VIA_00064,DESP_00006,27.57,14.27
VDE_00065,VIA_00065,DESP_00006,27.57,12.5
VDE_00066,VIA_00066,DESP_00006,27.57,11.92
VDE_00067,VIA_00067,DESP_00006,27.57,11.47
VDE_00068,VIA_00068,DESP_00006,27.57,10.11
VDE_00069,VIA_00069,DESP_00006,27.57,13.46
VDE_00070,VIA_00070,DESP_00007,27.26,14.35
VDE_00071,VIA_00071,DESP_00007,27.26,14.07
VDE_00072,VIA_00072,DESP_00007,27.26,9.93
