orden_trabajo_id,activo_id,work_type,order_date,close_date,labor_hours,internal_labor_cost,status
MOT_00001,ACT_0001,PREVENTIVO,2023-07-08,2023-07-11,4.11,95.76,CERRADA
MOT_00002,ACT_0001,PREVENTIVO,2023-08-09,2023-08-11,6.12,154.44,CERRADA
MOT_00003,ACT_0001,PREVENTIVO,2023-09-12,2023-09-15,4.31,116.44,CERRADA
MOT_00004,ACT_0001,PREVENTIVO,2023-10-01,2023-10-04,6.44,179.87,CERRADA
MOT_00005,ACT_0001,PREVENTIVO,2023-11-11,2023-11-14,5.48,141.17,CERRADA
MOT_00006,ACT_0001,PREVENTIVO,2023-12-05,2023-12-07,6.08,161.86,CERRADA
MOT_00007,ACT_0001,PREVENTIVO,2024-01-12,2024-01-14,4.95,110.72,CERRADA
MOT_00008,ACT_0001,PREVENTIVO,2024-02-08,2024-02-10,2.71,63.6,CERRADA
MOT_00009,ACT_0001,PREVENTIVO,2024-03-04,2024-03-07,6.39,147.63,CERRADA
MOT_00010,ACT_0001,PREVENTIVO,2024-04-02,2024-04-03,2.27,61.83,CERRADA
MOT_00011,ACT_0001,PREVENTIVO,2024-05-09,2024-05-11,2.24,49.66,CERRADA
MOT_00012,ACT_0001,PREVENTIVO,2024-06-07,2024-06-08,3.7,94.65,CERRADA
MOT_00013,ACT_0001,PREVENTIVO,2024-07-06,2024-07-09,7.54,178.9,CERRADA
MOT_00014,ACT_0001,PREVENTIVO,2024-08-09,2024-08-12,2.32,64.35,CERRADA
MOT_00015,ACT_0001,PREVENTIVO,2024-09-12,2024-09-13,6.43,159.41,CERRADA
MOT_00016,ACT_0001,PREVENTIVO,2024-10-03,2024-10-04,6.88,181.76,CERRADA
MOT_00017,ACT_0001,PREVENTIVO,2024-11-03,2024-11-04,4.71,116.7,CERRADA
MOT_00018,ACT_0001,PREVENTIVO,2024-12-10,2024-12-13,6.1,157.74,CERRADA
MOT_00019,ACT_0001,PREVENTIVO,2025-01-08,2025-01-10,3.62,87.71,CERRADA
MOT_00020,ACT_0001,PREVENTIVO,2025-02-01,2025-02-03,6.72,165.3,CERRADA
MOT_00021,ACT_0001,PREVENTIVO,2025-03-06,2025-03-08,3.47,80.7,CERRADA
MOT_00022,ACT_0001,PREVENTIVO,2025-04-08,2025-04-09,3.4,76.11,CERRADA
MOT_00023,ACT_0001,PREVENTIVO,2025-05-10,2025-05-11,4.26,103.44,CERRADA
MOT_00024,ACT_0001,PREVENTIVO,2025-06-06,2025-06-08,6.89,164.84,CERRADA
MOT_00025,ACT_0001,PREVENTIVO,2025-07-10,2025-07-13,7.64,198.37,CERRADA
MOT_00026,ACT_0001,PREVENTIVO,2025-08-06,2025-08-09,6.49,160.61,CERRADA
MOT_00027,ACT_0001,PREVENTIVO,2025-09-05,2025-09-07,5.15,123.12,CERRADA
MOT_00028,ACT_0001,PREVENTIVO,2025-10-02,2025-10-05,4.49,102.12,CERRADA
MOT_00029,ACT_0001,PREVENTIVO,2025-11-05,2025-11-06,5.34,147.3,CERRADA
MOT_00030,ACT_0001,PREVENTIVO,2025-12-01,2025-12-02,5.73,141.8,CERRADA
MOT_00031,ACT_0001,CORRECTIVO,2024-08-25,2024-08-26,3.42,79.69,CERRADA
MOT_00032,ACT_0002,PREVENTIVO,2023-07-05,2023-07-06,2.01,46.17,CERRADA
MOT_00033,ACT_0002,PREVENTIVO,2023-08-02,2023-08-04,5.3,127.06,CERRADA
MOT_00034,ACT_0002,PREVENTIVO,2023-09-07,2023-09-09,3.33,73.74,CERRADA
MOT_00035,ACT_0002,PREVENTIVO,2023-10-12,2023-10-13,2.65,60.32,CERRADA
