liquidacion_det_id,liquidacion_id,concept_code,quantity,amount,remunerative_flag,employer_flag
LIQD_000001,LIQ_000001,BASICO,1,1237.33,True,False
LIQD_000002,LIQ_000001,DESCUENTOS,1,-210.35,False,False
LIQD_000003,LIQ_000001,CARGAS_SOCIALES,1,296.96,False,True
LIQD_000004,LIQ_000002,BASICO,1,1482.35,True,False
LIQD_000005,LIQ_000002,DESCUENTOS,1,-252.0,False,False
LIQD_000006,LIQ_000002,CARGAS_SOCIALES,1,355.76,False,True
LIQD_000007,LIQ_000003,BASICO,1,1490.19,True,False
LIQD_000008,LIQ_000003,DESCUENTOS,1,-253.33,False,False
LIQD_000009,LIQ_000003,CARGAS_SOCIALES,1,357.65,False,True
LIQD_000010,LIQ_000004,BASICO,1,1172.56,True,False
LIQD_000011,LIQ_000004,DESCUENTOS,1,-199.34,False,False
LIQD_000012,LIQ_000004,CARGAS_SOCIALES,1,281.41,False,True
LIQD_000013,LIQ_000005,BASICO,1,1472.52,True,False
LIQD_000014,LIQ_000005,DESCUENTOS,1,-250.33,False,False
LIQD_000015,LIQ_000005,CARGAS_SOCIALES,1,353.4,False,True
LIQD_000016,LIQ_000006,BASICO,1,1236.58,True,False
LIQD_000017,LIQ_000006,DESCUENTOS,1,-210.22,False,False
LIQD_000018,LIQ_000006,CARGAS_SOCIALES,1,296.78,False,True
LIQD_000019,LIQ_000007,BASICO,1,1816.75,True,False
LIQD_000020,LIQ_000007,DESCUENTOS,1,-308.85,False,False
LIQD_000021,LIQ_000007,CARGAS_SOCIALES,1,436.02,False,True
LIQD_000022,LIQ_000008,BASICO,1,1219.33,True,False
LIQD_000023,LIQ_000008,DESCUENTOS,1,-207.29,False,False
LIQD_000024,LIQ_000008,CARGAS_SOCIALES,1,292.64,False,True
LIQD_000025,LIQ_000009,BASICO,1,1265.81,True,False
LIQD_000026,LIQ_000009,DESCUENTOS,1,-215.19,False,False
LIQD_000027,LIQ_000009,CARGAS_SOCIALES,1,303.79,False,True
LIQD_000028,LIQ_000010,BASICO,1,1219.12,True,False
LIQD_000029,LIQ_000010,DESCUENTOS,1,-207.25,False,False
LIQD_000030,LIQ_000010,CARGAS_SOCIALES,1,292.59,False,True
LIQD_000031,LIQ_000011,BASICO,1,1172.35,True,False
LIQD_000032,LIQ_000011,DESCUENTOS,1,-199.3,False,False
LIQD_000033,LIQ_000011,CARGAS_SOCIALES,1,281.36,False,True
LIQD_000034,LIQ_000012,BASICO,1,1249.75,True,False
LIQD_000035,LIQ_000012,DESCUENTOS,1,-212.46,False,False
LIQD_000036,LIQ_000012,CARGAS_SOCIALES,1,299.94,False,True
LIQD_000037,LIQ_000013,BASICO,1,1260.32,True,False
LIQD_000038,LIQ_000013,DESCUENTOS,1,-214.25,False,False
LIQD_000039,LIQ_000013,CARGAS_SOCIALES,1,302.48,False,True
LIQD_000040,LIQ_000014,BASICO,1,1462.77,True,False
LIQD_000041,LIQ_000014,DESCUENTOS,1,-248.67,False,False
LIQD_000042,LIQ_000014,CARGAS_SOCIALES,1,351.06,False,True
LIQD_000043,LIQ_000015,BASICO,1,1299.82,True,False
LIQD_000044,LIQ_000015,DESCUENTOS,1,-220.97,False,False
LIQD_000045,LIQ_000015,CARGAS_SOCIALES,1,311.96,False,True
LIQD_000046,LIQ_000016,BASICO,1,1361.88,True,False
LIQD_000047,LIQ_000016,DESCUENTOS,1,-231.52,False,False
LIQD_000048,LIQ_000016,CARGAS_SOCIALES,1,326.85,False,True
LIQD_000049,LIQ_000017,BASICO,1,1288.9,True,False
LIQD_000050,LIQ_000017,DESCUENTOS,1,-219.11,False,False
LIQD_000051,LIQ_000017,CARGAS_SOCIALES,1,309.34,False,True
LIQD_000052,LIQ_000018,BASICO,1,1217.55,True,False
LIQD_000053,LIQ_000018,DESCUENTOS,1,-206.98,False,False
LIQD_000054,LIQ_000018,CARGAS_SOCIALES,1,292.21,False,True
LIQD_000055,LIQ_000019,BASICO,1,1195.57,True,False
LIQD_000056,LIQ_000019,DESCUENTOS,1,-203.25,False,False
LIQD_000057,LIQ_000019,CARGAS_SOCIALES,1,286.94,False,True
LIQD_000058,LIQ_000020,BASICO,1,1180.76,True,False
LIQD_000059,LIQ_000020,DESCUENTOS,1,-200.73,False,False
LIQD_000060,LIQ_000020,CARGAS_SOCIALES,1,283.38,False,True
LIQD_000061,LIQ_000021,BASICO,1,1395.39,True,False
LIQD_000062,LIQ_000021,DESCUENTOS,1,-237.22,False,False
LIQD_000063,LIQ_000021,CARGAS_SOCIALES,1,334.89,False,True
LIQD_000064,LIQ_000022,BASICO,1,1246.94,True,False
LIQD_000065,LIQ_000022,DESCUENTOS,1,-211.98,False,False
LIQD_000066,LIQ_000022,CARGAS_SOCIALES,1,299.27,False,True
LIQD_000067,LIQ_000023,BASICO,1,1490.52,True,False
LIQD_000068,LIQ_000023,DESCUENTOS,1,-253.39,False,False
LIQD_000069,LIQ_000023,CARGAS_SOCIALES,1,357.72,False,True
LIQD_000070,LIQ_000024,BASICO,1,1393.66,True,False
LIQD_000071,LIQ_000024,DESCUENTOS,1,-236.92,False,False
LIQD_000072,LIQ_000024,CARGAS_SOCIALES,1,334.48,False,True
LIQD_000073,LIQ_000025,BASICO,1,1294.44,True,False
LIQD_000074,LIQ_000025,DESCUENTOS,1,-220.05,False,False
LIQD_000075,LIQ_000025,CARGAS_SOCIALES,1,310.67,False,True
LIQD_000076,LIQ_000026,BASICO,1,1475.17,True,False
LIQD_000077,LIQ_000026,DESCUENTOS,1,-250.78,False,False
LIQD_000078,LIQ_000026,CARGAS_SOCIALES,1,354.04,False,True
LIQD_000079,LIQ_000027,BASICO,1,1465.75,True,False
LIQD_000080,LIQ_000027,DESCUENTOS,1,-249.18,False,False
LIQD_000081,LIQ_000027,CARGAS_SOCIALES,1,351.78,False,True
LIQD_000082,LIQ_000028,BASICO,1,1206.74,True,False
LIQD_000083,LIQ_000028,DESCUENTOS,1,-205.15,False,False
LIQD_000084,LIQ_000028,CARGAS_SOCIALES,1,289.62,False,True
LIQD_000085,LIQ_000029,BASICO,1,1464.84,True,False
LIQD_000086,LIQ_000029,DESCUENTOS,1,-249.02,False,False
LIQD_000087,LIQ_000029,CARGAS_SOCIALES,1,351.56,False,True
LIQD_000088,LIQ_000030,BASICO,1,1292.84,True,False
LIQD_000089,LIQ_000030,DESCUENTOS,1,-219.78,False,False
LIQD_000090,LIQ_000030,CARGAS_SOCIALES,1,310.28,False,True
LIQD_000091,LIQ_000031,BASICO,1,1803.74,True,False
LIQD_000092,LIQ_000031,DESCUENTOS,1,-306.64,False,False
LIQD_000093,LIQ_000031,CARGAS_SOCIALES,1,432.9,False,True
LIQD_000094,LIQ_000032,BASICO,1,1225.31,True,False
LIQD_000095,LIQ_000032,DESCUENTOS,1,-208.3,False,False
LIQD_000096,LIQ_000032,CARGAS_SOCIALES,1,294.07,False,True
LIQD_000097,LIQ_000033,BASICO,1,1285.91,True,False
