novedad_id,empleado_id,period_id,novelty_type,quantity,amount
NOV_00001,EMPLO_0001,202311,HORAS_EXTRA,9,111.4
NOV_00002,EMPLO_0006,202311,HORAS_EXTRA,7,68.31
NOV_00003,EMPLO_0007,202311,HORAS_EXTRA,15,149.52
NOV_00004,EMPLO_0009,202311,HORAS_EXTRA,15,144.26
NOV_00005,EMPLO_0012,202311,HORAS_EXTRA,10,98.65
NOV_00006,EMPLO_0013,202311,HORAS_EXTRA,13,130.53
NOV_00007,EMPLO_0015,202311,HORAS_EXTRA,15,151.68
NOV_00008,EMPLO_0016,202311,HORAS_EXTRA,9,85.99
NOV_00009,EMPLO_0017,202311,HORAS_EXTRA,18,165.61
NOV_00010,EMPLO_0021,202311,HORAS_EXTRA,21,206.67
NOV_00011,EMPLO_0022,202311,HORAS_EXTRA,12,113.4
NOV_00012,EMPLO_0024,202311,HORAS_EXTRA,9,92.34
NOV_00013,EMPLO_0001,202312,HORAS_EXTRA,19,194.0
NOV_00014,EMPLO_0006,202312,HORAS_EXTRA,11,101.05
NOV_00015,EMPLO_0007,202312,HORAS_EXTRA,6,62.94
NOV_00016,EMPLO_0007,202312,BONO,1,148.19
NOV_00017,EMPLO_0009,202312,HORAS_EXTRA,9,91.96
NOV_00018,EMPLO_0012,202312,HORAS_EXTRA,18,199.82
NOV_00019,EMPLO_0013,202312,HORAS_EXTRA,6,65.39
NOV_00020,EMPLO_0015,202312,HORAS_EXTRA,11,100.82
NOV_00021,EMPLO_0016,202312,HORAS_EXTRA,11,115.56
NOV_00022,EMPLO_0017,202312,HORAS_EXTRA,7,77.06
NOV_00023,EMPLO_0021,202312,HORAS_EXTRA,10,113.45
NOV_00024,EMPLO_0022,202312,HORAS_EXTRA,21,252.77
NOV_00025,EMPLO_0024,202312,HORAS_EXTRA,19,221.17
NOV_00026,EMPLO_0001,202404,HORAS_EXTRA,15,153.32
NOV_00027,EMPLO_0006,202404,HORAS_EXTRA,8,87.75
NOV_00028,EMPLO_0007,202404,HORAS_EXTRA,15,175.86
NOV_00029,EMPLO_0009,202404,HORAS_EXTRA,17,153.93
NOV_00030,EMPLO_0012,202404,HORAS_EXTRA,10,95.51
NOV_00031,EMPLO_0013,202404,HORAS_EXTRA,6,67.22
NOV_00032,EMPLO_0015,202404,HORAS_EXTRA,22,208.59
NOV_00033,EMPLO_0016,202404,HORAS_EXTRA,16,147.45
NOV_00034,EMPLO_0017,202404,HORAS_EXTRA,11,115.47
NOV_00035,EMPLO_0021,202404,HORAS_EXTRA,13,145.56
NOV_00036,EMPLO_0022,202404,HORAS_EXTRA,16,184.48
NOV_00037,EMPLO_0024,202404,HORAS_EXTRA,6,60.88
NOV_00038,EMPLO_0001,202405,HORAS_EXTRA,17,181.32
NOV_00039,EMPLO_0006,202405,HORAS_EXTRA,17,193.79
NOV_00040,EMPLO_0007,202405,HORAS_EXTRA,19,189.82
NOV_00041,EMPLO_0009,202405,HORAS_EXTRA,20,225.68
NOV_00042,EMPLO_0012,202405,HORAS_EXTRA,12,137.63
NOV_00043,EMPLO_0013,202405,HORAS_EXTRA,19,189.84
NOV_00044,EMPLO_0015,202405,HORAS_EXTRA,22,228.1
NOV_00045,EMPLO_0016,202405,HORAS_EXTRA,12,117.24
NOV_00046,EMPLO_0017,202405,HORAS_EXTRA,8,91.77
NOV_00047,EMPLO_0021,202405,HORAS_EXTRA,13,132.64
NOV_00048,EMPLO_0022,202405,HORAS_EXTRA,15,164.6
NOV_00049,EMPLO_0024,202405,HORAS_EXTRA,11,116.98
NOV_00050,EMPLO_0007,202406,BONO,1,213.41
NOV_00051,EMPLO_0001,202411,HORAS_EXTRA,18,182.39
NOV_00052,EMPLO_0006,202411,HORAS_EXTRA,7,67.42
NOV_00053,EMPLO_0007,202411,HORAS_EXTRA,10,119.82
NOV_00054,EMPLO_0009,202411,HORAS_EXTRA,12,115.73
NOV_00055,EMPLO_0012,202411,HORAS_EXTRA,10,99.23
NOV_00056,EMPLO_0013,202411,HORAS_EXTRA,17,208.32
NOV_00057,EMPLO_0015,202411,HORAS_EXTRA,10,98.77
NOV_00058,EMPLO_0016,202411,HORAS_EXTRA,15,139.61
NOV_00059,EMPLO_0017,202411,HORAS_EXTRA,22,212.89
NOV_00060,EMPLO_0021,202411,HORAS_EXTRA,9,101.54
NOV_00061,EMPLO_0022,202411,HORAS_EXTRA,16,194.69
NOV_00062,EMPLO_0024,202411,HORAS_EXTRA,14,157.38
NOV_00063,EMPLO_0001,202412,HORAS_EXTRA,20,207.49
NOV_00064,EMPLO_0006,202412,HORAS_EXTRA,8,93.1
NOV_00065,EMPLO_0007,202412,HORAS_EXTRA,18,192.28
NOV_00066,EMPLO_0007,202412,BONO,1,116.37
NOV_00067,EMPLO_0009,202412,HORAS_EXTRA,22,226.24
NOV_00068,EMPLO_0012,202412,HORAS_EXTRA,9,95.13
NOV_00069,EMPLO_0013,202412,HORAS_EXTRA,15,179.61
NOV_00070,EMPLO_0015,202412,HORAS_EXTRA,8,94.4
NOV_00071,EMPLO_0016,202412,HORAS_EXTRA,13,149.02
NOV_00072,EMPLO_0017,202412,HORAS_EXTRA,14,131.82
NOV_00073,EMPLO_0021,202412,HORAS_EXTRA,16,154.14
NOV_00074,EMPLO_0022,202412,HORAS_EXTRA,13,136.09
NOV_00075,EMPLO_0024,202412,HORAS_EXTRA,17,177.19
NOV_00076,EMPLO_0001,202504,HORAS_EXTRA,7,69.12
NOV_00077,EMPLO_0006,202504,HORAS_EXTRA,13,158.3
NOV_00078,EMPLO_0007,202504,HORAS_EXTRA,18,175.06
NOV_00079,EMPLO_0009,202504,HORAS_EXTRA,14,168.14
NOV_00080,EMPLO_0012,202504,HORAS_EXTRA,18,187.46
NOV_00081,EMPLO_0013,202504,HORAS_EXTRA,6,63.65
NOV_00082,EMPLO_0015,202504,HORAS_EXTRA,11,110.36
NOV_00083,EMPLO_0016,202504,HORAS_EXTRA,23,251.72
NOV_00084,EMPLO_0017,202504,HORAS_EXTRA,16,180.62
NOV_00085,EMPLO_0021,202504,HORAS_EXTRA,23,245.99
NOV_00086,EMPLO_0022,202504,HORAS_EXTRA,23,215.38
NOV_00087,EMPLO_0024,202504,HORAS_EXTRA,20,214.53
NOV_00088,EMPLO_0001,202505,HORAS_EXTRA,13,142.13
NOV_00089,EMPLO_0006,202505,HORAS_EXTRA,19,182.64
NOV_00090,EMPLO_0007,202505,HORAS_EXTRA,18,212.79
NOV_00091,EMPLO_0009,202505,HORAS_EXTRA,9,104.5
NOV_00092,EMPLO_0012,202505,HORAS_EXTRA,15,145.63
NOV_00093,EMPLO_0013,202505,HORAS_EXTRA,14,143.48
NOV_00094,EMPLO_0015,202505,HORAS_EXTRA,16,154.39
NOV_00095,EMPLO_0016,202505,HORAS_EXTRA,16,147.99
NOV_00096,EMPLO_0017,202505,HORAS_EXTRA,10,96.36
NOV_00097,EMPLO_0021,202505,HORAS_EXTRA,18,216.98
NOV_00098,EMPLO_0022,202505,HORAS_EXTRA,21,229.91
NOV_00099,EMPLO_0024,202505,HORAS_EXTRA,9,82.03
NOV_00100,EMPLO_0007,202506,BONO,1,171.74
NOV_00101,EMPLO_0001,202511,HORAS_EXTRA,14,159.89
NOV_00102,EMPLO_0006,202511,HORAS_EXTRA,22,239.72
NOV_00103,EMPLO_0007,202511,HORAS_EXTRA,22,255.34
NOV_00104,EMPLO_0009,202511,HORAS_EXTRA,23,254.4
NOV_00105,EMPLO_0012,202511,HORAS_EXTRA,21,226.64
NOV_00106,EMPLO_0013,202511,HORAS_EXTRA,8,88.54
NOV_00107,EMPLO_0015,202511,HORAS_EXTRA,19,230.6
NOV_00108,EMPLO_0016,202511,HORAS_EXTRA,9,97.44
NOV_00109,EMPLO_0017,202511,HORAS_EXTRA,11,117.16
NOV_00110,EMPLO_0021,202511,HORAS_EXTRA,10,115.2
NOV_00111,EMPLO_0022,202511,HORAS_EXTRA,15,174.92
NOV_00112,EMPLO_0024,202511,HORAS_EXTRA,9,92.32
NOV_00113,EMPLO_0001,202512,HORAS_EXTRA,17,198.01
NOV_00114,EMPLO_0006,202512,HORAS_EXTRA,9,89.6
NOV_00115,EMPLO_0007,202512,HORAS_EXTRA,22,268.78
NOV_00116,EMPLO_0007,202512,BONO,1,132.58
NOV_00117,EMPLO_0009,202512,HORAS_EXTRA,16,164.79
NOV_00118,EMPLO_0012,202512,HORAS_EXTRA,17,199.13
NOV_00119,EMPLO_0013,202512,HORAS_EXTRA,10,90.49
NOV_00120,EMPLO_0015,202512,HORAS_EXTRA,11,105.94
NOV_00121,EMPLO_0016,202512,HORAS_EXTRA,11,107.79
NOV_00122,EMPLO_0017,202512,HORAS_EXTRA,10,96.54
NOV_00123,EMPLO_0021,202512,HORAS_EXTRA,12,145.88
NOV_00124,EMPLO_0022,202512,HORAS_EXTRA,7,77.11
NOV_00125,EMPLO_0024,202512,HORAS_EXTRA,12,117.92
