posicion_fiscal_id,empresa_id,period_id,iva_debito,iva_credito,saldo_iva,cargas_sociales,payable_amount
TFP_00001,EMP_0001,202307,0.0,10916.11,-10916.11,7638.88,7638.88
TFP_00002,EMP_0001,202308,0.0,9974.95,-9974.95,7654.27,7654.27
TFP_00003,EMP_0001,202309,0.0,310.65,-310.65,7660.62,7660.62
TFP_00004,EMP_0001,202310,0.0,35618.19,-35618.19,7624.92,7624.92
TFP_00005,EMP_0001,202311,0.0,13872.56,-13872.56,7982.33,7982.33
TFP_00006,EMP_0001,202312,0.0,5037.34,-5037.34,8052.95,8052.95
TFP_00007,EMP_0001,202401,9329.29,450.62,8878.67,7710.65,16589.32
TFP_00008,EMP_0001,202402,10785.99,0.0,10785.99,7609.94,18395.93
TFP_00009,EMP_0001,202403,14041.14,0.0,14041.14,7663.94,21705.08
TFP_00010,EMP_0001,202404,14953.19,0.0,14953.19,8008.46,22961.65
TFP_00011,EMP_0001,202405,37966.11,9604.21,28361.9,8097.45,36459.35
TFP_00012,EMP_0001,202406,85892.34,0.0,85892.34,7683.62,93575.96
TFP_00013,EMP_0001,202407,48953.14,9692.93,39260.21,7640.37,46900.58
TFP_00014,EMP_0001,202408,84058.39,26273.02,57785.37,7599.76,65385.13
TFP_00015,EMP_0001,202409,30903.72,0.0,30903.72,7618.1,38521.82
TFP_00016,EMP_0001,202410,0.0,46345.8,-46345.8,7583.43,7583.43
TFP_00017,EMP_0001,202411,0.0,11118.9,-11118.9,8004.6,8004.6
TFP_00018,EMP_0001,202412,0.0,2814.0,-2814.0,8108.53,8108.53
TFP_00019,EMP_0001,202501,53750.35,347.78,53402.57,7623.8,61026.37
TFP_00020,EMP_0001,202502,0.0,0.0,0.0,7676.88,7676.88
TFP_00021,EMP_0001,202503,0.0,0.0,0.0,7637.06,7637.06
TFP_00022,EMP_0001,202504,23535.28,0.0,23535.28,8111.36,31646.64
TFP_00023,EMP_0001,202505,60267.7,8834.77,51432.93,8035.99,59468.92
TFP_00024,EMP_0001,202506,116296.9,0.0,116296.9,7652.81,123949.71
TFP_00025,EMP_0001,202507,72046.33,1176.98,70869.35,7676.23,78545.58
TFP_00026,EMP_0001,202508,39694.03,2286.29,37407.74,7618.61,45026.35
TFP_00027,EMP_0001,202509,61122.68,1325.18,59797.5,7653.23,67450.73
TFP_00028,EMP_0001,202510,15672.06,2386.61,13285.45,7614.59,20900.04
TFP_00029,EMP_0001,202511,0.0,2180.93,-2180.93,8090.76,8090.76
TFP_00030,EMP_0001,202512,0.0,0.0,0.0,8033.66,8033.66
